id,label,description
NCG00070,Adley,"community in S Wilkes County on the S side of Yadkin River. Home of Capt. John Brown, in which the Wilkes County government was organized in March 1778, is across the river. The W. Kerr Scott Dam is there."
NCG00071,Adoniram,"community in N Granville County served by post office, 1889-1906."
NCG00072,Advalorem Branch,rises in N Swain County between Jumpup Ridge and Bald Ridge and flows SE into Forney Creek.
NCG00073,Advance,"town in E Davie County. Known as Shady Grove as early as 1816. When a post office was est. in 1877, a new name was required because there was already a Shady Grove post office in the state. Named because local citizens expected progress with the addition of a post office to the community. Inc. 1893. Alt. 810."
NCG00074,Affinity,See Marietta.
NCG00075,Afton,community in SW Warren County between Lees Branch and the head of Richneck Creek. Post office est. 1874 but discontinued in 1919.
NCG00076,Afton Run,"stream, rises in N Cabarrus County and flows S into Coddle Creek. Also appears in early documents as Ashton Run and Astin's Run."
NCG00077,Agate,"community in NW Hertford County served by post office, 1892-1906."
NCG00078,Aggie Run,is formed in NW Beaufort County by the junction of Old Ford Swamp and Snoad Branch. It flows S into Tranters Creek.
NCG00079,Agiqua,See French Broad River.
NCG00080,Agnela,community in SW Hertford County.
NCG00081,Aho,"community in S Watauga County near the heads of Stony Branch, Moore Branch, and Buffalo Creek. It is said that a group of men gathered to select a name for the community but, being unable to agree on a name, decided that the next word spoken by any one of them would be accepted. After a long silence, B. B. Dougherty arose, stretched, and said ""Aho!"""
NCG00082,Ahoskie,"town in S Hertford County. Post office as early as 1828 named Ahosky Ridge. Inc. 1893. Name of Indian origin, spelled Ahostsky and Ahostskey as early as 1719. Produces apparel, lumber, and wooden containers. Alt. 59."
NCG00083,Ahoskie Creek,"rises in SE Northampton County and flows NE into Hertford County, where it enters Ahoskie Swamp."
NCG00084,Ahoskie Swamp,"rises in S Hertford County and flows SE and NE into Bear Swamp. Appears as Ahotskey Swamp on the Collet map, 1770."
NCG00085,Ahoskie Township,S Hertford County.
NCG00086,Ahosky Ridge,See Ahoskie.
NCG00087,"Ahostsky, Ahostskey, Ahotskey",See Ahoskie.
NCG00088,Ai,"community in SE Person County served by post office, 1887-1907."
NCG00089,Aiken Branch,rises in NW Swain County and flows SE into Lake Cheoah.
NCG00090,Aiken Mill Creek,rises in S Transylvania County and flows N into French Broad River.
NCG00091,Aiken Mountain,S Transylvania County between Aiken Creek and Carson Creek.
NCG00092,Air Bellows Gap,"on the Alleghany-Wilkes county line. An early road across the Blue Ridge Mountains passed through the gap. Alt. 3,744."
NCG00093,Airbellows,"former community in S Alleghany County, now an entrance to the Blue Ridge Parkway. Alt. 3,800."
NCG00094,Airlie,community in E New Hanover County on the N side of Bradleys Creek.
NCG00095,Akwetiyi,"a spot on Tuckasegee River in NW Jackson County, about 1 mi. NW of town of Dillsboro, and between mouth of Dicks Creek and mouth of Laurel Branch. According to Indian tradition there was a dangerous water monster in the river. The meaning of the name is lost."
NCG00096,Alamance,community in W Alamance County. A post office est. there as early as 1828; cotton mill built in 1837 by E. M. Holt. Alt. 454. Post office name for many years was Allemance.
NCG00097,Alamance Battleground State Historic Site,"W central Alamance County. Markers and a museum on the 40-acre site tell the story of the battle on May 16, 1771, in which the North Carolina militia under Gov. William Tryon defeated the Regulators."
NCG00098,Alamance Church,"community in SE Guilford County. Second Ulster Scots Presbyterian Church in Guilford County, founded in the second half of eighteenth century."
NCG00099,Alamance County,"was formed in 1849 from Orange County. Located in the central part of the state, it is bounded by Orange, Chatham, Randolph, Guilford, and Caswell Counties. Named for Great Alamance Creek, which see, or the Battle of Alamance, May 16, 1771. The name appears as Aramancy River in the writings of William Byrd, 1728. Area: 434 sq. mi. County seat: Graham, with an elevation of 656 ft. Townships, now numbered 1 to 13, were formerly Patterson, Coble, Boon Station, Morton, Faucette, Graham, Albright, Newlin, Thompson, Melville, Pleasant Grove, Burlington, and Haw River. Produces auto parts, tobacco, poultry, dairy and beef cattle, pecans, textiles, electronics, paper boxes, apparel, crushed stone, pyrophyllite, and bricks."
NCG00100,Alamance Creek,See Great Alamance Creek.
NCG00101,Alarka,"community in S Swain County on Yalaka Creek, from which it takes its name."
NCG00102,Alarka Creek,See also Yalaka Creek.
NCG00103,Albans,community in NE Union County.
NCG00104,Albemarle,"city and county seat in N central Stanly County. Alt. 505. Post office opened there as Smith's Store in 1826; name changed to Albemarle, 1841. Inc. 1857. Named for George Monck (1608-79), Duke of Albemarle, one of the original Lords Proprietors of Carolina in 1663."
NCG00105,Albemarle Beach,"NW Washington County on Albemarle Sound, W of the town of Mackeys. Formerly known as Reas Beach."
NCG00106,Albemarle City Lake,"central Stanly County on Long Creek. Formed in 1915. Covers 75 acres; max. depth 40 ft. Fishing, swimming, boating."
NCG00107,Albemarle County,"was est. in 1664 in the NE portion of the Lords Proprietors’ new province of Carolina covering a poorly defined 1,600 sq. mi. The first governor of the county was appointed in October 1664, and it soon also had a legislature and courts. By 1668 it was divided into Chowan, Currituck, Pasquotank, and Perquimans precincts. The county ceased to exist as a unit of government in Carolina in 1689, when Governor Seth Sothel departed. The next governor had his commission for ""that part of our province of Carolina that lyes north and east of Cape feare,"" which was basically the whole of modern North Carolina."
NCG00108,Albemarle River,See Albemarle Sound.
NCG00109,Albemarle Section,"See Albemarle, The."
NCG00110,Albemarle Sound,"NE North Carolina, separated from the Atlantic Ocean by a part of the Outer Banks. Approx. 52 mi. long and 5 to 14 mi. wide. Max. depth 25 ft. Sea level; freshwater not affected by tide. Waters from the Chowan and Roanoke Rivers enter the sound on the w; it drains into Roanoke, Croatan, and Pamlico Sounds. Explored by Ralph Lane, 1586; known as Sea of Rawnocke (Roanoke Sea) in 1609. Appears as Roanoke Sound on the Comberford map, 1657. Known briefly in 1663 as Carolina River and appears as Albemarle River on the Locke map, 1671, and the Blome map, 1672. The John Barnwell map of about 1722 was one of the first to use the name Albemarle Sound. First permanent settlements in North Carolina were made along its N shore. Named after 1663 for George Monck, Duke of Albemarle, one of the Lords Proprietors of Carolina. See also Weapemeoc."
NCG00111,Albemarle Township,See North Albemarle Township; South Albemarle Township.
NCG00112,"Albemarle, The","or the Albemarle Section a term applied to NE North Carolina. It was the location of the first county, Albemarle County, which see."
NCG00113,Albert Mountain,"S Macon County between Bearpen Gap and head of Hurricane Creek. Alt. 5,207."
NCG00114,Albertson,community in NE Duplin County. Earlier known as Holt's Store for Marion Holt. Post office est. there as early as 1828.
NCG00115,Albertson Township,NE Duplin County.
NCG00116,Alberty,See Fairview.
NCG00117,Albright Township,NW Chatham County.
NCG00118,Albrittons,community in W Lenoir County.
NCG00119,Alco,"community in E Montgomery County served by post office, 1889-1915."
NCG00120,Alder Branch,"community in S Camden County. Alt. 10. Probably named for the alder bush, which grows in profusion in the vicinity. The branch, called Cross Branch in colonial days, connects a swamp that drains into Pasquotank River to another swamp that drains into North River."
NCG00121,Alderman,"community in S Cumberland County served by post office, 1885-1907."
NCG00122,Aldridge Creek,rises in SW Person County and flows SE into South Flat River.
NCG00123,Ale,"community in SW Stokes County served by post office, 1898-1903."
NCG00124,Alert,"community in N Franklin County. Alt. 300. Settled about 1900. Name chosen by first postmaster, Thomas D. Farrow."
NCG00125,Alex's Creek,See Grants Creek.
NCG00126,Alex's Cross Roads,See Alexis.
NCG00127,Alexander,"town in N Buncombe County on French Broad River. Settled about 1828; inc. 1905, but long inactive in municipal affairs. Named for James Mitchell Alexander, who built and operated a stagecoach tavern there. Alt. 1,791."
NCG00128,Alexander Branch,rises in N Buncombe County near Lovelace Gap and flows NW into Paint Fork.
NCG00129,Alexander County,"was formed in 1847 from Iredell, Caldwell, and Wilkes Counties. Located in the W central section of the state, it is bounded by Iredell, Catawba, Caldwell, and Wilkes Counties. It was named for William Julius Alexander (1797-1857), member of the General Assembly from Mecklenburg County and Speaker of the House of Commons. Area: 259 sq. mi. County seat: Taylorsville, with an elevation of 1,247 ft. Townships are Ellendale, Gwaltneys, Little River, Millers, Sharpes, Sugar Loaf, Taylorsville, and Wittenburg. Produces cattle, poultry, barley, apples, corn, bearings, textiles, furniture, and paper boxes."
NCG00130,Alexander Knob,See Jess Knob.
NCG00131,Alexander Mills,town in S Rutherford County. Inc. 1925. Named for textile mill est. by J. F. Alexander.
NCG00132,Alexander's Store,community in E Mecklenburg County also known as Lawyers and Hornet's Nest. Named for postmaster Guy Alexander.
NCG00133,Alexandriana,See Croft.
NCG00134,Alexis,"town in N Gaston County. Inc. 1899, but long inactive in municipal affairs. Formerly known as Alex's Cross Roads for a man named Alexander who owned land there."
NCG00135,Alfordston,"town authorized to be laid off and inc. 1793 on land of Thomas Matthews. Site approx. 1 mi. S of Carthage, central Moore County. The town was never laid off."
NCG00136,Alfordsville,community in W Robeson County. A post office operated there from 1800 to 1922.
NCG00137,Alfordsville Township,SW Robeson County.
NCG00138,Alfred,"community in SE Beaufort County. Settled about 1910 and named for Fred R. Alfred, large landowner. Alt. 25."
NCG00139,Alfred Creek,rises in NE Cherokee County and flows NW into Taylor Creek.
NCG00140,Algood,"community in S Yadkin County served by post office, 1886-1904."
NCG00141,Alkalithia Springs,See All Healing Springs.
NCG00142,All Healing Springs,See Crumpler.
NCG00143,Allan Branch,rises in N Yancey County and flows E into Nolichucky River.
NCG00144,Allan Creek,rises in N Madison County and flows SE into Little Laurel Creek.
NCG00145,Allanstand,"community in N Madison County on Martin Creek. In the days when stock was driven to market, a drover's station or stand was operated there by a man named Allen. Since 1897 site of Allanstand Cottage Industries, handicraft shop est. by Frances Goodrich."
NCG00146,Allbone Branch,rises in W Clay County and flows SW into Hiwassee River.
NCG00147,Alleghany County,"was formed in 1859 from Ashe County. In the NW part of the state, it is bounded by the state of Virginia and by Surry, Wilkes, and Ashe Counties. The name is a corruption of the Delaware Indian name for the Allegheny and Ohio Rivers and is said to have meant ""a fine stream."" Area: 230 sq. mi. County seat: Sparta, with an elevation of 2,939 ft. Townships are Cherry Lane, Cranberry, Gap Civil, Glade Creek, Piney Creek, Prathers Creek, and Whitehead. Produces corn, barley, apples, hay, pipes, turkeys, Christmas trees, Irish potatoes, dairy products, livestock, textiles, apparel, and crushed stone. There are manganese and granite deposits in the county."
NCG00148,Alleghany Township,S Davidson County.
NCG00149,Allegheny,community N Madison County on Shelton Laurel Creek.
NCG00150,Allegheny Mountains,See Appalachian Mountains.
NCG00151,Allemance,See Alamance.
NCG00152,Allen,community in NE Mecklenburg County.
NCG00153,Allen Branch,rises in N Macon County and flows W into Burningtown Creek.
NCG00154,Allen Creek,"rises in S Haywood County and flows NE into Richland Creek. Named for Allen family, pioneer settlers in Haywood County, approx. 1812."
NCG00155,Allen Creek,rises in S Catawba County and flows NW into Maiden Creek.
NCG00156,Allen Gap,N Cherokee County near the head-waters of Allen Branch.
NCG00157,Allen Mountain,NE Buncombe County.
NCG00158,Allen's Creek,See Lilliput Creek.
NCG00159,Allen's Crossroads,community in S Granville County W of Hester Station.
NCG00160,Allen's Fall,See Ramseur.
NCG00161,Allendale Township,SE Hoke County.
NCG00162,Allens Branch,rises in N Jackson County and flows SE into Scott Creek.
NCG00163,Allens Creek,"rises in E Haywood County and flows NW into Pigeon River. Named for Allen family, pioneer settlers in Haywood County, approx. 1812."
NCG00164,Allens Level,community in S Person County.
NCG00165,Allensville,community in E Person County. Formerly known as Trilby.
NCG00166,Allensville Township,E central Person County.
NCG00167,Allenton,former town in SE Stanly County on Pee Dee River. Laid off in 1-acre lots on an 85-acre tract on the lands of William and James Allen and John Davison in 1799. A post office operated there from 1813 to 1831; Allenton ferry operated there into the twentieth century. Site now under waters of Lake Tillery.
NCG00168,Allents Cove Branch,rises in E Transylvania County and flows N into Crab Creek.
NCG00169,Alliance,"community in N Pamlico County, in the center of an area that produces potatoes and tobacco. Settled in the 1890s and named for the Farmers’ Alliance movement. Former railroad station there was known as West Alliance."
NCG00170,Alliby Creek,See Ellerbee Creek.
NCG00171,Alligator,farming and grazing community in NE Tyrrell County on the Big Savanna near Alligator Creek.
NCG00172,Alligator Bay,in S Onslow County at the E end of Stump Sound.
NCG00173,Alligator Creek,a tidal stream on Eagles Island in E Brunswick County. It flows S into the Cape Fear River.
NCG00174,Alligator Dismal Swamp,See Great Alegator Dismal Swamp.
NCG00175,Alligator Lake,"a natural lake in N Hyde County, 3½ mi. in diameter, almost a perfect circle. Not shown on the Collet map, 1770, or the Mouzon map, 1775; a map in The Political Magazine (November 1780) shows an enlarged area at the head of Alligator River. Not until 1812, on a map published in Boston, is the lake clearly shown. Within a few years it was being labeled Alligator Lake on maps. The lake now is filled by swamp drainage; its two outlets are the New Lake Fork of Alligator River and a drainage ditch leading into Pungo River. Alligator Lake, known locally as New Lake, covers approx. 6,000 acres and is 6 to 7 ft. at its deepest."
NCG00176,Alligator Pond,"built beside McClendon's Creek 2 mi. S of Carthage, Moore County. 1 acre."
NCG00177,Alligator River,"rises in central Hyde County and flows E and N to the Hyde-Tyrrell county line, SE to the Dare-Tyrrell county line, and N into Albemarle Sound. In part, the Intracoastal Waterway follows the Alligator River. Appears as Layn Flu[ve] on the Smith map, 1624, undoubtedly named for Ralph Lane, governor of the first Roanoke colony. Appears as Alligator River on the Ogilby map, 1671."
NCG00178,Alligator River Bridge,See East Lake Landing; Sandy Point.
NCG00179,Alligator Swamp,rises in NW Brunswick County and flows N into Juniper Creek.
NCG00180,Alligator Township,NE Tyrrell County.
NCG00181,Alligoods,community in central Beaufort County. Alt. 37.
NCG00182,Allison,community in W central Caswell County. A post office operated there from 1886 to 1909.
NCG00183,Allison Creek,rises in S Macon County and flows NE into Cartoogechaye Creek.
NCG00184,Allman Branch,rises in S Madison County and flows NW into French Broad River.
NCG00185,Allman Branch,"rises in N Buncombe County and flows NW into Madison County, where it enters French Broad River."
NCG00186,Allmon Branch,rises in NE Cherokee County and flows SE into Morris Creek.
NCG00187,Allmon Creek,rises in N Cherokee County in the Snowbird Mountains and flows S into Hyatt Creek.
NCG00188,Allreds,"community in NE Montgomery County served by post office, 1880-1953. Took its name from Allred family, operators of gristmill on Little River."
NCG00189,Alma,See Daystrom.
NCG00190,Almond,"community in W Swain County on Little Tennessee River. Inc. 1905, but no longer active in municipal affairs. Named for Bud Almond, donor of original town site. Alt. 1,613."
NCG00191,Almond Township,W Stanly County.
NCG00192,Alora,"community in E Buncombe County served by post office, 1900-1906."
NCG00193,Alpha,"community in N Rowan County served by post office, 1894-1904."
NCG00194,Alpine,"community in S Sampson County served by post office, 1894-1915."
NCG00195,Alspaugh,community in central Forsyth County.
NCG00196,Alston,community in central Warren County. Post office est. there in 1903 but discontinued in 1918.
NCG00197,Altamahaw,"community in W Alamance County on Haw River. Founded about 1860 with the establishment of a cotton gin there. Later the site of several textile mills. The community of Ossipee lies directly s. Name of Indian origin, meaning unknown."
NCG00198,Altamont,"community in S Avery County. Name means high mountain. Thomas Wolfe adopted name for his fictitious Asheville in Look Homeward, Angel (1929)."
NCG00199,Altamont Township,S Avery County.
NCG00200,Altan,community in S central Union County. Served by post office from 1890 to 1904.
NCG00201,Altapass,"community in SE Mitchell County on Little Rose Creek. Alt. 2,623."
NCG00202,Alto,See Lasker.
NCG00203,Alum Knob,between Caney Fork and Tuckasegee River in central Jackson County.
NCG00204,Alum Ridge,NW Madison County parallel to Pounding Mill Branch.
NCG00205,Alum Spring,mineral waters in W Onslow County near Southwest Creek.
NCG00206,Aman's Store,See Verona.
NCG00207,Amantha,"community on Cover Creek in W Watauga County. Settled 1870. First known as McBrides Mill for Hiram McBride, first postmaster; post office by that name, 1869-87. Name later changed to honor Amantha Combs, local resident; post office by that name, 1887-1937."
NCG00208,Amboy,"community in N Chowan County served by post office, 1880-1904."
NCG00209,Amelia,community in NW Alleghany County.
NCG00210,Ames Turnout,See Wingate.
NCG00211,Amherst,See Roberson Store.
NCG00212,Amity Hill,community in S Iredell County.
NCG00213,Ammon,community in NW Bladen County.
NCG00214,Ammon Bottom,E Cherokee County between Elliott Branch and Piper Branch.
NCG00215,Ammon Knob,on the Cherokee-Clay county line in the Valley River Mountains.
NCG00216,Ammons Branch,rises in SE Macon County and flows SE into Chattooga River.
NCG00217,Ammons Knob,"S Macon County between the head of Hayes Mill Creek and Nickajack Creek. Alt. 3,916."
NCG00218,Amorita,"community in N Alleghany County served by post office, 1899-1906."
NCG00219,Amos Creek,rises in NE Madison County and flows SW into Spillcorn Creek.
NCG00220,Amos Mill Pond,See Weldons Millpond.
NCG00221,Amos Plott Balsam,See Waterrock Knob.
NCG00222,Amour,See Armour.
NCG00223,Amy,community in N central Ashe County.
NCG00224,Anderson,"community in S central Caswell County, known earlier as Anderson's Store. A post office was operated there during the approx. period 1820 to 1905."
NCG00225,Anderson Branch,rises in S Graham County and flows NE into Tulula Creek.
NCG00226,Anderson Branch,rises in W Clay County and flows NW into Hiwassee River.
NCG00227,Anderson Cove,valley through which Shelton Branch flows in N Buncombe County.
NCG00228,Anderson Cove Branch,rises in W Madison County and flows NW into Puncheon Camp Branch.
NCG00229,Anderson Creek,rises in E Haywood County and flows NE into Burnett Creek.
NCG00230,Anderson Creek Township,S Harnett County.
NCG00231,Anderson Mountain,E Haywood County between the headwaters of Stamey Cove Branch and Sally Haines Branch.
NCG00232,Anderson Swamp Creek,rises in central Vance County and flows N into Kerr Lake.
NCG00233,Anderson Township,S central Caswell County.
NCG00234,Anderson's Mountain,NE Lincoln County. Also known as Little Mountain.
NCG00235,Anderson's Store,See Anderson.
NCG00236,Andersons Crossroads,community in N Halifax County.
NCG00237,Andreas Branch,rises in N central Swain County and flows W into Noland Creek.
NCG00238,Andrews,"town in NE Cherokee County. Inc. 1905. First known as Valley Town, a name still applied to an adjacent community. Renamed for Alexander Boyd Andrews (1841-1915), leader in the development of the Western North Carolina Railroad. Alt. 1,825. Produces textiles and apparel."
NCG00239,Andrews Bald,"N Swain County in Great Smoky Mountains National Park between Forney Creek and Salola Branch. Alt. 5,860."
NCG00240,Andrews Geyser,"SW McDowell County, in Horseshoe Bend of the Southern Railway, was constructed in the 1880s, restored in 1911 and 1975, as a tribute to Col. Alexander Boyd Andrews, builder of the Western North Carolina Railroad into Asheville. Water from a higher mountain lake about 2 mi. away is piped to the site. Natural pressure forces the water upward in a 100-ft. jet from the center of a stone fountain. Formerly passenger trains stopped there for 20 minutes to enable those interested to visit the site."
NCG00241,Andy,community in N Polk County on the head of Bullin Creek.
NCG00242,Andy Branch,"rises in NW Haywood County in Great Smoky Mountains and flows about 2 mi. SE to join Woody Branch, which then joins Conrad Creek in forming Little Cataloochee Creek. Named for Andy Bennett, a former homeowner in the area."
NCG00243,Andy Gap,S Macon County between Cedar Cliff Mountain and Mulberry Gap.
NCG00244,Angel Mountain,SW Macon County between Bryson Branch and Moore Creek.
NCG00245,Angelico Gap,SW Cherokee County at the SW end of Angelico Mountain.
NCG00246,Angelico Mountain,SW Cherokee County extending NE from Angelico Gap to Bowmans Gap. See also Rocky Face.
NCG00247,Angeline,community in N Henderson County between McDowell Creek and North Fork.
NCG00248,Angier,"town in N Harnett County. Inc. 1901. Named for Col. John C. Angier, one of the town's founders. Produces apparel. Alt. 301."
NCG00249,Angle,"community in SE Wayne County served by post office, 1888-1902."
NCG00250,Anglin Branch,"rises in W Yancey County and flows SE into Jacks Creek. Named for Manon Anglin, an early settler."
NCG00251,Anglin Knob,central Yancey County near the head of Bailey Branch.
NCG00252,Anglins Mill,"community in NW Rockingham County. Named for Anglin family, members of which operated gristmill on Mayo River in mid-eighteenth century."
NCG00253,Angola,See Maple Hill.
NCG00254,Angola Bay,"pocosin in S Duplin and N Pender Counties. Angola Bay Game Preserve there is maintained by the N.C. Wildlife Resources Commission; bear, deer, and other wildlife abound. See also Holly Shelter Bay."
NCG00255,Angola Creek,rises in Angola Bay in NE Pender County and flows S into Holly Shelter Creek.
NCG00256,Ann Mountain,on a branch of Cabin Creek in S Henderson County.
NCG00257,Anna,"community in central Alleghany County served by post office, 1890-1921."
NCG00258,Annandale,community in SE Pender County. Alt. 44.
NCG00259,Annie Mountain,"E Henderson County S of Bradley Mountain. Alt. 2,731."
NCG00260,Anson County,"was formed in 1750 from Bladen County. In the S central section of the state, it is bounded by the state of South Carolina and by Union, Stanly, and Richmond Counties. It was named for George Anson, Lord Anson (1697-1762), a British admiral who, for a number of years, was assigned to protect the commerce of the Carolina coast from pirates. Area: 536 sq. mi. County seat: Wadesboro, with an elevation of 423 ft. Townships are Ansonville, Burnsville, Gulledge, Lanesboro, Lilesville, Morven, Wadesboro, and White Store. Produces lumber, bricks, soybeans, oats, corn, milo, cotton, broilers, turkeys, hosiery, textiles, and wooden boxes. Sand, gravel, and crushed stone are also produced, and there are deposits of granite, sandstone, and shale for brick."
NCG00261,Ansonville,"town in N central Anson County. Alt. 324. Settled 1844, named in 1857 for the county. Inc. 1885. Carolina Female College, 1850-67, est. by local planters and later operated by the Methodist Church, was there."
NCG00262,Ansonville Township,N central Anson County.
