id,nc_school_number,district_number,district,federal_school_number,name,description,inception,wikidata_id,url,usnews_url,address,city,city_id,latitude,longitude,operational_status,type,designation,virtual_status,sbe_region,college_board_number,county,county_id,Opening In School Year,Locale Type Desc
NCG17143,40306,40,Anson County Schools,370018002054,Anson High School,Public high school in Wadesboro. Part of the Anson County Schools district.,,Q4770728,http://ahs.ansonschools.org/home.aspx,,96 Anson High School Road  Wadesboro NC 28170,Wadesboro,NCG15763,34.9768643,-80.1037392,Open,Regular School,Public,NOTVIRTUAL,Southwest,344080,Anson County,NCG00260,,"Town, Distant"
NCG17144,50302,50,Ashe County Schools,370021002425,Ashe County High School,Public high school in West Jefferson. Part of the Ashe County Schools district. Opened 1998.,1998,Q4804787,https://www.asheschools.org/achs,,184 Campus Drive  West Jefferson NC 28694,West Jefferson,NCG16117,36.3926587,-81.4788736,Open,Regular School,Public,SUPPVIRTUAL,Northwest,344270,Ashe County,NCG00356,,"Rural, Remote"
NCG17145,50303,50,Ashe County Schools,370021003474,Ashe County Early College High,Public high school in West Jefferson. Part of the Ashe County Schools district.,,,https://nc02200844.schoolwires.net/aec,,363 Campus Dr  West Jefferson NC 28694,West Jefferson,NCG16117,36.394232,-81.4762141,Open,Regular School,Public,NOTVIRTUAL,Northwest,341931,Ashe County,NCG00356,2019,"Rural, Remote"
NCG17146,60302,60,Avery County Schools,370030000081,Avery High School,Public high school in Newland. Part of the Avery County Schools district.,,,http://www.averyschools.net/schools/ahs.aspx,,401 Avery County High School Road  Newland NC 28657,Newland,NCG10789,36.0684688,-81.9186956,Open,Regular School,Public,SUPPVIRTUAL,Northwest,342885,Avery County,NCG00439,,"Rural, Distant"
NCG17147,60334,60,Avery County Schools,370030003294,Blue Ridge Academy,Public alternative school in Newland. Part of the Avery County Schools district.,,,https://www.averyschools.net/blue-ridge-academy,,76 Old Montezuma Rd  Newland NC 28657,Newland,NCG10789,36.067824,-81.9163445,Open,Alternative Education,Public,SUPPVIRTUAL,Northwest,342887,Avery County,NCG00439,2013,"Rural, Distant"
NCG17148,06B000,,,370007702427,Marjorie Williams Academy,Charter school in Crossnore.,,,http://www.williamsacademy.org/,https://www.usnews.com/education/k12/north-carolina/marjorie-williams-academy-14250,129 Allen Circle  Crossnore NC 28616,Crossnore,NCG03823,36.0248438,-81.9284821,Open,Regular School,Charter,NOTVIRTUAL,Northwest,340946,Avery County,NCG00439,,"Rural, Distant"
NCG17149,70310,70,Beaufort County Schools,370033001360,Educational Technical Center,Public alternative school in Chocowinity. Part of the Beaufort County Schools district.,,,https://www.beaufort.k12.nc.us/schools/educational-technical-center,https://www.usnews.com/education/k12/north-carolina/b-c-ed-tech-center-14280,5700 NC Highway 33 East  Chocowinity NC 27817,Chocowinity,NCG03085,35.4463747,-77.056986,Open,Alternative Education,Public,NOTVIRTUAL,Northeast,344195,Beaufort County,NCG00891,,"Rural, Remote"
NCG17150,70311,70,Beaufort County Schools,370033003011,Beaufort Co Early College High,Public high school in Washington. Part of the Beaufort County Schools district.,,,https://www.beaufort.k12.nc.us/schools/early-college-high-school,,5337 Hwy 264 East Building 10 Washington NC 27889,Washington,NCG15916,35.6896913,-77.8109735,Open,Regular School,Public,NOTVIRTUAL,Northeast,344181,Beaufort County,NCG00891,,"Rural, Remote"
NCG17151,70330,70,Beaufort County Schools,370033002224,Northside High School,Public high school in Pinetown. Part of the Beaufort County Schools district.,,,http://beaufort.nhs.schoolfusion.us/,https://www.usnews.com/education/k12/mississippi/northside-high-school-153486,7868 Free Union Church Road  Pinetown NC 27865,Pinetown,NCG11860,35.5365608,-76.7302252,Open,Regular School,Public,NOTVIRTUAL,Northeast,340240,Beaufort County,NCG00891,,"Rural, Remote"
NCG17152,70339,70,Beaufort County Schools,370033002504,Southside High School,Public high school in Chocowinity. Part of the Beaufort County Schools district. Opened 2000.,2000,Q7571060,http://beaufort.shs.schoolfusion.us/,,5700 Hwy 33 East  Chocowinity NC 27817,Chocowinity,NCG03085,35.4463747,-77.056986,Open,Regular School,Public,NOTVIRTUAL,Northeast,340743,Beaufort County,NCG00891,,"Rural, Remote"
NCG17153,70342,70,Beaufort County Schools,370033001926,Washington High School,Public high school in Washington. Part of the Beaufort County Schools district.,,,http://beaufort.whs.schoolfusion.us/,https://www.usnews.com/education/k12/tennessee/b-t-washington-high-18086,400 Slatestone Road  Washington NC 27889 9467,Washington,NCG15916,35.5574793,-77.0135342,Open,Regular School,Public,NOTVIRTUAL,Northeast,344193,Beaufort County,NCG00891,,"Rural, Remote"
NCG17154,07A000,,,370010102502,Washington Montessori,Charter school in Washington.,,,http://wmpcs.org,https://www.usnews.com/education/k12/missouri/washington-montessori-225142,2330 Old Bath Hwy  Washington NC 27889,Washington,NCG15916,35.5385485,-76.9779875,Open,Regular School,Charter,NOTVIRTUAL,Northeast,340006,Beaufort County,NCG00891,,"Town, Distant"
NCG17155,80311,80,Bertie County Schools,370036003149,Bertie Early College High,Public high school in Windsor. Part of the Bertie County Schools district.,,,http://www.bec.bertie.k12.nc.us,,819 Governors Road  Windsor NC 27983,Windsor,NCG16501,36.0334147,-77.0140741,Open,Regular School,Public,SUPPVIRTUAL,Northeast,344394,Bertie County,NCG01126,,"Rural, Remote"
NCG17156,80312,80,Bertie County Schools,370036000101,Bertie High School,Public high school in Windsor. Part of the Bertie County Schools district.,,Q14707873,http://www.bhs.bertie.k12.nc.us,,716 US Hwy 13 North  Windsor NC 27983 9803,Windsor,NCG16501,35.3202456,-78.0610783,Open,Regular School,Public,NOTVIRTUAL,Northeast,344392,Bertie County,NCG01126,,"Rural, Remote"
NCG17157,90330,90,Bladen County Schools,370039000116,East Bladen High,Public high school in Elizabethtown. Part of the Bladen County Schools district.,,,http://www.bladen.k12.nc.us,,5600 NC Hwy 87 East  Elizabethtown NC 28337,Elizabethtown,NCG04834,34.580132,-78.530589,Open,Regular School,Public,SUPPVIRTUAL,Sandhills,341140,Bladen County,NCG01466,,"Rural, Distant"
NCG17158,90368,90,Bladen County Schools,370039002620,West Bladen High,Public high school in Bladenboro. Part of the Bladen County Schools district.,,,http://www.bladen.k12.nc.us,,1600 NC Hwy 410  Bladenboro NC 28320,Bladenboro,NCG01468,34.6384911,-78.7413234,Open,Regular School,Public,SUPPVIRTUAL,Sandhills,340377,Bladen County,NCG01466,,"Rural, Distant"
NCG17159,09A000,,,370035103285,Paul R. Brown Leadership Academy,Charter school in Elizabethtown.,,,http://www.paulrbrownleadership.com/,,1360 Martin L King Jr Dr  Elizabethtown NC 28337,Elizabethtown,NCG04834,34.6202451,-78.6181506,Open,Regular School,Charter,NOTVIRTUAL,Sandhills,341141,Bladen County,NCG01466,2014,"Rural, Distant"
NCG17160,100307,100,Brunswick County Schools,370042002898,Brunswick County Early College High School,Public high school in Bolivia. Part of the Brunswick County Schools district.,,Q24040242,http://www.bcswan.net/ECHS,,50 College Road NE  Bolivia NC 28422,Bolivia,NCG01614,34.038474,-78.2290128,Open,Regular School,Public,SUPPVIRTUAL,Southeast,340405,Brunswick County,NCG01952,,"Rural, Distant"
NCG17161,100308,100,Brunswick County Schools,370042000980,The COAST,Public alternative school in Bolivia. Part of the Brunswick County Schools district.,,,https://www.bcswan.net/COAST,,1109 Old Ocean Highway  Bolivia NC 28422,Bolivia,NCG01614,34.0379931,-78.2375798,Open,Alternative Education,Public,SUPPVIRTUAL,Southeast,343691,Brunswick County,NCG01952,,"Rural, Distant"
NCG17162,100326,100,Brunswick County Schools,370042000125,North Brunswick High School,Public high school in Leland. Part of the Brunswick County Schools district.,,Q7054318,http://www.co.brunswick.k12.nc.us/education/school/school.php?sectionid=10,,114 Scorpion Drive  Leland NC 28451,Leland,NCG08643,34.240697,-78.0233625,Open,Regular School,Public,SUPPVIRTUAL,Southeast,342212,Brunswick County,NCG01952,,"Rural, Distant"
NCG17163,100334,100,Brunswick County Schools,370042000127,South Brunswick High School,Public high school in Southport. Part of the Brunswick County Schools district. Opened 1971.,1971,Q7566445,http://www.bcswan.net/SBHS,,280 Cougar Drive BSL  Southport NC 28461,Southport,NCG14304,34.0101174,-78.0445084,Open,Regular School,Public,SUPPVIRTUAL,Southeast,340393,Brunswick County,NCG01952,,"Rural, Distant"
NCG17164,100348,100,Brunswick County Schools,370042000132,West Brunswick High,Public high school in Shallotte. Part of the Brunswick County Schools district.,,,http://www.bcswan.net/WBHS,,550 Whiteville Road NW  Shallotte NC 28470,Shallotte,NCG13652,33.980364,-78.4089947,Open,Regular School,Public,SUPPVIRTUAL,Southeast,343585,Brunswick County,NCG01952,,"Rural, Distant"
NCG17165,110303,110,Buncombe County Schools,370045002203,Community High School,Public alternative school in Swannanoa. Part of the Buncombe County Schools district.,,,https://chs.buncombeschools.org/,https://www.usnews.com/education/k12/michigan/adrian-community-high-school-9673,235 Old US 70  Swannanoa NC 28778,Swannanoa,NCG14884,35.5930464,-82.4342272,Open,Alternative Education,Public,NOTVIRTUAL,Western,340121,Buncombe County,NCG02163,,"Suburb, Midsize"
NCG17166,110304,110,Buncombe County Schools,370045000133,A. C. Reynolds High School,Public high school in Asheville. Part of the Buncombe County Schools district. Opened 1955.,1955,Q4647622,https://acrhs.buncombeschools.org/,,1 Rocket Drive  Asheville NC 28803 9100,Asheville,NCG00366,35.5462574,-82.4759526,Open,Regular School,Public,NOTVIRTUAL,Western,340112,Buncombe County,NCG02163,,"Suburb, Midsize"
NCG17167,110322,110,Buncombe County Schools,370045002661,Buncombe County Early College,Public high school in Asheville. Part of the Buncombe County Schools district.,,,https://bcec.buncombeschools.org/,,340 Victoria Road  Asheville NC 28801,Asheville,NCG00366,35.570074,-82.553755,Open,Regular School,Public,NOTVIRTUAL,Western,340128,Buncombe County,NCG02163,,"Suburb, Midsize"
NCG17168,110336,110,Buncombe County Schools,370045000142,Charles D. Owen High School,Public high school in Black Mountain. Part of the Buncombe County Schools district. Opened 1955.,1955,Q5076666,https://cdohs.buncombeschools.org/,,99 Lake Eden Road  Black Mountain NC 28711 8706,Black Mountain,NCG01425,35.6189247,-82.3734121,Open,Regular School,Public,NOTVIRTUAL,Western,343880,Buncombe County,NCG02163,,"Suburb, Midsize"
NCG17169,110340,110,Buncombe County Schools,370045000143,Clyde A. Erwin High School,Public high school in Asheville. Part of the Buncombe County Schools district.,,Q24040238,https://caehs.buncombeschools.org/,,60 Lees Creek Road  Asheville NC 28806 2110,Asheville,NCG00366,35.6181058,-82.6260591,Open,Regular School,Public,NOTVIRTUAL,Western,340130,Buncombe County,NCG02163,,"Suburb, Midsize"
NCG17170,110352,110,Buncombe County Schools,370045000147,Enka High,Public high school in Candler. Part of the Buncombe County Schools district.,,,https://ehs.buncombeschools.org/,,475 Enka Lake Road  Candler NC 28715,Candler,NCG02494,35.5293047,-82.6658126,Open,Regular School,Public,NOTVIRTUAL,Western,341215,Buncombe County,NCG02163,,"Suburb, Midsize"
NCG17171,110380,110,Buncombe County Schools,370045000156,North Buncombe High School,Public high school in Weaverville. Part of the Buncombe County Schools district.,,Q7054332,https://nbhs.buncombeschools.org/,,890 Clarks Chapel Road  Weaverville NC 28787 9343,Weaverville,NCG16008,35.7397195,-82.5576391,Open,Regular School,Public,NOTVIRTUAL,Western,344220,Buncombe County,NCG02163,,"Suburb, Midsize"
NCG17172,110416,110,Buncombe County Schools,370045000164,T. C. Roberson High School,Public high school in Asheville. Part of the Buncombe County Schools district. Opened 1962.,1962,Q7668181,https://tcrhs.buncombeschools.org/,,250 Overlook Road  Asheville NC 28803 3317,Asheville,NCG00366,35.4856069,-82.5354513,Open,Regular School,Public,NOTVIRTUAL,Western,343630,Buncombe County,NCG02163,,"Suburb, Midsize"
NCG17173,110500,110,Buncombe County Schools,370045003320,Nesbitt Discovery Academy,Public high school in Asheville. Part of the Buncombe County Schools district.,,,https://mlnda.buncombeschools.org/,,175 Bingham Rd Ste 10  Asheville NC 28806,Asheville,NCG00366,35.6068125,-82.5833257,Open,Regular School,Public,NOTVIRTUAL,Western,340009,Buncombe County,NCG02163,2015,"Suburb, Midsize"
NCG17174,111302,111,Asheville City Schools,370027000070,Asheville High School,Public high school in Asheville. Part of the Asheville City Schools district. Opened 1929.,1929,Q4804917,http://www.ashevillecityschools.net/pages/Asheville_High,,419 McDowell Street  Asheville NC 28803 2610,Asheville,NCG00366,35.57262,-82.5517436,Open,Regular School,Public,SUPPVIRTUAL,Western,340140,Buncombe County,NCG02163,,"City, Small"
NCG17175,111700,111,Asheville City Schools,370027002749,School of Inquiry and Life Sciences,Public high school in Asheville. Part of the Asheville City Schools district.,,,https://www.ashevillecityschools.net/domain/766,,419 McDowell Street  Asheville NC 28803,Asheville,NCG00366,35.57262,-82.5517436,Open,Regular School,Public,SUPPVIRTUAL,Western,340123,Buncombe County,NCG02163,,"City, Small"
NCG17176,11C000,,,370036903340,IC Imagine ,Charter school in Asheville.,,,http://www.icimagine.org,,110 Champion Way  Asheville NC 28806 0224,Asheville,NCG00366,35.5692059,-82.6159271,Open,Regular School,Charter,NOTVIRTUAL,Western,340008,Buncombe County,NCG02163,2015,"Suburb, Midsize"
NCG17177,11D000,,,370036103332,The Franklin School of Innovation,Charter school in Asheville.,,,http://www.franklinschoolofinnovation.org,https://www.usnews.com/education/k12/north-carolina/the-franklin-school-of-innovation-200620,21 Innovation Dr  Asheville NC 28806,Asheville,NCG00366,35.5692059,-82.6159271,Open,Regular School,Charter,NOTVIRTUAL,Western,340131,Buncombe County,NCG02163,2015,"Suburb, Midsize"
NCG17178,120308,120,Burke County Schools,370048001005,Hallyburton Academy,Public alternative school in Drexel. Part of the Burke County Schools district.,,,http://www.burke.k12.nc.us,https://www.usnews.com/education/k12/north-carolina/hallyburton-academy-14308,205 South Main Street  Drexel NC 28619,Drexel,NCG04455,35.7559268,-81.6044048,Open,Alternative Education,Public,NOTVIRTUAL,Northwest,991420,Burke County,NCG02188,,"Rural, Fringe"
NCG17179,120314,120,Burke County Schools,370048000174,East Burke High,Public high school in Connelly Springs. Part of the Burke County Schools district.,,,http://www.burke.k12.nc.us/ebhs/,,3695 East Burke Boulevard  Connelly Springs NC 28612,Connelly Springs,NCG03440,35.7217825,-81.4816188,Open,Regular School,Public,NOTVIRTUAL,Northwest,341928,Burke County,NCG02188,,"Rural, Fringe"
NCG17180,120318,120,Burke County Schools,370048000176,Freedom High School,Public high school in Morganton. Part of the Burke County Schools district.,,Q5500553,http://www.burke.k12.nc.us/fhs/,,511 Independence Boulevard  Morganton NC 28655,Morganton,NCG10362,35.7455579,-81.717157,Open,Regular School,Public,NOTVIRTUAL,Northwest,342745,Burke County,NCG02188,,"Rural, Fringe"
NCG17181,120346,120,Burke County Schools,370048002836,Jimmy C Draughn High School,Public high school in Valdese. Part of the Burke County Schools district.,,,http://www.burke.k12.nc.us/dhs/,,709 Lovelady Road NE  Valdese NC 28690,Valdese,NCG15663,35.7664869,-81.5437015,Open,Regular School,Public,NOTVIRTUAL,Northwest,344064,Burke County,NCG02188,,"Rural, Fringe"
NCG17182,120352,120,Burke County Schools,370048001006,North Liberty School,Public school for exceptional children in Morganton. Part of the Burke County Schools district.,,,https://nls.burke.k12.nc.us,https://www.usnews.com/education/k12/north-carolina/north-liberty-144829,523 Enola Road  Morganton NC 28655,Morganton,NCG10362,35.7096415,-81.6716409,Open,Exceptional Children,Public,NOTVIRTUAL,Northwest,991425,Burke County,NCG02188,,"Rural, Fringe"
NCG17183,120370,120,Burke County Schools,370048002832,Robert Logan Patton High School,Public high school in Morganton. Part of the Burke County Schools district. Opened 2007.,2007,Q24436509,http://www.burke.k12.nc.us/phs/,,701 Enola Road  Morganton NC 28655,Morganton,NCG10362,35.701655,-81.669386,Open,Regular School,Public,NOTVIRTUAL,Northwest,342741,Burke County,NCG02188,,"Rural, Fringe"
NCG17184,130307,130,Cabarrus County Schools,370053003083,Cox Mill High School,Public high school in Concord. Part of the Cabarrus County Schools district. Opened 2009.,2009,Q5179897,http://www.cabarrus.k12.nc.us/coxmillhs,,1355 Cox Mill Rd  Concord NC 28027 7565,Concord,NCG03409,35.3965482,-80.7260976,Open,Regular School,Public,SUPPVIRTUAL,Southwest,340302,Cabarrus County,NCG02312,,"Rural, Fringe"
NCG17185,130310,130,Cabarrus County Schools,370053000210,Central Cabarrus High School,Public high school in Concord. Part of the Cabarrus County Schools district. Opened 1966.,1966,Q5060494,http://www.cabarrus.k12.nc.us/centralcabarrus,,505 Hwy 49 S  Concord NC 28025 9298,Concord,NCG03409,35.3626079,-80.5835949,Open,Regular School,Public,SUPPVIRTUAL,Southwest,340885,Cabarrus County,NCG02312,,"Rural, Fringe"
NCG17186,130314,130,Cabarrus County Schools,370053000378,Concord High School,Public high school in Concord. Part of the Cabarrus County Schools district. Opened 1895.,1895,Q5158807,http://www.cabarrus.k12.nc.us/concordhs,https://www.usnews.com/education/k12/arkansas/concord-high-school-1278,481 Burrage Road NE  Concord NC 28025 2501,Concord,NCG03409,35.4321502,-80.5799614,Open,Regular School,Public,SUPPVIRTUAL,Southwest,340880,Cabarrus County,NCG02312,,"Rural, Fringe"
NCG17187,130316,130,Cabarrus County Schools,370053002570,Jay M. Robinson High School,Public high school in Concord. Part of the Cabarrus County Schools district. Opened 2001.,2001,Q14707990,http://www.cabarrus.k12.nc.us/robinson,,300 Pitts School Road SW  Concord NC 28027 2823,Concord,NCG03409,35.3617976,-80.662441,Open,Regular School,Public,SUPPVIRTUAL,Southwest,340890,Cabarrus County,NCG02312,,"Rural, Fringe"
NCG17188,130317,130,Cabarrus County Schools,370053002075,Cabarrus County Opportunity School,Public alternative school in Concord. Part of the Cabarrus County Schools district.,,,http://www.cabarrus.k12.nc.us/ccsopportunity,https://www.usnews.com/education/k12/north-carolina/cabarrus-co-opportunity-school-14317,120 Marsh Avenue NW  Concord NC 28025 4889,Concord,NCG03409,35.4119577,-80.5901132,Open,Alternative Education,Public,SUPPVIRTUAL,Southwest,991421,Cabarrus County,NCG02312,,"Rural, Fringe"
NCG17189,130324,130,Cabarrus County Schools,370053000215,Mount Pleasant High School,Public high school in Mount Pleasant. Part of the Cabarrus County Schools district.,,Q14708057,http://www.cabarrus.k12.nc.us/mountpleasanths,,700 Walker Road  Mount Pleasant NC 28124 9596,Mount Pleasant,,35.4076448,-80.4821312,Open,Regular School,Public,SUPPVIRTUAL,Southwest,342805,Cabarrus County,NCG02312,,"Rural, Fringe"
NCG17190,130326,130,Cabarrus County Schools,370053000216,Northwest Cabarrus High School,Public high school in Concord. Part of the Cabarrus County Schools district. Opened 1966.,1966,Q7059976,http://www.cabarrus.k12.nc.us/nwcabarrushs,,5130 NW Cabarrus Drive  Concord NC 28027 7624,Concord,NCG03409,35.4519075,-80.6639038,Open,Regular School,Public,SUPPVIRTUAL,Southwest,340900,Cabarrus County,NCG02312,,"Rural, Fringe"
NCG17191,130332,130,Cabarrus County Schools,370053002833,Hickory Ridge High School,Public high school in Harrisburg. Part of the Cabarrus County Schools district. Opened 2007.,2007,Q14707967,http://www.cabarrus.k12.nc.us/hickoryridgehs,,7321 Raging Ridge Road  Harrisburg NC 28075 7645,Harrisburg,NCG06653,35.307899,-80.6348308,Open,Regular School,Public,SUPPVIRTUAL,Southwest,341729,Cabarrus County,NCG02312,,"Rural, Fringe"
NCG17192,130333,130,Cabarrus County Schools,370053002975,Commonwealth Learning Center,Public alternative school in Concord. Part of the Cabarrus County Schools district.,,,http://www.cabarrus.k12.nc.us/plc,https://www.usnews.com/education/k12/north-carolina/performance-learning-center-14320,4521 Weddington Road  Concord NC 28027,Concord,NCG03409,35.3895773,-80.6516805,Open,Alternative Education,Public,SUPPVIRTUAL,Southwest,340889,Cabarrus County,NCG02312,,"Rural, Fringe"
NCG17193,130349,130,Cabarrus County Schools,370053003407,Cabarrus Early College of Technology,Public high school in Concord. Part of the Cabarrus County Schools district.,,,,,670 Concord Parkway North  Concord NC 28027,Concord,NCG03409,35.4177857,-80.6141972,Open,Regular School,Public,SUPPVIRTUAL,Southwest,340048,Cabarrus County,NCG02312,2017,"Rural, Fringe"
NCG17194,130350,130,Cabarrus County Schools,370053003159,Cabarrus Kannapolis Early College High School,Public high school located on the campus of Rowan Cabarrus Community College in Concord. Part of the Cabarrus County Schools district.,,,http://www.cabarrus.k12.nc.us/earlycollege,,1531 Trinity Church Rd  Concord NC 28027 7601,Concord,NCG03409,35.4375735,-80.6596562,Open,Regular School,Public,SUPPVIRTUAL,Southwest,340877,Cabarrus County,NCG02312,,"Rural, Fringe"
NCG17195,132304,132,Kannapolis City Schools,370243001039,A. L. Brown High School,Public high school in Kannapolis. Part of the Kannapolis City Schools district. Opened 1924.,1924,Q4648069,http://albhs.kcs.k12.nc.us/cms/One.aspx,,415 E 1st Street  Kannapolis NC 28083 4501,Kannapolis,NCG08089,35.4963093,-80.6185555,Open,Regular School,Public,NOTVIRTUAL,Southwest,341985,Cabarrus County,NCG02312,,"Suburb, Midsize"
NCG17196,13A000,,,370013302706,Jacksonville High School,Charter school in Concord.,,,http://www.carolinainternationalschool.org,https://www.usnews.com/education/k12/alabama/jacksonville-high-school-194,9545 Poplar Tent Road  Concord NC 28027,Concord,NCG03409,35.4093568,-80.7366426,Open,Regular School,Charter,SUPPVIRTUAL,Southwest,341728,Cabarrus County,NCG02312,,"Rural, Fringe"
