File,ID,Label,Feature type,Description,Secondary Feature Type,Related War
3-populated.csv,NCG00064,Adelaide,Community,"community in S Rockingham County served by post office, 1883-1905.",Post office town,
3-populated.csv,NCG00066,Adkins,Community,community in N Yancey County.,,
3-populated.csv,NCG00069,Adlai,Community,"community in SE Union County served by post office, 1896-1900.",Post office town,
3-populated.csv,NCG00070,Adley,Community,"community in S Wilkes County on the S side of Yadkin River. Home of Capt. John Brown, in which the Wilkes County government was organized in March 1778, is across the river. The W. Kerr Scott Dam is there.",,
3-populated.csv,NCG00071,Adoniram,Community,"community in N Granville County served by post office, 1889-1906.",Post office town,
3-populated.csv,NCG00073,Advance,Town,"town in E Davie County. Known as Shady Grove as early as 1816. When a post office was est. in 1877, a new name was required because there was already a Shady Grove post office in the state. Named because local citizens expected progress with the addition of a post office to the community. Inc. 1893. Alt. 810.",,
3-populated.csv,NCG00075,Afton,Community,community in SW Warren County between Lees Branch and the head of Richneck Creek. Post office est. 1874 but discontinued in 1919.,,
3-populated.csv,NCG00077,Agate,Community,"community in NW Hertford County served by post office, 1892-1906.",Post office town,
3-populated.csv,NCG00080,Agnela,Community,community in SW Hertford County.,,
3-populated.csv,NCG00081,Aho,Community,"community in S Watauga County near the heads of Stony Branch, Moore Branch, and Buffalo Creek. It is said that a group of men gathered to select a name for the community but, being unable to agree on a name, decided that the next word spoken by any one of them would be accepted. After a long silence, B. B. Dougherty arose, stretched, and said ""Aho!""",,
3-populated.csv,NCG00082,Ahoskie,Town,"town in S Hertford County. Post office as early as 1828 named Ahosky Ridge. Inc. 1893. Name of Indian origin, spelled Ahostsky and Ahostskey as early as 1719. Produces apparel, lumber, and wooden containers. Alt. 59.",,
3-populated.csv,NCG00085,Ahoskie Township,Township,S Hertford County.,,
3-populated.csv,NCG00088,Ai,Community,"community in SE Person County served by post office, 1887-1907.",Post office town,
3-populated.csv,NCG00093,Airbellows,Former community,"former community in S Alleghany County, now an entrance to the Blue Ridge Parkway. Alt. 3,800.",,
3-populated.csv,NCG00094,Airlie,Community,community in E New Hanover County on the N side of Bradleys Creek.,,
3-populated.csv,NCG00096,Alamance,Community,community in W Alamance County. A post office est. there as early as 1828; cotton mill built in 1837 by E. M. Holt. Alt. 454. Post office name for many years was Allemance.,,
3-populated.csv,NCG00098,Alamance Church,Community,"community in SE Guilford County. Second Ulster Scots Presbyterian Church in Guilford County, founded in the second half of eighteenth century.",,
3-populated.csv,NCG00099,Alamance County,County,"was formed in 1849 from Orange County. Located in the central part of the state, it is bounded by Orange, Chatham, Randolph, Guilford, and Caswell Counties. Named for Great Alamance Creek, which see, or the Battle of Alamance, May 16, 1771. The name appears as Aramancy River in the writings of William Byrd, 1728. Area: 434 sq. mi. County seat: Graham, with an elevation of 656 ft. Townships, now numbered 1 to 13, were formerly Patterson, Coble, Boon Station, Morton, Faucette, Graham, Albright, Newlin, Thompson, Melville, Pleasant Grove, Burlington, and Haw River. Produces auto parts, tobacco, poultry, dairy and beef cattle, pecans, textiles, electronics, paper boxes, apparel, crushed stone, pyrophyllite, and bricks.",,
3-populated.csv,NCG00101,Alarka,Community,"community in S Swain County on Yalaka Creek, from which it takes its name.",,
3-populated.csv,NCG00103,Albans,Community,community in NE Union County.,,
3-populated.csv,NCG00104,Albemarle,City,"city and county seat in N central Stanly County. Alt. 505. Post office opened there as Smith's Store in 1826; name changed to Albemarle, 1841. Inc. 1857. Named for George Monck (1608-79), Duke of Albemarle, one of the original Lords Proprietors of Carolina in 1663.",,
3-populated.csv,NCG00107,Albemarle County,County,"was est. in 1664 in the NE portion of the Lords Proprietors’ new province of Carolina covering a poorly defined 1,600 sq. mi. The first governor of the county was appointed in October 1664, and it soon also had a legislature and courts. By 1668 it was divided into Chowan, Currituck, Pasquotank, and Perquimans precincts. The county ceased to exist as a unit of government in Carolina in 1689, when Governor Seth Sothel departed. The next governor had his commission for ""that part of our province of Carolina that lyes north and east of Cape feare,"" which was basically the whole of modern North Carolina.",,
3-populated.csv,NCG00114,Albertson,Community,community in NE Duplin County. Earlier known as Holt's Store for Marion Holt. Post office est. there as early as 1828.,,
3-populated.csv,NCG00115,Albertson Township,Township,NE Duplin County.,,
3-populated.csv,NCG00117,Albright Township,Township,NW Chatham County.,,
3-populated.csv,NCG00118,Albrittons,Community,community in W Lenoir County.,,
3-populated.csv,NCG00119,Alco,Community,"community in E Montgomery County served by post office, 1889-1915.",Post office town,
3-populated.csv,NCG00120,Alder Branch,Community,"community in S Camden County. Alt. 10. Probably named for the alder bush, which grows in profusion in the vicinity. The branch, called Cross Branch in colonial days, connects a swamp that drains into Pasquotank River to another swamp that drains into North River.",,
3-populated.csv,NCG00121,Alderman,Community,"community in S Cumberland County served by post office, 1885-1907.",Post office town,
3-populated.csv,NCG00123,Ale,Community,"community in SW Stokes County served by post office, 1898-1903.",Post office town,
3-populated.csv,NCG00124,Alert,Community,"community in N Franklin County. Alt. 300. Settled about 1900. Name chosen by first postmaster, Thomas D. Farrow.",,
3-populated.csv,NCG00127,Alexander,Town,"town in N Buncombe County on French Broad River. Settled about 1828; inc. 1905, but long inactive in municipal affairs. Named for James Mitchell Alexander, who built and operated a stagecoach tavern there. Alt. 1,791.",,
3-populated.csv,NCG00129,Alexander County,County,"was formed in 1847 from Iredell, Caldwell, and Wilkes Counties. Located in the W central section of the state, it is bounded by Iredell, Catawba, Caldwell, and Wilkes Counties. It was named for William Julius Alexander (1797-1857), member of the General Assembly from Mecklenburg County and Speaker of the House of Commons. Area: 259 sq. mi. County seat: Taylorsville, with an elevation of 1,247 ft. Townships are Ellendale, Gwaltneys, Little River, Millers, Sharpes, Sugar Loaf, Taylorsville, and Wittenburg. Produces cattle, poultry, barley, apples, corn, bearings, textiles, furniture, and paper boxes.",,
3-populated.csv,NCG00131,Alexander Mills,Town,town in S Rutherford County. Inc. 1925. Named for textile mill est. by J. F. Alexander.,,
3-populated.csv,NCG00132,Alexander's Store,Community,community in E Mecklenburg County also known as Lawyers and Hornet's Nest. Named for postmaster Guy Alexander.,,
3-populated.csv,NCG00134,Alexis,Town,"town in N Gaston County. Inc. 1899, but long inactive in municipal affairs. Formerly known as Alex's Cross Roads for a man named Alexander who owned land there.",,
3-populated.csv,NCG00135,Alfordston,Town,"town authorized to be laid off and inc. 1793 on land of Thomas Matthews. Site approx. 1 mi. S of Carthage, central Moore County. The town was never laid off.",,
3-populated.csv,NCG00136,Alfordsville,Community,community in W Robeson County. A post office operated there from 1800 to 1922.,,
3-populated.csv,NCG00137,Alfordsville Township,Township,SW Robeson County.,,
3-populated.csv,NCG00138,Alfred,Community,"community in SE Beaufort County. Settled about 1910 and named for Fred R. Alfred, large landowner. Alt. 25.",,
3-populated.csv,NCG00140,Algood,Community,"community in S Yadkin County served by post office, 1886-1904.",Post office town,
3-populated.csv,NCG00145,Allanstand,Community,"community in N Madison County on Martin Creek. In the days when stock was driven to market, a drover's station or stand was operated there by a man named Allen. Since 1897 site of Allanstand Cottage Industries, handicraft shop est. by Frances Goodrich.",,
3-populated.csv,NCG00147,Alleghany County,County,"was formed in 1859 from Ashe County. In the NW part of the state, it is bounded by the state of Virginia and by Surry, Wilkes, and Ashe Counties. The name is a corruption of the Delaware Indian name for the Allegheny and Ohio Rivers and is said to have meant ""a fine stream."" Area: 230 sq. mi. County seat: Sparta, with an elevation of 2,939 ft. Townships are Cherry Lane, Cranberry, Gap Civil, Glade Creek, Piney Creek, Prathers Creek, and Whitehead. Produces corn, barley, apples, hay, pipes, turkeys, Christmas trees, Irish potatoes, dairy products, livestock, textiles, apparel, and crushed stone. There are manganese and granite deposits in the county.",,
3-populated.csv,NCG00148,Alleghany Township,Township,S Davidson County.,,
3-populated.csv,NCG00149,Allegheny,Community,community N Madison County on Shelton Laurel Creek.,,
3-populated.csv,NCG00152,Allen,Community,community in NE Mecklenburg County.,,
3-populated.csv,NCG00159,Allen's Crossroads,Community,community in S Granville County W of Hester Station.,,
3-populated.csv,NCG00161,Allendale Township,Township,SE Hoke County.,,
3-populated.csv,NCG00164,Allens Level,Community,community in S Person County.,,
3-populated.csv,NCG00165,Allensville,Community,community in E Person County. Formerly known as Trilby.,,
3-populated.csv,NCG00166,Allensville Township,Township,E central Person County.,,
3-populated.csv,NCG00167,Allenton,Former community,former town in SE Stanly County on Pee Dee River. Laid off in 1-acre lots on an 85-acre tract on the lands of William and James Allen and John Davison in 1799. A post office operated there from 1813 to 1831; Allenton ferry operated there into the twentieth century. Site now under waters of Lake Tillery.,,
3-populated.csv,NCG00169,Alliance,Community,"community in N Pamlico County, in the center of an area that produces potatoes and tobacco. Settled in the 1890s and named for the Farmers’ Alliance movement. Former railroad station there was known as West Alliance.",,
3-populated.csv,NCG00171,Alligator,Community,farming and grazing community in NE Tyrrell County on the Big Savanna near Alligator Creek.,,
3-populated.csv,NCG00180,Alligator Township,Township,NE Tyrrell County.,,
3-populated.csv,NCG00181,Alligoods,Community,community in central Beaufort County. Alt. 37.,,
3-populated.csv,NCG00182,Allison,Community,community in W central Caswell County. A post office operated there from 1886 to 1909.,,
3-populated.csv,NCG00188,Allreds,Community,"community in NE Montgomery County served by post office, 1880-1953. Took its name from Allred family, operators of gristmill on Little River.",Post office town,
3-populated.csv,NCG00190,Almond,Community,"community in W Swain County on Little Tennessee River. Inc. 1905, but no longer active in municipal affairs. Named for Bud Almond, donor of original town site. Alt. 1,613.",,
3-populated.csv,NCG00191,Almond Township,Township,W Stanly County.,,
3-populated.csv,NCG00192,Alora,Community,"community in E Buncombe County served by post office, 1900-1906.",Post office town,
3-populated.csv,NCG00193,Alpha,Community,"community in N Rowan County served by post office, 1894-1904.",Post office town,
3-populated.csv,NCG00194,Alpine,Community,"community in S Sampson County served by post office, 1894-1915.",Post office town,
3-populated.csv,NCG00195,Alspaugh,Community,community in central Forsyth County.,,
3-populated.csv,NCG00196,Alston,Community,community in central Warren County. Post office est. there in 1903 but discontinued in 1918.,,
3-populated.csv,NCG00197,Altamahaw,Community,"community in W Alamance County on Haw River. Founded about 1860 with the establishment of a cotton gin there. Later the site of several textile mills. The community of Ossipee lies directly s. Name of Indian origin, meaning unknown.",,
3-populated.csv,NCG00198,Altamont,Community,"community in S Avery County. Name means high mountain. Thomas Wolfe adopted name for his fictitious Asheville in Look Homeward, Angel (1929).",,
3-populated.csv,NCG00199,Altamont Township,Township,S Avery County.,,
3-populated.csv,NCG00200,Altan,Community,community in S central Union County. Served by post office from 1890 to 1904.,,
3-populated.csv,NCG00201,Altapass,Community,"community in SE Mitchell County on Little Rose Creek. Alt. 2,623.",,
3-populated.csv,NCG00207,Amantha,Community,"community on Cover Creek in W Watauga County. Settled 1870. First known as McBrides Mill for Hiram McBride, first postmaster; post office by that name, 1869-87. Name later changed to honor Amantha Combs, local resident; post office by that name, 1887-1937.",,
3-populated.csv,NCG00208,Amboy,Community,"community in N Chowan County served by post office, 1880-1904.",Post office town,
3-populated.csv,NCG00209,Amelia,Community,community in NW Alleghany County.,,
3-populated.csv,NCG00212,Amity Hill,Community,community in S Iredell County.,,
3-populated.csv,NCG00213,Ammon,Community,community in NW Bladen County.,,
3-populated.csv,NCG00218,Amorita,Community,"community in N Alleghany County served by post office, 1899-1906.",Post office town,
3-populated.csv,NCG00223,Amy,Community,community in N central Ashe County.,,
3-populated.csv,NCG00224,Anderson,Community,"community in S central Caswell County, known earlier as Anderson's Store. A post office was operated there during the approx. period 1820 to 1905.",,
3-populated.csv,NCG00230,Anderson Creek Township,Township,S Harnett County.,,
3-populated.csv,NCG00233,Anderson Township,Township,S central Caswell County.,,
3-populated.csv,NCG00236,Andersons Crossroads,Community,community in N Halifax County.,,
3-populated.csv,NCG00238,Andrews,Town,"town in NE Cherokee County. Inc. 1905. First known as Valley Town, a name still applied to an adjacent community. Renamed for Alexander Boyd Andrews (1841-1915), leader in the development of the Western North Carolina Railroad. Alt. 1,825. Produces textiles and apparel.",,
3-populated.csv,NCG00241,Andy,Community,community in N Polk County on the head of Bullin Creek.,,
3-populated.csv,NCG00247,Angeline,Community,community in N Henderson County between McDowell Creek and North Fork.,,
3-populated.csv,NCG00248,Angier,Town,"town in N Harnett County. Inc. 1901. Named for Col. John C. Angier, one of the town's founders. Produces apparel. Alt. 301.",,
3-populated.csv,NCG00249,Angle,Community,"community in SE Wayne County served by post office, 1888-1902.",Post office town,
3-populated.csv,NCG00252,Anglins Mill,Community,"community in NW Rockingham County. Named for Anglin family, members of which operated gristmill on Mayo River in mid-eighteenth century.",,
3-populated.csv,NCG00257,Anna,Community,"community in central Alleghany County served by post office, 1890-1921.",Post office town,
3-populated.csv,NCG00258,Annandale,Community,community in SE Pender County. Alt. 44.,,
3-populated.csv,NCG00260,Anson County,County,"was formed in 1750 from Bladen County. In the S central section of the state, it is bounded by the state of South Carolina and by Union, Stanly, and Richmond Counties. It was named for George Anson, Lord Anson (1697-1762), a British admiral who, for a number of years, was assigned to protect the commerce of the Carolina coast from pirates. Area: 536 sq. mi. County seat: Wadesboro, with an elevation of 423 ft. Townships are Ansonville, Burnsville, Gulledge, Lanesboro, Lilesville, Morven, Wadesboro, and White Store. Produces lumber, bricks, soybeans, oats, corn, milo, cotton, broilers, turkeys, hosiery, textiles, and wooden boxes. Sand, gravel, and crushed stone are also produced, and there are deposits of granite, sandstone, and shale for brick.",,
3-populated.csv,NCG00261,Ansonville,Town,"town in N central Anson County. Alt. 324. Settled 1844, named in 1857 for the county. Inc. 1885. Carolina Female College, 1850-67, est. by local planters and later operated by the Methodist Church, was there.",,
3-populated.csv,NCG00262,Ansonville Township,Township,N central Anson County.,,
3-populated.csv,NCG00268,Antioch,Community,community in S Hoke County on Raft Swamp.,,
3-populated.csv,NCG00269,Antioch Township,Township,E Wilkes County.,,
3-populated.csv,NCG00270,Antler,Community,"community in central Moore County served by post office, 1891-1907.",Post office town,
3-populated.csv,NCG00273,Apex,Town,"town in W Wake County on the head of Beaver Creek. Inc. 1873. Named because it was supposed to be the highest point on the railroad between Richmond, Va., and Jacksonville, Fla. When first settled, the area was an important producer of turpentine and rosin. The town now produces apparel, plywood, and chemicals.",,
3-populated.csv,NCG00277,Appie,Community,"community in N Greene County. Named about 1907 for Mrs. Appie (Apelia?) Bynum, local resident.",,
3-populated.csv,NCG00278,Apple Grove,Community,"community in NW Ashe County. Alt. 3,137.",,
3-populated.csv,NCG00279,Appletree,Community,"community in NW Greene County served by post office, 1886-98. Later known as Lindell, which see.",Post office town,
3-populated.csv,NCG00282,Applewhite,Community,"community in E Columbus County served by post office, 1892-1907.",Post office town,
3-populated.csv,NCG00283,Aquadale,Community,community in S Stanly County. Inc. 1943; charter repealed 1945. Named by local resident: aqua (water) and dale (valley). Many springs in the area.,,
3-populated.csv,NCG00286,Aquone,Community,"community in W Macon County on Nantahala River. Alt. 2,950. Settled on the site of Fort Scott, one of the stockades where Cherokee Indians were housed before being removed to Oklahoma, 1838. Name believed to be a corruption of egwanul'ti (by the river).",,
3-populated.csv,NCG00287,Arabi,Community,"community in N Robeson County served by post office, July-November 1900.",,
3-populated.csv,NCG00291,Arapahoe,Town,"town in S Pamlico County, inc. 1920. Post office est. 1886. Said to have been named for a local racehorse.",,
3-populated.csv,NCG00292,Ararat,Community,community in E Surry County on Ararat River. Named for the river. Alt. 898.,,
3-populated.csv,NCG00294,Arba,Community,community in S Greene County. Named for the biblical name Kirjatharba (Joshua 14:15).,,
3-populated.csv,NCG00295,Arbuckle,Community,"community in E Yancey County between North Toe and South Toe Rivers near their junction. A former post office, Dobag [Doe Bag], served the area.",,
3-populated.csv,NCG00296,Arcadia,Community,community in N Davidson County.,,
3-populated.csv,NCG00297,Arcadia Township,Township,NW Davidson County.,,
3-populated.csv,NCG00300,Archdale,Town,"town in SE Cleveland County. Alt. 943. Settled in the eighteenth century and named for Quaker John Archdale, governor of Carolina, 1694-96.",,
3-populated.csv,NCG00301,Archdale County,County,"was formed before 1696 ""on Pampticoe River without the Bounds of the County of Albemarle."" It was named for John Archdale (1642?-1717), governor of Carolina, 1694-96. The precinct of Pampticoe was a part of Archdale County in 1696, at which time it became the County of Bath. The name of Archdale County was changed to Craven, which see, about 1712.",,
3-populated.csv,NCG00303,Archer Lodge,Community,community in N Johnston County.,,
3-populated.csv,NCG00307,Arcola,Community,"community in SE Warren County E of Fishing Creek. Post office est. there in 1849, but discontinued in 1954.",,
3-populated.csv,NCG00308,Arcot,Community,"community in central Sampson County served by post office, 1894-1902.",Post office town,
3-populated.csv,NCG00309,Arden,Town,"town in S Buncombe County. Settled about 1840. Inc. 1883, but long inactive in municipal affairs. Known first as Shufordsville. Renamed for the Forest of Arden in Shakespeare's play As You Like It Alt. 2,225.",,
3-populated.csv,NCG00310,Ardreys,Community,"community in S Mecklenburg County served by post office, 1898-1902.",Post office town,
3-populated.csv,NCG00311,Ardulusa,Community,community on Rockfish Creek in S Cumberland County.,,
3-populated.csv,NCG00313,Argo,Former community,former town in N Nash County on Short Swamp Branch. Inc. 1889. Nearby Argo Gold Mine worked from about 1850 until about 1920. Both town and mine are now abandoned.,,
3-populated.csv,NCG00314,Argura,Community,"community in E central Jackson County on Gladie Creek. Alt. 3,291.",,
3-populated.csv,NCG00315,Argyle,Former community,"former community on Little Rockfish Creek in NE Hoke County. Site now within the Fort Bragg Military Reservation. Named for Argyll, Scotland.",,
3-populated.csv,NCG00320,Armour,Community,"community in NE Columbus County. Named Amour (French, ""love"") for the Love family in the area, but through the years the spelling was changed.",,
3-populated.csv,NCG00321,Armstrong,Former community,"former community in NW McDowell County on Threemile Creek. With the establishment of Little Switzerland, which see, 2 mi. nw, the community began to decline.",,
3-populated.csv,NCG00324,Arnold,Community,community in W Davidson County near the headwaters of Swearing Creek.,,
3-populated.csv,NCG00327,Arnt,Community,"formerly a small community and site of Arnt Ferry over the Catawba River, NE Catawba County. Site now covered by waters of Lookout Shoals Lake.",,
3-populated.csv,NCG00332,Arrwood Mill,Community,community in E Cherokee County on Slow Creek.,,
3-populated.csv,NCG00334,Artesia,Community,community in central Columbus County.,,
3-populated.csv,NCG00336,Arthur Township,Township,"W central Pitt County, formerly known as Beaver Dam Township.",,
3-populated.csv,NCG00340,Asa,Community,"community in central Greene County served by post office, March-September 1900.",,
3-populated.csv,NCG00343,Asbury,Community,"community in W Wake County on the head of Richland Creek. Settled 1900. Named by its founder, Calvin Bridgers, for Asbury, England. Alt. 484.",,
3-populated.csv,NCG00347,Ash,Community,community in W Brunswick County.,,
3-populated.csv,NCG00353,Ash Hill,Community,"community in E Surry County served by post office, 1881-1907.",Post office town,
3-populated.csv,NCG00356,Ashe County,County,"was formed in 1799 from Wilkes County. In the NW corner of the state, it is bounded by the states of Tennessee and Virginia and by Alleghany, Wilkes, and Watauga Counties. It was named for Samuel Ashe (1725-1813), Revolutionary patriot, superior court judge, and governor of the state (1795-98). Area: 427 sq. mi. County seat: Jefferson, with an elevation of 2,900 ft. Townships are Chestnut Hill, Clifton, Creston, Elk, Grassy Creek, Helton, Horse Creek, Hurricane, Jefferson, Laurel, North Fork, Obids, Oldfields, Peak Creek, Pine Swamp, Piney Creek, Pond Mountain, Walnut Hill, and West Jefferson. Produces corn, tobacco, Christmas trees, rubber products, wood products, hay, dairy livestock, chemicals, textiles, hosiery, furniture, and electronics. Home to a cheese plant in West Jefferson. Copper and mica are mineral products, and the county has a potential for the production of stone, iron ore, and gem stones.",,
3-populated.csv,NCG00361,Asheboro,Town,"town and county seat, central Randolph County. Inc. 1796. Named for Samuel Ashe (1725-1813), governor of North Carolina, 1795-98. Produces hosiery, apparel, textiles, blankets, batteries, furniture, toys, and shoes. Alt. 879.",,
3-populated.csv,NCG00363,Asheboro Township,Township,central Randolph County.,,
3-populated.csv,NCG00366,Asheville,City,"city and county seat, central Buncombe County on French Broad River. Settled about 1792; inc. 1797. First called Morristown, probably for William Morrison, who cast the deciding vote as one of the commissioners to select a site for the courthouse in 1792. Named Asheville for Samuel Ashe, governor of North Carolina (1795-98). As the city grew, its boundaries were extended to take in a number of adjacent areas, including Kenilworth, Biltmore, Montford, Ramoth (or Woolsey), Sunset Park, Victoria, and West Asheville. Historically a tourist and health resort, the city experienced a renaissance as bohemian mecca in late twentieth century. Alt. 2,216. University of North Carolina at Asheville N of downtown. Industry: publishing, software, apparel electronics, furniture, handicrafts, metalwork.",,
3-populated.csv,NCG00367,Asheville Township,Township,central Buncombe County.,,
3-populated.csv,NCG00368,Ashford,Community,"community in N McDowell County on North Fork [Catawba River]. Alt. 1,762.",,
3-populated.csv,NCG00369,Ashland,Community,community in SW Caswell County. A post office operated there from 1878 to 1915.,,
3-populated.csv,NCG00370,Ashley,Community,"community in NW Ashe County served by post office, 1888-1905.",Post office town,
3-populated.csv,NCG00372,Ashley Heights,Community,community in W Hoke County. Alt. 438.,,
3-populated.csv,NCG00373,Ashmont,Community,community in W Hoke County.,,
3-populated.csv,NCG00377,Ashton,Community,community in S Pender County. Named for a member of the Ashe family who was a railroad official.,,
3-populated.csv,NCG00381,Ashworth,Community,"community in NE Rockingham County served by post office, 1901-22. Was near Chandler's Mill on Wolf Island Creek.",Post office town,
3-populated.csv,NCG00385,Askewville,Town,"town in central Bertie County. Settled in 1890s, named for local family. Alt. 64. Inc. 1951.",,
3-populated.csv,NCG00386,Askins,Community,"community in NE Craven County. Named for Alec Askins, on whose land a former post office was built. Alt. 18. See also Ernul.",,
3-populated.csv,NCG00388,Aspen,Community,community in E Warren County. Post office est. there in 1908 but discontinued in 1915.,,
3-populated.csv,NCG00393,Atfa,Community,"community in W Johnston County served by post office, 1893-1903.",Post office town,
3-populated.csv,NCG00394,Athens,Community,"community in NE Robeson County served by post office, 1880-1903.",Post office town,
3-populated.csv,NCG00399,Atkinson,Town,"town in W Pender County. Laid out on the lands of W. H. Lewis in 1883 (the year after a station had been est. there on the railroad) and known as Lewis. Inc. 1909 as Atkinson, named for an engineer whose work sped the completion of the railroad. Alt. 65.",,
3-populated.csv,NCG00401,Atlantic,Town,"town in NE Carteret County, inc. 1905, but not now active in municipal affairs. Alt. 15. Settled about 1740; called Hunting Quarters until 1890. Post office est. 1880.",,
3-populated.csv,NCG00402,Atlantic Beach,Town,town on the E end of Bogue Banks on the Atlantic Ocean. Inc. 1937.,,
3-populated.csv,NCG00404,Atlantic Township,Township,on Core Sound in E Carteret County. Formerly known as Hunting Quarters Township.,,
3-populated.csv,NCG00405,Atlee,Community,"community in E Rockingham County served by post office, 1889-1903.",Post office town,
3-populated.csv,NCG00409,Atwell Township,Township,SW Rowan County.,,
3-populated.csv,NCG00410,Atwood,Community,community in S Forsyth County.,,
3-populated.csv,NCG00411,Auberry,Community,community in W Clay County on Hiwassee River.,,
3-populated.csv,NCG00412,Auburn,Community,community in E Wake County. Alt. 340.,,
3-populated.csv,NCG00415,Augusta,Community,"community in SE Davie County served by post office, 1890-1902.",Post office town,
3-populated.csv,NCG00416,Aulander,Town,"town in NW Bertie County. In existence before the Civil War as Harmon's Crossroads. Inc. as Aulander in 1885. Alt. 73. The intended name was Orlando, but a phonetic spelling was used to distinguish it from Orlando, Fla. Another story is that a local sawmill operator, Andrew J. Dunning, had the town named for himself, i.e. ""Ole Ander.""",,Civil War
3-populated.csv,NCG00418,Aumans Crossroads,Community,community in S Randolph County.,,
3-populated.csv,NCG00420,Aurelian Springs,Community,community in W Halifax County. Named aurelian (golden) because the water from the seven springs there was believed to be a cure-all. A popular recreation area of the late nineteenth century.,,
3-populated.csv,NCG00421,Aurora,Town,"town in SE Beaufort County. Alt. 25. Inc. 1880. Named for a former county newspaper, Aurora Borealis Originally a settlement of free African Americans called Betty Town existed there.",,
3-populated.csv,NCG00422,Ausbon,Community,"community in W Washington County. Alt. 41. Named for C. V. M. Ausbon, clerk of Superior Court, 1906-42.",,
3-populated.csv,NCG00423,Austin,Community,community in NE Wilkes County near the headwaters of Little Elkin River.,,
3-populated.csv,NCG00426,Austins Mill,Community,community in N Scotland County.,,
3-populated.csv,NCG00429,Autro,Community,"community in W Cleveland County served by post office, 1883-1904.",Post office town,
3-populated.csv,NCG00430,Autryville,Town,"town in W Sampson County. Settled about 1888; inc. 1891. Named for James L. Autry, who erected stores and est. a trading center there. Alt. 108.",,
