ID,Label,Feature type,Description
NCG00437,Averasboro,Populated place,"formerly a town on the Cape Fear River in SE Harnett County. Provided for by legislative act in 1791, to be laid off on land owned by Alexander Avera and called Averasburg. Site of a gristmill about 1740 and soon afterward of other public buildings. Site of Confederate attack on Sherman's army, March 15, 1865. Town began to decline soon after Civil War and by 1888 was practically abandoned. Site, 1 mi. S of Erwin, is marked by grove of large oak and beech trees and sets of historic houses and historical markers."
NCG00474,Back Landing,Transportation,in NW Tyrrell County on Scuppernong River. See also Newport.
NCG00477,Back of Beyond,Region,name given to far western counties by Horace Kephart in Our Southern Highlanders (1913). Derived from longtime inaccessibility of region.
NCG00481,Backcountry,Region,"term used during the early settlement and colonial period for the vast interior of North Carolina, located away from the coastline and including both the modern-day Piedmont and Mountain regions."
NCG00497,Bailey Hill,Hill,"N Yancey County, extends NW from Locust Rough Mountain to Jacks Creek. Early settlers named Bailey are buried there and the site is reserved for a burying ground."
NCG00498,Bailey Meadows,Area,in E Mitchell County between Sparks Ridge and Beaver Creek.
NCG00580,Ballast Bank,Freshwater area,"the point of land in the mouth of South Fork Creek at Scuppernong River, W Tyrrell County."
NCG00581,Ballast Pit,Business or business district,"stony area about 1 mi. square, E central Anson County. Worked commercially for construction material."
NCG00586,Balls Creek Camp Ground,Campground,"E Catawba County. Est. 1853, and trustees inc. 1861. Methodist. Camp meetings held there annually during the last week in August."
NCG00644,Barker Butt,Mountain feature,E Swain County on Hickory Mountain.
NCG00652,Barkers Ferry,Transportation,on Catawba River at Mecklenburg-Lincoln county boundary. Now under waters of Lake Norman.
NCG00670,Barney Slue,Waterway,"in the waters of Pamlico Sound, N of Hatteras Inlet, S Dare County."
NCG00698,"Basin, The",Body of water,a body of water at the S tip of New Hanover County. The Cape Fear River on the W is separated from The Basin by a dam; New Inlet on the Atlantic Ocean side permits access from Onslow Bay. The Brunswick-New Hanover county line divides The Basin near its center.
NCG00767,Baymarsh Thorofare,Waterway,"waterway between Sheep Island and Portsmouth Island, E Carteret County."
NCG00781,Beacon Island Shoal,Shoal,"in Pamlico Sound in NE Carteret County, obstructing passage through Ocracoke Inlet. Located between Beacon Island and Wallace Channel. Appears on the Moseley map, 1733."
NCG00788,Bean Shoals,Shoal,"a succession of rocks and loose stones in Yadkin River on Surry-Yadkin county line, approx. 1 mi. S of the confluence of Ararat River. The shoals measure 2 mi. in length. The communities of Shoals (Surry County) and Bean Shoals (Yadkin County) are nearby. Mentioned as early as 1819 in a survey of the rivers of North Carolina."
NCG00790,Bear Banks,Shore,"coastal beach in SE Onslow County on the Atlantic Ocean between Bogue and Bear inlets. Mentioned in local records as early as 1713; also spelled Bare, Bar, and Barr. Known also as Bear Beach and Heady's Beach for Daniel Heady and four generations of his descendants who owned the area. The Banks are approx. 3½ mi. long."
NCG00885,Beattie's Ford,Transportation,"across the Catawba River, Lincoln-Mecklenburg Counties near the Iredell County line. Named for John Beatty, who owned land in the area as early as 1749. A post office named Beatie's Ford existed in the vicinity from 1806 to 1838. A part of the British army, in pursuit of Gen. Nathanael Greene, crossed the river there on February 1, 1781. The site is now under the waters of Lake Norman."
NCG00950,Bee Cove Lead,Mountain feature,extends NE from Yellow Creek to Bee Cove Knob in N Graham County.
NCG00994,Beetree Reservoir,Body of water,"on Beetree Creek, NE Buncombe County. Alt. 2,669. The 55-acre lake is part of the water system of the city of Asheville."
NCG01039,Bells Ferry,Transportation,"appears on the Moseley map, 1733, across Lockwoods Folly River on the Brunswick, N.C.-Charleston, S.C., road in New Hanover Precinct of Clarendon County. The site is in what is now S central Brunswick County."
NCG01046,Belmont Mountai,Mountain feature,N Henderson County between Clear Creek and Featherston Creek.
NCG01123,Bert Creek Lead,Mountain feature,SE Graham County between Franks Creek and Bert Creek.
NCG01160,Betty Noland Cliff,Mountain feature,between Norton Branch and the head of Ammons Branch in SE Macon County.
NCG01167,Bewes Ordinary,Area,"appears on the Collet map, 1770, apparently in what is now W Guilford County S of the community of Colfax, E of Deep River, and near Sandy Ridge Church."
NCG01196,Big Butt,Mountain feature,"on the Madison County, N.C.-Greene County, Tenn., line. Alt. 4,836."
NCG01197,Big Butt,Mountain feature,S Macon County between Mooney Gap and Bearpen Gap.
NCG01251,Big Kinnakeet Coast Guard Station,Coast Guard station,SE Hatteras Island in Dare County. First est. as lifesaving station in 1878-79. Lifesaving Service and Revenue Cutter Service joined to form U.S. Coast Guard in 1915. Now decommissioned.
NCG01270,Big Meadows,Area,loamy section between Balls Mountain and Blackwood Mountain on the head of Old Field Creek in S Orange County.
NCG01286,Big Pine Ridg,Mountain feature,S Clay County between Rocking Chair Branch and Pounding Creek.
NCG01288,Big Piney Ridg,Mountain feature,NE Buncombe County between Big Piney Branch and Little Piney Branch.
NCG01290,Big Pisgah Mountai,Mountain feature,W Transylvania County between Panthertail Mountain and West Fork French Broad River.
NCG01294,Big Porpoise Ba,Bay,"in Pamlico Sound on the E side of Goose Creek Island, NE Pamlico County."
NCG01305,Big Savanna,Depression,"N Tyrrell County, is a slough extending NE in an arc N of Mills Ridge from near the community of Levels to Alligator Creek."
NCG01306,Big Savannah,Area,"central and NW Pender County. Originally covered over 2,000 acres, lying between 50 and 60 ft. above sea level. A flat, treeless area, surrounded by pine woods. Water table generally at or close to the surface. Much of the Big Savannah has been drained and cultivated. Once noted for the large variety of wildflowers that grew among the grasses. Also known as Burgaw Savannah."
NCG01396,Black Ankle,Area,a strip of deep fertile soil across the S portion of Robeson County. Named for the fact that a plowman's ankles would be black after plowing in the soil.
NCG01397,Black Ankle,Area,"derisive name for an area in S central Randolph County and NE Montgomery County. Named because bootleggers operating there during Prohibition would start fires over a large area when they were operating a still so that officers of the law could not find the still. They were said to have ""black ankles"" from walking through the ashes of old fires to start new ones. Name also said to derive from fact that gold miners in the area stood in muck."
NCG01401,Black Brothers,Mountain feature,"former name of two peaks approx. 1 mi. N of Mount Mitchell, S Yancey County. Renamed Mount Craig and Big Tom, which see, in 1947."
NCG01408,Black Fields,Area,"an area of black, poorly drained soil in E Washington County, covering an area of approx. 6 sq. mi., W of the community of Scuppernong. Mentioned as early as 1868 in local records."
NCG01424,Black Mountain Natural Area,Reserve,"in Pisgah National Forest, Yancey County. Covers 1,405 acres, the watershed of Middle Creek, a tributary of the South Toe River on the E slope of Mount Mitchell. The area was set aside from all commercial use on October 22, 1932, and reserved for scientific study."
NCG01436,Black Wall Street,Business or business district,"Parrish Street in Durham, center of African American entrepreneurship, ca. 1905. Black-owned businesses such as Mechanics and Farmers Bank and North Carolina Mutual Life Insurance Co. originated there. Booker T. Washington and W. E. B. DuBois chronicled the area's growth."
NCG01509,Bloat Springs Landing,Transportation,on Cape Fear River in central Bladen County.
NCG01512,Blockade Shoal,Shoal,"lies off the NW shore of Roanoke Island, E Dare County, in the waters of Croatan Sound."
NCG01520,Bloody Bluff,Elevation,S Sampson County overlooking Black River.
NCG01522,Bloody Rock,Rock,"near Cullasaja, E Macon County. A blood-colored liquid oozing from the granite rock is said by legend to mark the site where a young man of the community was murdered by a jealous rival for the affections of a local lass."
NCG01536,"Blue Banks, The",Geological formation,"high marl bank along Contentnea Creek below Edwards Bridge, Greene-Pitt county line. The name comes from the distinctive color of the formation. The banks are on both sides of the creek but are more prominent on the Pitt County side."
NCG01546,Blue Ridge Parkway,Transportation,"W Haywood County, Great Smoky Mountains National Park, extends SE from Cataloochee Balsam; a Balsam Mountain peak between Straight Creek and Caldwell Fork, center near lat. 35°34'30"" N., long. 83°08'40"" W."
NCG01554,Blue Valley,Valley,joined valleys of East Fork Overflow Creek and West Fork Overflow Creek in SE Macon County.
NCG01571,Bluff Shoal,Shoal,"formed by the merging waters of the Albemarle and Pamlico Sounds, extends from Bluff Point on the S mainland of Hyde County to Royal Shoal on the Carteret-Hyde county line. The name appears as early as the Mouzon map, 1775."
NCG01572,"Bluffs, The",Mountain feature,"rough, rocky mountain peaks in SW Alleghany County E of the Blue Ridge Parkway near Doughton Park, which see."
NCG01600,Bogue Banks,Shore,"barrier beach in S Carteret County forming one of the Outer Banks. It is 25 mi. long and from ½ to 2 mi. wide. Fort Macon is at the E end; the towns of Atlantic Beach, Salter Path, and Emerald Isle are on Bogue Banks. The name appears on the Moseley map, 1733. Josiah Bogue settled in the vicinity in the early eighteenth century. Named for him or for the family."
NCG01623,Bonaparte Landing,Transportation,SW Brunswick County on the Intracoastal Waterway.
NCG01629,Bone Valley,Valley,NW Swain County in Great Smoky Mountains National Park. Named after an early settler found the bleached bones of his long-lost cows there.
NCG01637,Bonnets Points,Freshwater area,"appears on the Moseley map, 1733, from what is now SE Brunswick County extending into Cape Fear River between Elizabeth River and Dutchmans Creek."
NCG01659,Boone's Cave,Geological formation,"on a high bluff overlooking the Yadkin River in W Davidson County is traditionally said to have been occupied by Daniel Boone. It is near Horseshoe Neck, which see, and a park is maintained near the cave by the county."
NCG01664,Boons Ferry,Transportation,"appears on the Collet map, 1770, as being on the Meherrin River between NE Northampton County and NW Hertford County. By 1802 it had ceased operation, and by 1833 Boone Bridge existed at the site. A bridge still crosses the river there."
NCG01673,"Borough, The",Transportation,"SW Pender County on Black River near the mouth of Moore's Creek, a shipping point for goods sent by water. Dates from prior to the Revolution. Apparently, site was authorized to be laid off in 1798 for the town of Parkersborough on the land of Hardy Parker. It is not known whether the town was actually established. The remains of an old wharf may still be seen a short distance from the bank of the river. A fishing camp is now operated at the site, and three old roads through the woods converge at the wharf site."
NCG01682,Bottomless Pools,Geological formation,"in Pool Creek, SW Rutherford County at Lake Lure. Formed by whirlpool action of the rushing water in weaker sections of the huge granite rock over which it flows. Three pools now exist, and a fourth apparently is being formed. In 1947 a geologist who studied them reported that the pools may vary in age from 100,000 to a million years."
NCG01703,Bowman Bluff,Elevation,an elevation in W Henderson County overlooking French Broad River. Named because it was an Indian lookout site.
NCG01735,Bradley Butt,Mountain feature,E Macon County between Fall Branch and Mica City Creek.
NCG01854,Brittle's Ferry,Transportation,"appears on the Collet map, 1770, just above Winton on Chowan River, E Hertford County. Name probably a corruption of the prominent Hertford County name of Brickle."
NCG01885,Brompton,Estate,"central Bladen County on Cape Fear River, 4 mi. N of Elizabethtown. Started as a home by Governor Gabriel Johnston (1699-1752) but not completed. Evidence remains of unfinished building."
NCG01916,Brown Meadow,Area,"appears on the Collet map, 1770, in what is now Columbus County, NW of the headwaters of White Marsh. See also Brown Marsh Swamp."
NCG01930,Browns Ford,Transportation,"in Yadkin River, SW Wilkes County. Named for Capt. John Brown, Revolutionary War soldier, who lived nearby and in whose home the first county government was organized in 1778. A bridge was built there after 1900, later replaced by a modern highway bridge."
NCG01933,Browns Landing,Transportation,U.S. Lock Number 2 on Cape Fear River in central Bladen County.
NCG01982,Bryan's Settlement,Estate,"area in Yadkin River valley of NE Davie County. In 1748 Morgan Bryan moved there with his large family. Their holdings totaled over 5,000 acres."
NCG01994,Bryson Lead,Mountain feature,"NW Cherokee County, parallel to Shular Creek and NW of Chestnut Orchard Ridge, Nin Ridge, and Groundhog Ridge."
NCG02028,"Buck Ridge,",Mountain feature,N Haywood County on Chestnut Branch.
NCG02030,Buck Shoal,Shoal,"on French Broad River in N Henderson County. Named because deer formerly fed on moss growing there. Bill Nye (1850-96), American humorist, lived there from about 1880 until his death."
NCG02080,Bucks Peak,Mountain feature,SE Alleghany County and NE Wilkes County. Also appears on maps as Buck Mountain and state highway maps as Beech Mountain.
NCG02088,Buena Vista,Estate,"SW Warren County near the Franklin County line, was formerly the home, office, and tavern of Dr. Robert Christian Pritchard. See also Bearpond."
NCG02145,"Bullhole, The",Freshwater area,"section of the shoals on the South Yadkin River bordering Davie and Rowan Counties. Lumbering along the river included use of oxen and mule teams to assist work at sawmills. Heavy rains and a swollen river led to loss of a bull ox, swept into a whirlpool. Area now part of park at Cooleemee Falls."
NCG02164,Buncombe Hall,Estate,"the home of Col. Edward Buncombe of the Continental Line, who was captured at Germantown and died a prisoner in 1778. Stood 1 mi. W of Roper, NW Washington County."
NCG02204,Burnett Reservoir,Body of water,NE Buncombe County on North Fork [Swannanoa River] W of Walkertown. A part of the Asheville water system.
NCG02228,Burnt Ordinary,Business or business district,"formerly an inn on the post road in what is now N central Warren County, about ¾ mi. NE of the present town of Macon. Appears on the Collet map, 1770. The correct name for the inn is thought to have been Burnet Ordinary."
NCG02296,Buzzards' Rocks,Mountain feature,"near Shulls Mill, S Watauga County."
NCG02304,Bynum's Bluff,Elevation,"NE Burke County, promontory alongside Linville Gorge."
NCG02322,Cabin Ridge Plantation,Estate,"the home of Col. Thomas Lee of Lees Mills (now Roper, which see), used as the first courthouse for Washington County; county court met there from 1800 until sometime in 1801."
NCG02329,Cackalacky,Nickname,"modern variant homonym of Carolina that gained use in popular culture after World War II. Origin variously attributed to tsalaki, Cherokee word for native people, and to cocklaleechie, a traditional Scottish soup."
NCG02338,Caffey's Inlet Station,Coast Guard station,"was built by the U.S. Lifesaving Service in 1874 at Caffey's Inlet. Destroyed by fire, its replacement, built 1899, later served U.S. Coast Guard. Later housed restaurant."
NCG02362,Caledonia,Prison,"state prison farm since 1892 on the Roanoke River, E Halifax County. It consists of 3,700 acres. Named before 1713 for an early plantation that took its name from the Latin term for northern Scotland. Dikes were built along the river to control flooding. The plantation was later owned by Samuel Johnston of Edenton. Numerous Indian relics have been found there."
NCG02400,Camden,Populated place,"unincorporated county seat in W central Camden County. Known as Plank Bridge as early as 1740; inc. as Jonesborough, 1792. As early as 1840, the name ""Camden"" was being used. From the end of the Revolution until about 1830, the community was a port of entry for customs collection. Alt. 10."
NCG02403,Camel Field,Area,cove in N Buncombe County between North Knob and Reems Creek.
NCG02456,Camp Tuscarora,Campground,Boy Scout camp and lake in S Wayne County S of Sleepy Creek.
NCG02462,Campania,Estate,"an estate of 19,000 acres in Currituck, Pasquotank, and Perquimans Counties owned by Thomas Macknight. Being developed at the time of the Revolutionary War."
NCG02476,"Campground, The",Campground,"SW Gates County approx. 3 mi. NW of Gatesville, the site of religious camp meetings from the 1820s until the early 1900s. Popular with the people from Hertford, Bertie, and Chowan Counties. An artesian well at the site supplied water."
NCG02484,Canadian Hole,Seawater area,"deep trough just offshore in Pamlico Sound, N of Buxton, E Dare County. Frequented by windsurfers, many of them Canadian. Term also used by N.C. Department of Transportation to describe section of highway 12 subject to frequent washouts."
NCG02525,Caney Lead,Mountain feature,extends NE from Hangover Lead to Cheoah River in NW Graham County.
NCG02548,Cape Fear,Elevation,"the southernmost tip of Smith (Bald Head) Island, S Brunswick County, at the mouth of Cape Fear River in the Atlantic Ocean. Discovered by Verrazzano in 1524. Appears as Promontorium tremendum on the De Bry map, 1590, and as Cape of Feare on the Molyneuxmap, 1592. The name apparently originated in 1585 when the Tiger, en route to Roanoke Island, was nearly wrecked ""on a breache called the Cape of Feare."" John White had a similar experience and mentioned the name again in 1587. Spanish maps of the same period mark the point as Cabo de Trafalgar. At a later time, when it was desirable to attract colonists to the Carolina region, the name Cape Fair was substituted but not permanently accepted."
NCG02550,Cape Fear Section,Region,"a term applied to SE North Carolina along the Cape Fear River. Appears as Pine Plains on the Ogilby map, 1671."
NCG02553,Cape Hatteras,Elevation,"the easternmost point in North Carolina, is at the S tip of Hatteras Island, SE Dare County. Diamond Shoals, extending into the Atlantic Ocean SE from the Cape, reach to the Gulf Stream at the notorious ""Graveyard of the Atlantic."" Called Cape St. John on the Velasco map, 1611; Cape Amidas on the Smith map, 1624; and its present name on the Ogilby map, 1671. The word ""Hatteras"" apparently is an English rendition of the Algonquian Indian expression of ""there is less vegetation."" Archaeological evidence indicates that the sixteenth-century Indian village of Croatoan may have been located there. See also various entries under Hatteras; Diamond Shoals."
NCG02554,Cape Hatteras National Seashore,Reserve,"est. 1953, consists of the S part of Bodie Island and most of Ocracoke and Hatteras Islands, except the settled areas. First U.S. national seashore, it was authorized by Congress in 1937. Campsites provided. On the Outer Banks of SE Dare and Hyde Counties."
NCG02556,Cape Kenrick,Elevation,"in the sixteenth and early seventeenth centuries extended into the Atlantic Ocean from Hatteras Island in E Dare County between the present communities of Rodanthe and Salvo. Appears on the Velasco map, 1611. It disappeared later in the seventeenth century, either through erosion or in a storm. Wimble Shoals, which see, are now at the site. Kenrick is believed to have been derived from the Algonquian Indian word for ""sinking-down-sand."""
NCG02557,Cape Lookout,Elevation,"the southernmost tip of Core Banks in SE Carteret County. A lighthouse, coast guard station, and a few summer cottages are there. The De Bry map, 1590, marks the point as ""Promontorium tremendum."" On the Velasco map, 1611, it is Cape Feare. On the Ogilby map, 1671, it appears as Cape Lookout."
NCG02558,Cape Lookout National Seashore,Reserve,"was authorized to be est. by U.S. Congress in 1966 on Core Banks, Portsmouth Island, and Shackleford Banks on the Outer Banks of E Carteret County. Area contains approx. 16,400 acres."
NCG02559,Cape Lookout Shoals,Shoal,"in the Atlantic Ocean off Cape Lookout, which see, SE Carteret County."
NCG02585,Carolana,Proposal,"a province proposed to be est. in America and named in the charter of King Charles I to Sir Robert Heath, October 30, 1629. The province was to extend from 31° to 36° N. lat. along the Atlantic Ocean and presumably W to the Pacific Ocean. No settlements were made, and the charter was considered vacated in 1663 when Carolina was granted to eight Lords Proprietors by King Charles II. See also County of Norfolk."
NCG02588,Carolina,Region,was named by King Charles II of England in his own honor in the charter that he granted in 1663 to eight Lords Proprietors. It was applied to the region between Florida and the Virginia colony extending from the Atlantic to the Pacific Ocean. See also Carolana.
NCG02589,Carolina Bays,Region,"oval-shaped lakes, swamps, pocosins, savannahs, and peat beds in SE North Carolina, E South Carolina, and NE Georgia. Several explanations have been advanced as to the origin of the Carolina Bays, but the most generally accepted one is that they were formed thousands of years ago by a shower of meteorites. White Lake, Jones Lake, Singletary Lake, and Lake Waccamaw are Carolina Bays. There also are numerous others, many of which no longer contain water."
NCG02644,Carteret Precinct,Precinct,"Albemarle County, formed by 1681, composed of present Currituck, Pasquotank, and Camden Counties."
NCG02707,"Castle, The",Island,"an island of approx. 1/10 acre in the Pamlico River, W Beaufort County, about 350 yards offshore from the town of Washington. Site of shipbuilding activity in nineteenth century."
NCG02716,Caswell District,District,one of the districts into which Caswell County was divided at the time of the 1790 census. It contained 201 heads of families.
NCG02732,Cataloochee Divide,Mountain feature,"W Haywood County, Great Smoky Mountains National Park, extending NE from Whim Knob. It forms the E boundary of the park for more than 10 mi. It also marks the Cataloochee Creek and Johnson Creek drainage line."
NCG02738,Catawba Ferry,Transportation,operated on Catawba River at Lincoln-Mecklenburg county line in NW Mecklenburg County.
NCG02773,"Catstairs, The",Trail,a very rough and steep trail followed by wildcats from one mountain to another near the head of West Fork Overflow Creek in S Macon County. See also Winding Stairs for another use of the name.
NCG02780,Cavanaugh Ditch,Depression,a drain in S Duplin County to carry the waters of Kenan Pocosin into Northeast Cape Fear River.
NCG02781,"Caves, The",Geological formation,"natural subterranean caves in NW Rutherford County between Broad River and Buffalo Creek in Rumbling Bald Mountain, which see."
NCG02786,Cecils Harbor,Bay,"appears on the Smith map, 1624, applied to the three bays in S Hyde County now called Rose Bay, Swanquarter Bay, and Juniper Bay. Perhaps named for William Cecil, Lord Burleigh (1520-98), or Robert Cecil, first Earl of Salisbury (1563?-1612)."
NCG02797,Cedar Cliffs,Mountain feature,at the S end of Cullowhee Mountain in W Jackson County.
NCG02809,Cedar Hammock,Island,"an island in Bogue Sound, SW Carteret County."
NCG02824,Cedar Rock,Rock,E Transylvania County between Buck Forest and Little River.
NCG02859,Chadwick Acres,Populated place,"in S Onslow County on Chadwick Bay. Inc. 1961, but now inactive in municipal affairs. Planned as a resort development. Covers 308 acres."
NCG02902,Charles Town,Populated place,"center of a colony from Charlestowne, Mass., est. in 1662 under the leadership of William Hilton, on Town Creek, E Brunswick County. Abandoned in 1663. In 1664 a colony from Barbados under the leadership of Sir John Yeamans occupied the site, but they abandoned it in 1665. New Town on the Ogilby map, 1671, apparently was intended to designate the settlement. See also Clarendon County."
NCG02936,Cheaves Mill,Mill,"formerly a homestead and mill in SW Vance County located approx. a mile upstream from the mouth of Tabb Creek, below the junction of Long Creek. Appears on the Collet map, 1770."
NCG02968,Cherry Flats,Area,E Haywood County on the head of Cove Creek.
NCG02986,Cherry Ridge Landing,Transportation,"S Tyrrell County on Alligator River approx. 2 mi. E of its confluence with Northwest Fork [Alligator River]. The Indian village Tramaskecooc, which see, was at or near the site."
NCG02999,"Chestnut Bald,",Mountain feature,"on the Haywood-Transylvania county line between Devils Court House and Silvermine Bald. Alt. 6,040."
NCG03009,Chestnut Flat,Area,a relatively level area in N Buncombe County near Coles Cove.
NCG03012,Chestnut Flats,Area,a relatively level area in SE Buncombe County NE of Blue Rock Knob.
NCG03027,Chestnut Oak Flats,Valley,level valley in W Avery County.
NCG03038,Chicamacomico,Populated place,"the name given to three communities on N part of Outer Banks, E Dare County, S of Pea Island: formerly North Rodanthe, South Rodanthe, and Clarks, now known as Rodanthe, Waves, and Salvo."
NCG03039,Chicamacomico Banks,Shore,"the name commonly given to Pea Island in E Dare County. The name appears on John Lawson's map, 1709, as Chickinnaccomac. A portion of the word is believed to be derived from an Algonquian word for ""sinking-down sand."""
NCG03040,Chicamacomico Coast Guard Station,Coast Guard station,"in the community of Rodanthe on N Hatteras Island in E Dare County. Est. in 1874 as Lifesaving Station. Lifesaving Service and Revenue Cutter Service joined to form U.S. Coast Guard in 1915. Decommissioned, 1954."
NCG03049,Chicora,Area,"a name applied to the Carolina coastal area, probably from the Cape Fear River to the Savannah River, explored by the Spaniard Louis Vázques de Ayllón in 1526."
NCG03050,Chiking Indian Fort,Native American settlement,"was referred to in grants made in 1730 for land in what is now Greene County. It was located 3 to 4 mi. downstream from Hookerton, SE Greene County, on the N side of Contentnea Creek, approx. ¾ mi. above the mouth of Polecat Branch."
NCG03090,Choffington,Populated place,"traditional site of the first courthouse of Cumberland County, located at the mouth of Little River near the present site of Linden in the N part of the county. The courthouse was there from 1755 until it was moved to Campbellton in 1765. The name may be derived from the old English word ""chuff,"" meaning a rustic or rude, coarse fellow, and may have been applied by people of English descent to the recently arrived Scots."
NCG03132,Clam Shoal,Shoal,"in the waters of Pamlico Sound, S Dare County, off the S part of Hatteras Island. Bird Islands are on Clam Shoal."
NCG03193,Clement Grove,Area,"park setting in Mocksville, Davie County. Site of annual Masonic picnic, benefit for Oxford orphanage since 1883. Land once belonged to Herbert Clement."
NCG03202,Cleveland Mills,Populated place,inc. 1877 as a town between Lawndale and Casar in N central Cleveland County. No longer in existence.
NCG03243,Clun Seat,Estate,"10,000-acre estate in SE Warren County between Great Fishing and Shocco Creeks. Granted to Edward Moseley in 1728, and after his death in 1749, sold by his sons to Joseph Montfort. Mentioned in local records as late as 1765. Probably named for the Clun River or the town of Clun in England."
NCG03251,Coastal Plain,Region,"E North Carolina, extends inland from the Atlantic Ocean 100 to 150 mi. to the fall line of the rivers. The W limit extends from Northampton and Halifax Counties on the N in a SW direction through Anson County on the S. In altitude the area ranges from sea level to approx. 500 ft. Generally the soil is sand and black loam. See also Tidewater Area."
NCG03253,Cobb Bluff,Mountain feature,S central Cherokee County on the Nottely River at the mouth of Moccasin Creek.
NCG03356,Colington Island Shoal,Shoal,"lies off the NW tip of Roanoke Island, Dare County, in the waters of Albemarle and Croatan Sounds."
NCG03395,Commissary Hill,Hill,"S Yancey County approx. 9/10 mi. SE of Mount Mitchell. Alt. 5,780. Named for a commissary located there by the Carolina Spruce Lumber Company during lumbering operations in the early 1900s."
NCG03412,Concord North,Populated place,"unincorporated outskirts of the city of Concord, central Cabarrus County."
NCG03431,Coniott Landing,Transportation,"on the Roanoke River in SE Bertie County at the mouth of Coniott Creek. Possibly the site of the extinct town Wimberly, which was est. in 1752. Joseph Wimberly petitioned to operate a ferry across the Roanoke River at ""Coneat,"" and the town was built on his land. Site has also been known as Blackman's Landing; Blackman and Wimberly families were owners of large tracts of land in the county."
NCG03454,Conrad Hill,Business or business district,"former site of a gold mine, central Davidson County near Holly Grove community."
