ID,Label,Feature type,ADL Feature Types,OpenStreetMap Feature Types,County,Location Issue,Description
NCG00275,Appalachian Mountains,Mountains,Mountain Ranges,natural - peak,,Yes,"include all of the E mountains of the United States from Alabama to northern Maine. The name was given by Spaniards under Hernando De Soto in 1539 for the Apalachee Indians, whose name meant ""people on the other side"" (presumably of a river). In North Carolina the Blue Ridge, Black Mountains, and Great Smoky Mountains are part of the Appalachian Mountains. At one time, both Appalachian and Allegheny were names applied to the range from Georgia to New York, but a study by Arnold Guyot, ""On the Appalachian Mountain System,"" published in 1861, firmly established the present name. See also Mountain Region."
NCG00298,Arch Hill,Mountain,Mountatins,natural - peak,Macon,No,a mountain in N Macon County between Tellico Creek and Bird Branch.
NCG00306,Archies Knob,Knob,Mountain Summits,natural - peak,Stokes,No,NW Stokes County near Dan River.
NCG00326,Arnold Knob,Knob,Mountain Summits,natural - peak,Mitchell,No,SE Mitchell County between North Toe River and Rose Creek.
NCG00329,Arp Gap,Gap,Gaps,natural - valley,Cherokee,No,"W Cherokee County between Bowman Gap and Wolfpen Gap. Alt. approx. 2,750."
NCG00338,Arturs Knob,Knob,Mountain Summits,natural - peak,Mitchell,No,"E Mitchell County between Snow Creek and Bear Creek. Alt. 3,695. Named for Arthur (""Artur"") McFalls (died 1839), who fought as a Tory at the Battle of Kings Mountain in 1780 but afterward joined the Americans. He lived alone for many years on the mountain. Sometimes erroneously called Otters Knob."
NCG00344,Asbury Mountain,Mountain,Mountatins,natural - peak,Alexander,No,"NE Alexander County. Alt. 1,820. Probably named for local Asbury family, which settled near the head of Snow Creek. Locally known as Big Mountain."
NCG00348,Ash Bearpen Knob,Knob,Mountain Summits,natural - peak,Watauga,No,SW Watauga County on the head of Moodys Mill Creek.
NCG00354,Ash Knob,Knob,Mountain Summits,natural - peak,Clay,No,central Clay County between Downing and Licklog Creeks.
NCG00358,Ashe Gap,Gap,Gaps,natural - valley,Mitchell,No,"on the Mitchell County, N.C.-Carter County, Tenn., line."
NCG00407,Atoah Gap,Gap,Gaps,natural - valley,Graham,No,in S Graham County between Eller Cove and the headwaters of Atoah Creek.
NCG00425,Austin Mountain,Mountain,Mountatins,natural - peak,Yancey,No,W Yancey County near the head of Dryspring Branch.
NCG00471,Back Creek Mountain,Mountain,Mountatins,natural - peak,Randolph,No,central Randolph County W of Asheboro. One of the principal mountains of the Uwharrie range.
NCG00485,Bad Knob,Knob,Mountain Summits,natural - peak,Mitchell,No,in N Mitchell County between Aaron Branch and Big Ridge.
NCG00499,Bailey Mountain,Mountain,Mountatins,natural - peak,Yancey,No,E Yancey County between Browns Creek and South Toe River.
NCG00506,Baines Mountain,Mountain,Mountatins,natural - peak,Swain,No,in S Swain County between Little Yalaka Creek and De Hart Branch.
NCG00511,Baker Gap,Gap,Gaps,natural - valley,Watauga,No,"on the Watauga County, N.C. Johnson County, Tenn., line in the Stone Mountains."
NCG00514,Baker Mountain,Mountain,Mountatins,natural - peak,Catawba,No,"W Catawba County. Alt. 1,812."
NCG00533,Bald Gap,Gap,Gaps,natural - valley,Haywood,No,"W Haywood County in Great Smoky Mountains National Park between Canadian Top and Bald Top near lat. 35°39' N., long. 83°06'22"" W."
NCG00534,Bald Ground Mountain,Mountain,Mountatins,natural - peak,Burke,No,"NW Burke County. Alt. 4,100."
NCG00537,Bald Knob,Knob,Mountain Summits,natural - peak,Surry,No,central Surry County.
NCG00538,Bald Knob,Knob,Mountain Summits,natural - peak,Buncombe,No,N Buncombe County NW of Cherry Log Gap.
NCG00540,Bald Knob Mountain,Mountain,Mountatins,natural - peak,Alexander,No,"W Alexander County. Alt. 1,887."
NCG00542,Bald Mountain,Mountain,Mountatins,natural - peak,Mitchell,Yes,on Grassy Ridge near the Avery-Mitchell county line. Known also as Grassy Ridge Bald.
NCG00546,Bald Mountains,Mountains,Mountain Ranges,natural - peak,Haywood,Yes,"in Haywood, Madison, and Yancey Counties, N.C., and Cocke, Greene, and Unicoi Counties, Tenn., forming the common boundary line of North Carolina and Tennessee from the Pigeon River, near lat. 36°04'20"" N., long. 82°24'30"" W., to the Nolichucky River, near lat. 35°46'15"" N., long. 83°04'50"" W. On 25 of 40 miscellaneous maps, 1795-1930, the section of the mountains between Pigeon River and the French Broad River bears no name; and the names on 15 maps vary between Iron, Great Iron, Smoky, and Great Smoky. There is also some usage of Max Patch."
NCG00547,Bald of Humpback Mountain,Mountain,Mountatins,natural - peak,Mitchell,No,S Mitchell County at the head of Rose Creek.
NCG00550,Bald Rock,Mountain,Mountatins,natural - peak,Transylvania,No,"mountain on the Jackson-Transylvania county line at the head of Tucker Creek. Alt. 4,150. Part of Tennessee Ridge, which see."
NCG00551,Bald Rock Mountain,Mountain,Mountatins,natural - peak,Jackson,No,"S Jackson County, bordered on SW by Fairfield Lake and on N and W by Trays Island Creek. Alt. 4,232."
NCG00554,Bald Top,Top,Mountain Summits,natural - peak,Haywood,No,"W Haywood County in Great Smoky Mountains National Park between Little Davidson Branch and Coggins Branch near lat. 35°39' N., long. 83°06'30"" W. Alt. 3,960."
NCG00555,Bald Top Mountain,Mountain,Mountatins,natural - peak,Henderson,No,"N Henderson County between Clear Creek and Kyles Creek. Named by William Mills, first known white settler of the county."
NCG00560,Baldwin Gap,Gap,Gaps,natural - valley,Henderson,No,N Henderson County between Rich Mountain and Hightop.
NCG00568,Ball Gap,Gap,Gaps,natural - valley,Buncombe,No,"S Buncombe County, NW of Ball Mountain."
NCG00570,Ball Mountain,Mountain,Mountatins,natural - peak,Buncombe,No,S Buncombe County.
NCG00578,Ballard Gap,Gap,Gaps,natural - valley,Buncombe,No,"Swannanoa Mountains, S Buncombe County E of Face Rock peak."
NCG00587,Balls Mountain,Mountain,Mountatins,natural - peak,Orange,No,S Orange County at the head of Mountain Creek.
NCG00592,Balsam Cone,Mountain,Mountatins,natural - peak,Yancey,No,"mountain in S Yancey County between the head of Timber Creek and the head of Middle Creek. Alt. 6,611."
NCG00593,Balsam Corner,Mountain,Mountatins,natural - peak,Haywood,Yes,"mountain on the Haywood-Swain county line. In Great Smoky Mountains National Park near lat. 35°40'17"" N., long. 83°10'55"" W., near a sharp bend in the county line, hence the name. Alt. 6,020."
NCG00595,Balsam Gap,Gap,Gaps,natural - valley,Buncombe,Yes,"on the Buncombe-Yancey county line W of Walker Knob, near the S end of Bear Wallow Stand Ridge. The Blue Ridge Parkway passes through the gap. Alt. 5,320."
NCG00597,Balsam High Top,Top,Mountain Summits,natural - peak,Haywood,Yes,"mountain on the Haywood-Swain county line between Beech Gap and Laurel Gap in Great Smoky Mountains National Park. Alt. 5,688."
NCG00598,Balsam Mountain,Mountain,Mountatins,natural - peak,Jackson,Yes,"on the Haywood-Swain-Jackson county line, centering near lat. 35°35' N., long. 83°12' W. Tricorner Knob, which see, is at its junction with the main divide of the Great Smoky Mountains. Also known as Chiltoskie Ridge in Swain County. See also Richland Balsam."
NCG00605,Bandy Cove Mountain,Mountain,Mountatins,natural - peak,Burke,No,"NW Burke County. Alt. 2,747."
NCG00610,Bank Mountain,Mountain,Mountatins,natural - peak,Henderson,No,N Henderson County between Garren Mountain and Kyles Creek.
NCG00647,Barker Road Gap,Gap,Gaps,natural - valley,Graham,Yes,on the Cherokee-Graham county line.
NCG00667,Barnett Knob,Knob,Mountain Summits,natural - peak,Swain,No,on the Jackson-Swain county line near the head of Pigeon Creek.
NCG00668,Barnett Mountain,Mountain,Mountatins,natural - peak,Madison,No,central Madison County between Brush and Walnut Creeks.
NCG00672,Barnwell Mountain,Mountain,Mountatins,natural - peak,Buncombe,Yes,on the Buncombe-Henderson county line.
NCG00680,Barrett Mountain,Mountain,Mountatins,natural - peak,Alexander,No,"SW Alexander County. Alt. 1,950. Named for Jonathan Barrett, pioneer settler who laid out road from Fort Dobbs to Quaker Meadows."
NCG00690,Bartlett Mountain,Mountain,Mountatins,natural - peak,Buncombe,No,central Buncombe County SE of Swan Mountain.
NCG00705,Bass Mountain,Mountain,Mountatins,natural - peak,Alamance,No,"peak in the Cane Creek Mountains, S Alamance County."
NCG00716,Bates Gap,Gap,Gaps,natural - valley,Macon,No,S Macon County between Fulcher Branch and Hickory Knoll Creek.
NCG00717,Bates Mountain,Mountain,Mountatins,natural - peak,Cherokee,No,"central Cherokee County, extends from Hiwassee River to Blackwell Mountain."
NCG00744,Baughn Mountain,Mountain,Mountatins,natural - peak,Rockingham,No,"W Rockingham County E of the Mayo River and N of the Dan River near the junction of the two. Originally known as East Mayo Mountain; renamed for Henry Baughn, who settled there in 1814. By 1897 known as Cedar Point Mountain. Alt. 995."
NCG00777,Beach Top,Top,Mountain Summits,natural - peak,Clay,No,S Clay County near the headwaters of Beach Creek and Long Branch.
NCG00778,Beacon Height,Mountain,Mountatins,natural - peak,Avery,No,mountain in E Avery County.
NCG00782,Beal's Knob,Knob,Mountain Summits,natural - peak,Clay,No,"N Clay County near the Cherokee County line. Alt. 5,000-5,100."
NCG00802,Bear Gap,Gap,Gaps,natural - valley,Clay,No,S Clay County on Chunky Gal Mountain.
NCG00806,Bear Knob,Knob,Mountain Summits,natural - peak,Graham,Yes,on the Cherokee-Graham county line.
NCG00807,Bear Knob,Knob,Mountain Summits,natural - peak,Macon,No,SW Macon County between Little Indian Creek and Nantahala River.
NCG00809,Bear Mountain,Mountain,Mountatins,natural - peak,Jackson,No,"S Jackson County between Doubletop Mountain and Glassy Rock Creek. Alt. 4,650."
NCG00811,Bear Pen Gap,Gap,Gaps,natural - valley,Clay,No,N Clay County between Tuni Creek and the Cherokee County line.
NCG00824,Bear Wallow Gap,Gap,Gaps,natural - valley,Haywood,No,NE Haywood County on the head of Wesley Creek.
NCG00825,Bear Wallow Knob,Knob,Mountain Summits,natural - peak,Yancey,No,"S Yancey County between Hurricane Gap and Ogle Gap. Alt. 5,085."
NCG00832,Beard Mountain,Mountain,Mountatins,natural - peak,Buncombe,No,central Buncombe County in the Elk Mountains.
NCG00846,Bearpen Gap,Gap,Gaps,natural - valley,Clay,Yes,on the Clay-Macon county line.
NCG00847,Bearpen Gap,Gap,Gaps,natural - valley,Avery,No,N central Avery County.
NCG00848,Bearpen Knob,Knob,Mountain Summits,natural - peak,Buncombe,No,NE Buncombe County between Beartree and Bearpen Gaps.
NCG00849,Bearpen Mountain,Mountain,Mountatins,natural - peak,Macon,No,SE Macon County between Little Bearpen Mountain and Saltrock Branch.
NCG00850,Bearpen Mountain,Mountain,Mountatins,natural - peak,Transylvania,No,"on the Jackson-Transylvania county line between Sassafras Mountain and Horsepasture River. Alt. 4,025."
NCG00852,Bearpen Rock,Mountain,Mountatins,natural - peak,Avery,No,a mountain in W Avery County.
NCG00857,Beartown Mountain,Mountain,Mountatins,natural - peak,Mitchell,No,"on the Mitchell County, N.C.-Carter County, Tenn., line. Alt. 5,481."
NCG00859,Beartrail Ridge Gap,Gap,Gaps,natural - valley,Jackson,Yes,on the Haywood-Jackson county line.
NCG00860,Beartrap Knob,Knob,Mountain Summits,natural - peak,Haywood,No,S Haywood County between Raven Hollow and Possum Hollow.
NCG00863,Beartree Gap,Gap,Gaps,natural - valley,Buncombe,No,NE Buncombe County between Snowball Mountain and Bearpen Knob.
NCG00865,Bearwallow Bald,Bald,Mountain Summits,natural - peak,Swain,No,"peak in N Swain County in Great Smoky Mountains National Park on Welch Ridge. Alt. 4,954."
NCG00869,Bearwallow Gap,Gap,Gaps,natural - valley,Mitchell,No,NW Mitchell County on Bearwallow Creek.
NCG00870,Bearwallow Gap,Gap,Gaps,natural - valley,Buncombe,No,SE Buncombe County SE of Bearwallow Mountain.
NCG00871,Bearwallow Mountain,Mountain,Mountatins,natural - peak,Buncombe,Yes,"on the Buncombe-Henderson county line. Alt. 4,249."
NCG00879,Beasley Gap,Gap,Gaps,natural - valley,Macon,No,S Macon County between Mulberry Creek and Commissioner Creek.
NCG00888,Beaty Spring Knob,Knob,Mountain Summits,natural - peak,Haywood,No,S Haywood County on the head of Inman Branch.
NCG00889,Beaucatcher Mountain,Mountain,Mountatins,natural - peak,Buncombe,No,"central Buncombe County in E Asheville. Alt. approx. 3,200. About 1850 James W. Patton erected a summer house or arbor there, and it became quite popular with courting couples, hence the name. Highway construction in 1979 opened a cut in the mountain alongside 1929 tunnel despite public opposition."
NCG00896,Beauty Spot,Mountain,Mountatins,natural - peak,Mitchell,No,"mountain on the Mitchell County, N.C. Unicoi County, Tenn., line. Alt. 4,254."
NCG00897,Beauty Spot Gap,Gap,Gaps,natural - valley,Mitchell,No,"on the Mitchell County, N.C.-Unicoi County, Tenn., line."
NCG00911,Beaver Gap,Gap,Gaps,natural - valley,Cherokee,No,S Cherokee County N of Sheep Knob.
NCG00917,Beaverdam Bald,Bald,Mountain Summits,natural - peak,Cherokee,No,"on the Cherokee County, N.C. Monroe County, Tenn., line in the Unicoi Mountains. Alt. 4,280."
NCG00925,Beaverdam Gap,Gap,Gaps,natural - valley,Henderson,No,"NW Henderson County on the NW end of Trace Ridge. Alt. 3,500."
NCG00926,Beaverdam Gap,Gap,Gaps,natural - valley,Buncombe,No,SW Buncombe County in New-found Mountain.
NCG00938,Beck Mountain,Mountain,Mountatins,natural - peak,Chatham,No,a granite formation in SW Chatham County.
NCG00942,Becks Bald,Bald,Mountain Summits,natural - peak,Swain,No,"peak on Hughes Ridge, N Swain County in Great Smoky Mountains National Park. Alt. 5,022."
NCG00949,Bee Cove Knob,Knob,Mountain Summits,natural - peak,Graham,No,N Graham County on the NE end of Bee Cove Lead.
NCG00952,Bee Gap,Gap,Gaps,natural - valley,Graham,No,at SW end of Sassafras Ridge in SW Graham County.
NCG00955,Bee Knob,Knob,Mountain Summits,natural - peak,Graham,No,at the head of West Buffalo Creek in W Graham County.
NCG00957,Bee Mountain,Mountain,Mountatins,natural - peak,Caldwell,No,SW Caldwell County between the headwaters of Husbands and Abingdon Creeks.
NCG00967,Beebranch Mountain,Mountain,Mountatins,natural - peak,Yancey,No,central Yancey County near the head of Bee Branch.
NCG00975,Beech Gap,Gap,Gaps,natural - valley,Clay,No,SE Clay County between Scaly Ridge and Fairfield Ridge.
NCG00977,Beech Knob,Knob,Mountain Summits,natural - peak,Haywood,Yes,"on the Haywood-Transylvania county line. Alt. 5,160-5,180."
NCG00978,Beech Mountain,Mountain,Mountatins,natural - peak,Avery,Yes,"on the Avery-Watauga county line. Peak in Avery County. Alt. 5,506."
NCG00981,Beech Nursery Gap,Gap,Gaps,natural - valley,Yancey,No,S Yancey County between Beech Nursery Creek and Big Pine Mountain.
NCG00983,Beech Spring Gap,Gap,Gaps,natural - valley,Haywood,No,S Haywood County between Shining Rock and Dog Loser Knob.
NCG00988,Beechnut Gap,Gap,Gaps,natural - valley,Swain,No,"on the Swain County, N.C.-Sevier County, Tenn., line in Great Smoky Mountains National Park."
NCG00990,Beef Market Top,Top,Mountain Summits,natural - peak,Jackson,No,"NE Jackson County on Grassy Ridge. Alt. 5,040. Said to have been named (1) because deserters from the Confederate army, hiding in the area, stole and slaughtered cattle there; or (2) because a young man killed cattle there that belonged to the father of his sweetheart when he was forbidden by her father to see her again."
NCG00991,Beer Rice Gap,Gap,Gaps,natural - valley,Madison,No,"on the Madison County, N.C.-Unicoi County, Tenn., line."
NCG01011,Bell Coney Mountain,Mountain,Mountatins,natural - peak,Jackson,No,"on the E end of Lizzy Mountain in central Jackson County. Alt. 4,349."
NCG01016,Bell Knob,Knob,Mountain Summits,natural - peak,Clay,Yes,on the Clay-Macon county line.
NCG01017,Bell Mountain,Mountain,Mountatins,natural - peak,Henderson,No,W Henderson County between Little Willow Creek and South Fork.
NCG01030,Bellcollar Gap,Gap,Gaps,natural - valley,Swain,No,on the Graham-Swain county line between Little Bald and Cheoah Bald.
NCG01044,Bellvue Mountain,Mountain,Mountatins,natural - peak,Avery,No,central Avery County.
NCG01062,Bench Mountain,Mountain,Mountatins,natural - peak,Macon,No,E Macon County between Caler Fork and Mica City Creek.
NCG01064,Benge Gap,Gap,Gaps,natural - valley,Ashe,Yes,on the Ashe-Wilkes county line.
NCG01067,Benn Knob,Knob,Mountain Summits,natural - peak,Burke,Yes,"mountain on Burke-Cleveland county line. Part of South Mountains. Alt. 2,894."
NCG01072,Bennett Gap,Gap,Gaps,natural - valley,Transylvania,No,"N Transylvania County between Looking Glass Creek and Avery Creek. Alt. 3,516."
NCG01073,Bennett Knob,Knob,Mountain Summits,natural - peak,Transylvania,No,N Transylvania County on Seniard Ridge S of Big Bear Pen Branch.
NCG01079,Benny Ridge,Ridge,Ridges,Natural - ridge,Cherokee,No,"mountain in Valley River Mountains between Kimsey Cove and Horse Ridge, NE Cherokee County."
NCG01090,Bent Creek Gap,Gap,Gaps,natural - valley,Buncombe,No,"S Buncombe County, near the headwaters of Bent Creek. Alt. 3,270."
NCG01091,Bent Fork Gap,Gap,Gaps,natural - valley,Henderson,No,at the head of Bad Fork in NW Henderson County.
NCG01092,Bent Knee Knob,Knob,Mountain Summits,natural - peak,Haywood,No,"on the head of Stevens Creek, N Haywood County, near lat. 35°38'05"" N., long. 83°02'30"" W., in Great Smoky Mountains National Park. Alt. 4,000."
NCG01093,Bent Knob,Knob,Mountain Summits,natural - peak,Mitchell,No,central Mitchell County between Ellis Mountain and Toe River.
NCG01094,Bent Mountain,Mountain,Mountatins,natural - peak,Buncombe,No,SW Buncombe County W of Piney Mountain.
NCG01115,Berry Gap,Gap,Gaps,natural - valley,Macon,No,on the Jackson-Macon county line.
NCG01117,Berry Mountain,Mountain,Mountatins,natural - peak,Madison,No,S Madison County between Dan Payne Mountain and Doctor Mountain.
NCG01118,Berry Mountains,Mountains,Mountain Ranges,natural - peak,Gaston,No,two adjacent mountains in SE Gaston County on South Fork Catawba River.
NCG01120,Berrys Gap,Gap,Gaps,natural - valley,Buncombe,No,SW Buncombe County between Long and Young Pisgah Mountains.
NCG01146,Betsey Gap,Gap,Gaps,natural - valley,Haywood,Yes,"on Madison-Haywood county line. Alt. 5,895."
NCG01158,Betty Creek Gap,Gap,Gaps,natural - valley,Macon,No,at the head of Betty Creek in S Macon County.
NCG01159,Betty Gap,Gap,Gaps,natural - valley,Jackson,No,"W Jackson County near the head of Betty Branch. Alt. 3,000."
NCG01171,Big Abrams Gap,Gap,Gaps,natural - valley,Swain,No,"mountain gap on the Swain County, N.C.-Blount County, Tenn., line in Great Smoky Mountains National Park."
NCG01175,Big Bald,Bald,Mountain Summits,natural - peak,Mitchell,Yes,on the Avery-Mitchell county line. Sometimes called Penland Yellow or Big Yellow.
NCG01177,Big Bald Mountain,Mountain,Mountatins,natural - peak,Watauga,Yes,on the Ashe-Watauga county line E of Long Hope Creek.
NCG01199,Big Butt Knob,Knob,Mountain Summits,natural - peak,Buncombe,Yes,on the Buncombe-Yancey county line between Flat Spring Knob and Little Butt Knob.
NCG01200,Big Butt Mountain,Mountain,Mountatins,natural - peak,Haywood,No,"W Haywood County in Great Smoky Mountains National Park. On Mount Sterling Ridge near lat. 35°40'20"" N., long. 83°10'10"" W."
NCG01201,Big Butte,Mountain,Mountatins,natural - peak,Buncombe,Yes,"mountain on the Buncombe-Yancey county line SW of Flat Springs Gap. Alt. 6,001. Formerly known as Wilson Knob Mountain; also called Yeates Knob."
NCG01202,Big Butte Mountain,Mountain,Mountatins,natural - peak,Avery,No,W Avery County.
NCG01203,Big Cataloochee Mountain,Mountain,Mountatins,natural - peak,Haywood,No,"W Haywood County in Great Smoky Mountains National Park. A Balsam Mountain peak, alt. 6,122, near lat. 35°40'25"" N., long. 83°10'27"" W. Known briefly in the 1890s as Nibb's Knob after a member of the U.S. Geological Survey party attempted to name the peak for himself."
NCG01204,Big Chestnut Bald,Bald,Mountain Summits,natural - peak,Swain,No,"mountain on the Swain County, N.C.-Sevier County, Tenn., line in Great Smoky Mountains National Park. Alt. 4,970."
NCG01220,Big Dog Mountain,Mountain,Mountatins,natural - peak,Macon,No,in SE Macon County between Cullasaja River and Kettle Rock.
NCG01223,Big Elk Mountain,Mountain,Mountatins,natural - peak,Avery,No,S central Avery County.
NCG01226,Big Fat Gap,Gap,Gaps,natural - valley,Graham,No,NW Graham County at the head of Bear Creek.
NCG01227,Big Flats,Mountain,Mountatins,natural - peak,Buncombe,No,mountain peak in SE Buncombe County W of Patton Gap in Swannanoa Mountains.
NCG01230,Big Fork Knob,Knob,Mountain Summits,natural - peak,Buncombe,No,"peak on Big Fork Ridge, NE Buncombe County."
NCG01232,Big Garland Gap,Gap,Gaps,natural - valley,Graham,No,N Graham County between Sawyer Creek and Stecoah Creek at the SW end of Hogback Mountain.
NCG01236,Big Green Mountain,Mountain,Mountatins,natural - peak,Jackson,No,"SE Jackson County between Little Green Mountain and Panthertown Creek. Alt. 4,100."
NCG01239,Big Haw Mountain,Mountain,Mountatins,natural - peak,Avery,No,central Avery County.
NCG01244,Big Hungry Mountain,Mountain,Mountatins,natural - peak,Henderson,No,"E Henderson County at the head of Big Hungry Creek. Alt. 3,006."
NCG01248,Big Junction,Mountain,Mountatins,natural - peak,Graham,No,"a mountain on the Graham County, N.C.-Monroe County, Tenn., line."
NCG01252,Big Kitchens Knob,Knob,Mountain Summits,natural - peak,Clay,No,SE Clay County at the NW end of Big Kitchens Ridge.
NCG01254,Big Knob,Knob,Mountain Summits,natural - peak,Jackson,No,on the N end of Big Ridge in S Jackson County.
NCG01255,Big Knob,Knob,Mountain Summits,natural - peak,Graham,No,on Snowbird Creek in SW Graham County.
NCG01261,Big Laurel Gap,Gap,Gaps,natural - valley,Yancey,Yes,"on the McDowell-Yancey county line near the head of Neals Creek. Alt. approx. 3,700."
NCG01262,Big Laurel Mountain,Mountain,Mountatins,natural - peak,Yancey,Yes,on the McDowell-Yancey county line.
NCG01271,Big Milksick Knob,Knob,Mountain Summits,natural - peak,Clay,Yes,on the Clay-Macon county line.
NCG01276,Big Mountain Gap,Gap,Gaps,natural - valley,Transylvania,No,"central Transylvania County in Big Mountain Ridge, Pisgah National Forest. Alt. approx. 3,060."
NCG01278,Big Oak Gap,Gap,Gaps,natural - valley,Macon,No,W Macon County on Fire Gap Ridge.
NCG01279,Big Peachtree Bald,Bald,Mountain Summits,natural - peak,Clay,Yes,in the Valley River Mountains on the Cherokee-Clay county line.
NCG01285,Big Pine Mountain,Mountain,Mountatins,natural - peak,Yancey,No,S Yancey County between Beech Nursery Creek and Big Poplar Creek.
NCG01303,Big Rough Knob,Knob,Mountain Summits,natural - peak,Avery,No,E central Avery County.
NCG01314,Big Spring Gap,Gap,Gaps,natural - valley,Mitchell,No,E Mitchell County at the head of Big Spring Creek.
NCG01316,Big Stamp Knob,Knob,Mountain Summits,natural - peak,Clay,Yes,on the Cherokee-Clay county line.
NCG01324,Big Warrior Mountain,Mountain,Mountatins,natural - peak,Polk,No,"S Polk County, W of town of Tryon. Named for Big Wayah (wolf), chief of the Cherokee Indians. Alt. 2,466."
NCG01328,Big Witch Gap,Gap,Gaps,natural - valley,Swain,No,on the Jackson-Swain county line near the head of Moody Branch.
NCG01330,Big Yellow Bald Mountain,Mountain,Mountatins,natural - peak,Avery,No,W Avery County.
NCG01331,Big Yellow Mountain,Mountain,Mountatins,natural - peak,Mitchell,Yes,"at the junction of Avery and Mitchell Counties, N.C., and Carter County, Tenn. Alt. approx. 5,600. Known also as Bright Yellow Mountain and Averys Bald. See also Rose Ridge."
NCG01334,Bigspring Gap,Gap,Gaps,natural - valley,Macon,No,S Macon County at the head of Pinnacle Branch.
NCG01339,Bill Cole Mountain,Mountain,Mountatins,natural - peak,Buncombe,No,"N Buncombe County between Bradley and Gentry Gaps. Alt. 3,284. See also Morgan Ridge."
NCG01342,Bill Holt Mountains,Mountains,Mountain Ranges,natural - peak,Alamance,No,"a short range in the Cane Creek Mountains, S Alamance County."
NCG01344,Bill Wray Gap,Gap,Gaps,natural - valley,Yancey,No,S central Yancey County at the SW end of Callaway Mountain.
NCG01346,Billie Top,Top,Mountain Summits,natural - peak,Haywood,Yes,a peak on Holland Mountain on the Buncombe-Haywood county line between Newfound Gap and Grassy Top.
NCG01349,Bills Knob,Knob,Mountain Summits,natural - peak,Haywood,No,N Haywood County on the E end of Cedar Cliff.
NCG01350,Bills Mountain,Mountain,Mountatins,natural - peak,Henderson,No,E Henderson County near Henderson Creek.
NCG01354,Billy Cove Gap,Gap,Gaps,natural - valley,Buncombe,No,S Buncombe County between Billy Cove Knob and Hickory Top.
NCG01355,Billy Cove Knob,Knob,Mountain Summits,natural - peak,Buncombe,No,"S Buncombe County, SW of Billy Cove Gap."
NCG01356,Billy Top,Top,Mountain Summits,natural - peak,Haywood,No,N Haywood County on the head of Laurel Branch.
NCG01372,Birch Knob,Knob,Mountain Summits,natural - peak,Clay,No,central Clay County at the SE end of Birch Cove.
