ID,Label,Feature type,Meta-Category,Description
NCG00350,Ash Cove,Valley,Landform,NE Cherokee County in the Snowbird Mountains.
NCG00359,Ashe's Island,Island,Landform,"S Onslow County in Stump Sound on the S side of Spicers Bay, a tidal-marsh and coastal-beach island approx. 1Â¼ mi. long. Named for John Baptista Ashe (1748-1802)."
NCG00375,Ashpole Swamp,Swamp,Wetlands,rises in W Robeson County and flows SE and SW into South Carolina.
NCG00376,Ashpole Swamp,Swamp,Wetlands,S Robeson County between Ashpole Swamp (stream) and Lumber River.
NCG00391,Assembly Lake,Lake,Water,"SE Buncombe County at Ridge-crest, Baptist assembly grounds, on a tributary of Swannanoa River."
NCG00400,Atkinson Pond,Pond,Water,"approx. 1 mi. long, on Moccasin Creek in SE Johnston County."
NCG00403,Atlantic Ocean,Ocean,Water,forms the E boundary of North Carolina. The state has a shoreline of 328 mi.
NCG00432,Avalon Beach,Beach,Landform,area of extensive real estate development N of Wright Memorial in E Dare County. Once known as Moore's Shore.
NCG00453,Aycock Millpond,Millpond,Water,"in N Wayne County on Great Swamp. Adjacent to Sasser Millpond, named for the original owners. Max. depth 12 ft.; area covered, 30 acres. Fishing and boating open to the public."
NCG00454,Aycock Swamp,Swamp,Wetlands,"rises in N Wayne County and flows NE into Wilson County, where it enters Turners Swamp."
NCG00455,Aycocks Pond,Pond,Water,SW Warren County on Lees Branch.
NCG00468,Bachelor's Delight Swamp,Swamp,Wetlands,rises in N Onslow County and flows SW into New River. Mentioned in local records as early as 1744.
NCG00469,Back Bay,Bay,Water,a bay formed by the encircling islands of Hog Island in NE Carteret County.
NCG00473,Back Lake,Lake,Water,a small lake on the mainland of Dare County E of the community of Lake Worth on Stumpy Point Bay.
NCG00476,Back Marsh,Marsh,Wetlands,rises in N Duplin County and flows SW into Northeast Cape Fear River.
NCG00478,Back Sound,Sound,Water,between Shackleford Banks and Harkers Island in SE Carteret County.
NCG00479,Back Swamp,Swamp,Wetlands,rises in NW Nash County and flows SE into Big Peachtree Creek.
NCG00487,Badin Lake,Lake,Water,"on Yadkin River in Montgomery and Stanly Counties. Covers 5,973 acres; max. depth 40 ft. Completed 1917 by Carolina Aluminum Company to generate hydroelectricity and for recreation. Also referred to as Narrows Reservoir."
NCG00495,Bailey Cove,Cove,Water,N central Yancey County near the head of Star Branch.
NCG00512,Baker Island,Island,Landform,"a sandy island approx. 2 mi. long in the Roanoke River, NW Northampton County. Called Eaton Island on the Price map, 1808, and Lashleys Island on the MacRae map, 1833."
NCG00515,Baker Swamp,Swamp,Wetlands,rises in E Cumberland County and flows SW into Reese Creek.
NCG00520,Bakers Lake,Lake,Water,"a natural lake in NW Bladen County, approx. 1Â½ mi. long. Formerly known as Wilkinson's Lake."
NCG00522,Bakers Swamp,Swamp,Wetlands,rises in N Washington County and flows NE into Kendricks Creek.
NCG00527,Bald Beach,Island,Landform,island on Atlantic Ocean in SW Brunswick County.
NCG00529,Bald Cove,Cove,Water,on the head of Cove Creek in E Haywood County.
NCG00548,Bald Point,Peninsula,Landform,"peninsula extending from S Hatteras Island, S Dare County, into Pamlico Sound."
NCG00559,Baldwin Cove,Cove,Water,on Burningtown Creek in central Macon County.
NCG00561,Baldwin Swamp,Swamp,Wetlands,rises in central Pitt County and flows SE into Moyes Run.
NCG00569,Ball Island,Island,Landform,"small tidal-marsh island in the Bay River estuary, E Pamlico County. Used as a target for practice bombing by Marines."
NCG00571,Ball Pocosin,Pocosin,Wetlands,E Lenoir County between Vine Swamp and Southwest Creek.
NCG00572,Ball's Point,Point,Landform,point of land extending from W Carteret County into White Oak River.
NCG00574,Ballard Cove,Cove,Water,N Buncombe County S of Horse Gap.
NCG00582,Ballast Point,Peninsula,Landform,"peninsula from E Roanoke Island extending into Roanoke Sound S of Shallowbag Bay, E Dare County."
NCG00611,Bank Point,Point,Landform,extends from SE Pasquotank County into Pasquotank River on the S shore of Little Flatty Creek.
NCG00628,Barbecue Swamp,Swamp,Wetlands,"rises in NE Bertie County and flows NE into Hertford County, where it enters Chinkapin Creek."
NCG00635,Barden Pond,Pond,Water,W Duplin County on a tributary of Rockfish Creek.
NCG00636,Bardins Bay,Bay,Water,a sand-filled bay in W Cleveland County.
NCG00639,Bareford Swamp,Swamp,Wetlands,rises in W Bladen County and flows SW through Hesters Pond into Crawley Swamp.
NCG00679,Barrett Cove,Cove,Water,N Buncombe County between Chestnut Knob and Reems Creek.
NCG00684,Barrows Mill Pond,Pond,Water,"W Northampton County on Gumberry Swamp. Approx. 1 mi. long. Appears as Jones Mill on the Collet map, 1770; known as Wheeler's Mill by 1833 and more recently by its present name. Boyhood home of Willie and Allen Jones, Revolutionary leaders, was there."
NCG00685,Barry Bay,Bay,Water,"a small bay in NE Carteret County, W of Core Sound and S of Cedar Island and Thorofare Bay, into which it empties."
NCG00691,Bartleys Island,Island,Landform,"narrow sandy strip approx. 2Â¾ mi. long beside French Broad River, W Madison County."
NCG00704,Bass Lake,Lake,Water,"S Watauga County on String-fellow Branch in Moses H. Cone Memorial Park, which see. Formerly known as Cone Lake, it was formed before 1908. Covers 22 acres, with a max. depth of 30 ft. On the Blue Ridge Parkway."
NCG00711,Batchelor Bay,Bay,Water,"formed at the mouth of the Roanoke and Cashie Rivers, E Bertie County, at the head of Albemarle Sound. Confederate ironclad Albemarle crossed bay to meet seven Union ships 15 mi. e, May 7, 1864."
NCG00729,Battery Island,Island,Landform,"a tidal-marsh island in the Cape Fear River opposite Southport, SE Brunswick County."
NCG00732,Battle Cove,Cove,Water,E Swain County between Falls Branch and Fishtrap Branch.
NCG00742,Batts Island,Island,Landform,"former island in Albemarle Sound near the mouth of the Yeopim River, SW Perquimans County. Named for Nathaniell Batts, who acquired property in the area, September 24, 1660. It is mentioned in local records as early as 1694. In 1749 it was 40 acres in area and had houses and orchards on it; by 1756 it had been reduced to 27 acres. Early in the twentieth century it was a campsite for fishermen, but later it was reduced to a mud flat with a few dead trees. A hurricane in the 1950s completely destroyed the island. Appears as Heriots Island, probably for Thomas Hariot (1560-1621), on the Smith map, 1624; as Hariots Island on the Comberford map, 1657: and as Bats Grave on the Moseley map, 1733, and the Collet map, 1770."
NCG00746,Baum Point,Point,Landform,"extends from N Roanoke Island into Roanoke Sound, Dare County."
NCG00748,Bawdy Swamp,Swamp,Wetlands,rises in central Johnston County and flows SE into Bawdy Creek.
NCG00755,Bay City Pocosin,Pocosin,Wetlands,muck-filled area approx. 12 mi. wide in N Pamlico and S Beaufort Counties.
NCG00759,Bay River Point,Peninsula,Landform,peninsula off E Pamlico County extending into Bay River estuary.
NCG00761,Bay Swamp,Swamp,Wetlands,"E Pender County, drains NW into Holly Shelter Bay."
NCG00764,Baybush Swamp,Swamp,Wetlands,a fine sandy loam swamp in N Craven County.
NCG00771,Baysden Mill Pond,Pond,Water,in SW Onslow County on Cypress Creek. Covers approx. 10 acres; max. depth 10 ft.
NCG00779,Beacon Island,Island,Landform,"in Pamlico Sound, NE Carteret County, is situated between Wallace Channel and Blair Channel leading through Ocracoke Inlet. Approx. 1,200 ft. long. Name derived from two large beacons on the island formerly used by pilots guiding ships through the channels. Jonathan Price wrote in 1795 that a ""fort"" was built on the S end of the island in 1794-95 pursuant to an act of Congress. Appears on the Moseley map, 1733."
NCG00783,Beals Mill Pond,Pond,Water,E Northampton County on a tributary of Potecasi Creek.
NCG00795,Bear Cove,Cove,Water,in W Macon County at the head of Wayah Creek.
NCG00800,Bear Creek Lake,Lake,Water,"central Jackson County on Tuckasegee River. Formed in 1954 as a reservoir for Nantahala Power and Light Company. Covers 476 acres, with a max. depth of 195 ft. Shoreline is 13.5 mi. Used for generating hydroelectric power. Named for Bear Creek, which feeds it. Also receives the waters of Sols, Flat, and Robinson Creeks. Known for bass and trout fishing. Alt. 2,560."
NCG00805,Bear Island,Island,Landform,"not now identifiable, appears on the Moseley map, 1733, in Bogue Sound, S Carteret County W of Dog Island."
NCG00812,Bear Pen Islands Swamp,Swamp,Wetlands,N central Brunswick County. A part of Green Swamp.
NCG00814,Bear Pocosin,Pocosin,Wetlands,NE Sampson County S of Youngs Swamp and E of Six Runs Creek.
NCG00815,Bear Point,Point,Landform,extends into Pamlico Sound from E Hyde County.
NCG00816,Bear Point,Point,Landform,"SE Tyrrell County, extends from the mainland into Alligator River."
NCG00820,Bear Swamp,Swamp,Wetlands,rises in W Halifax County and flows SW into Little Fishing Creek.
NCG00821,Bear Swamp,Swamp,Wetlands,E Chowan and W Perquimans Counties. Covered about 1/8 of Chowan County before being drained to provide farmland.
NCG00830,Beard Cove,Valley,Landform,"central Buncombe County, between Beard Mountain and Gooch Peak in the Elk Mountains."
NCG00834,Bearford Bay,Bay,Water,a marshy bay in SW Duplin County.
NCG00835,Beargarden Pocosin,Pocosin,Wetlands,central Greene County. Named because it was a favorite haunt of bears and numerous flowering plants grow there. Yellow jasmine and honeysuckle were so fragrant that they could be smelled a mile or so away downwind.
NCG00837,Beargrass Swamp,Swamp,Wetlands,rises in S Martin County and flows W into Turkey Swamp.
NCG00856,Bearskin Swamp,Swamp,Wetlands,rises in W central Sampson County and flows SW into Little Coharie Creek.
NCG00873,Bearwell Pocosin,Pocosin,Wetlands,SE Lenoir County between Joshua Creek and Trent River. Probably a corruption of the family name Burwell. Thomas Burwell was living in the vicinity about 1750.
NCG00875,Beasley Bay,Bay,Water,in Currituck Sound between Jarvis Channel and Currituck Banks in E Currituck County.
NCG00881,Beasleys Mill Pond,Pond,Water,on Millers Creek in W Duplin County.
NCG00887,Beattys Mill Pond,Pond,Water,in E Bladen County on Lake Creek.
NCG00908,Beaver Dam Lake,Lake,Water,"basin on Falls Lake along the Granville-Wake county line fed by Robertson, Beaverdam, Smith, and Little Beaverdam Creeks."
NCG00909,Beaver Dam Swamp,Swamp,Wetlands,rises in E central Brunswick County and flows S into Town Creek.
NCG00914,Beaver Lake,Lake,Water,"in the city of Asheville near its N limits, central Buncombe County. On Beaverdam Creek. Constructed as part of real-estate development."
NCG00918,Beaverdam Bay,Bay,Water,"a section of Green Swamp, central Brunswick County."
NCG00919,Beaverdam Bay,Bay,Water,NE Bladen County.
NCG00927,Beaverdam Pocosin,Pocosin,Wetlands,NW Bertie County.
NCG00930,Beaverdam Swamp,Swamp,Wetlands,rises in N Sampson County and flows SW into Great Coharie Creek.
NCG00931,Beaverdam Swamp,Swamp,Wetlands,"rises in NW Bertie County and flows E into Loosing Swamp, which becomes Stony Creek."
NCG00954,Bee Island Bay,Swamp,Wetlands,swamp in W central Brunswick County. A part of Green Swamp.
NCG00984,Beech Swamp,Swamp,Wetlands,"rises in central Halifax County and flows SE into Fishing Creek. Appears as Rogers Creek on the Moseley map, 1733, and as Beech Creek on the Collet map, 1770."
NCG01001,Belews Lake,Lake,Water,"on Belews Creek, Rockingham County, was constructed 1970-73 by Duke Power Company. The 3,863-acre lake serves as cooling lake for power plant."
NCG01008,Bell Bay,Bay,Water,in the mainland of SW Hyde County on Pamlico Sound immediately W of Rose Bay. Known as Jasper's Creek in the eighteenth century. The courthouse for Hyde County was located on Jasper's Creek in 1791-92.
NCG01010,Bell Collar Cove,Cove,Water,on Shining Creek in S Haywood County.
NCG01012,Bell Cove,Cove,Water,"site of early settlement on the E end of Bogue Banks, S Carteret County. Name is taken from the fact that a bell in the local church was rung for services. Storms drove out early settlers until settlement of Salter Path, which see."
NCG01015,Bell Island,Island,Landform,"a peninsula extending from the E mainland of Currituck County into Coinjock Bay and Currituck Sound. Formerly separated from the mainland and called Willowbies Island on the Ogilby map, 1671, in honor of Peregrine Bertie, Lord Willoughby de Eresby (1555-1601), thought to have been a subscriber to the Roanoke voyage of 1585. On the Collet map, 1770, and subsequent maps until MacRae, 1833, the name Betts Island is used. It is now 1Â½ mi. long and Â½ mi. wide. See also Bell's Island."
NCG01018,Bell Point,Peninsula,Landform,peninsula off N Pamlico County extending into Bay River.
NCG01025,Bell's Island,Island,Landform,"a real-estate development, E Currituck County on Bell Island, which see. The 1967 General Assembly passed an act under which, by a vote of the residents, Bell's Island may be inc. as a town by resolution of the county commissioners."
NCG01028,Bellamys Lake,Lake,Water,"about Â¾ mi. long, on Rocky Swamp near its confluence with Fishing Creek, SW Halifax County."
NCG01032,Bellevedere Pond,Pond,Water,N Wayne County in a tributary of Nahunta Swamp.
NCG01034,Bellows Bay,Bay,Water,at the N end of Currituck Sound and mouth of North Landing River; extends into the S tip of MacKay Island in NE Currituck County.
NCG01040,Bells Island,Island,Landform,a marshy island in Core Sound about 1 mi. E of Marshallberg in SE Carteret County. Formerly known as Great Marsh.
NCG01041,Bells Point,Point,Landform,"the S end of Bells Island, on the W side of Core Sound about 1 mi. E of Marshallberg in S Carteret County. Formerly known as Bell Point, Bell's Point, and Great Marsh Point."
NCG01059,Ben Johnson Lake,Lake,Water,"on Eno River, central Orange County. Formed 1955. Covers 15 acres; max. depth 12 ft. Source of water for town of Hillsborough. Known as Hillsboro Lake prior to February 1956."
NCG01076,Bennetts Millpond,Millpond,Water,"on Rockyhock Creek in central Chowan County. Formed about 1856. 2 mi. long and â…“ mi. wide, centering near lat. 36Â°09'10"" N., long. 76Â°39'40"" W. Covers approx. 50 acres. Max. depth 6 to 8 ft. Probably named for William Bennett (d. 1785), an early owner of the site."
NCG01078,Benny Cove,Cove,Water,extends NW from Benny Ridge to Vengeance Creek in NE Cherokee County.
NCG01089,Bent Creek Experimental Forest,Forest,Landform,"S Buncombe County, a part of Pisgah National Forest."
NCG01110,Bermuda Island,Island,Landform,"in the waters of Kitty Hawk Bay, N Dare County."
NCG01178,Big Bay,Bay,Water,central Columbus County filled with fine sandy loam.
NCG01179,Big Bay,Bay,Water,E central Bladen County.
NCG01180,Big Beach,Beach,Landform,a section of outer beach in SW Brunswick County between Holden Beach and Shallotte Inlet.
NCG01193,Big Buckeye Cove,Cove,Water,SE Haywood County on the head of East Fork Pigeon River.
NCG01207,Big Colly Bay,Bay,Water,"NE Bladen County, approx. 5Â½ mi. long. Colly Creek rises there. Probably named for the obsolete adjective ""colly,"" meaning grimy or coal-black."
NCG01208,Big Cove,Cove,Water,NE Buncombe County S of Chestnut Cove Ridge.
NCG01209,Big Cove,Cove,Water,SW Buncombe County near the headwaters of Webb Branch.
NCG01216,Big Cypress Swamp,Swamp,Wetlands,rises in S Columbus County and flows S to join Monie Swamp in forming Seven Creeks.
NCG01218,Big Deserter Island,Island,Landform,a land formation in S Duplin County surrounded by marsh.
NCG01219,Big Dismal,Pocosin,Wetlands,"a pocosin at the head of Big Swamp, a stream in W Sampson County."
NCG01246,Big Island,Island,Landform,"in Green Swamp, central Brunswick County."
NCG01256,"Big Lake, The",Lake,Water,"formed by a large rock dam on Long Creek, W Surry County. Covers approx. 30 acres; max. depth 35 ft."
NCG01268,Big Marsh Swamp,Swamp,Wetlands,"rises in Hoke County and flows SE into Robeson County, where it joins Gallberry Swamp in forming Big Swamp."
NCG01291,Big Pocosin,Pocosin,Wetlands,sand and swamp area covering approx. 150 sq. mi. in SW Beaufort and NE Craven Counties. Includes Reedy and Blount Pocosins in its N and NW edges. Drained by many tributaries into Neuse River at the SW end and into Pamlico River at the NE end.
NCG01295,Big Raft Swamp,Swamp,Wetlands,"rises in S Hoke County and flows SE into Robeson County, where it enters Lumber River."
NCG01321,Big Swamp,Swamp,Wetlands,rises in NW Brunswick County and flows SW into Juniper Creek for a distance of several mi.; it forms a part of the boundary between Brunswick and Columbus Counties.
NCG01326,Big White Pocosin,Pocosin,Wetlands,sandy pocosin in SE Cumberland County.
NCG01340,Bill Cove,Cove,Water,E Haywood County between Poplar Cove and James Branch.
NCG01353,Billy Cove,Valley,Landform,valley in SE Buncombe County NW of Billy Cove and Billy Cove Knob.
NCG01362,Biltmore Forest,Forest,Landform,"a part of the Biltmore Estate in S Buncombe County, approx. 11,000 acres along the Swannanoa and French Broad Rivers. Alt. approx. 2,000-2,300. Est. 1890 on land largely cut over; planting continued until about 1911. Gifford Pinchot, the first trained American forester, planned and directed the work. In 1898 Carl A. Schenck founded the Biltmore School of Forestry there, the first such school in the United States. See also Carl Alwin Schenck Forest."
NCG01369,Birch Cove,Valley,Landform,the valley through which Chairmaker Branch flows in central Clay County.
NCG01380,Bird Island,Island,Landform,"on the Atlantic Ocean, SW Brunswick County. The W tip of the island is in South Carolina."
NCG01381,Bird Islands,Islands,Landform,"approx. a dozen small islands on Clam Shoal, in the waters of Pamlico Sound, S Dare County, off the S part of Hatteras Island."
NCG01392,Bissett Mill Pond,Pond,Water,S Nash County on Beaverdam Creek. About Â¾ mi. long.
NCG01395,Bizzell Millpond,Millpond,Water,"E Wayne County on Walnut Creek. Site of the Dobbs County courthouse, jail, and stocks from sometime after 1758 until 1779. After the formation of Wayne County in 1779, the county court met variously on Little River. The old courthouse, jail, and stocks were sold to Col. William McKinne. The McKinne heirs sold the property to Elijah Bizzell of Duplin County, who moved there and erected a mill in 1839."
NCG01405,Black Creek Swamp,Swamp,Wetlands,"appears on the Collet map, 1770, as a fork of East Mingo Branch, which see, lying completely in modern Harnett County between Black River and East Mingo Branch. The particular fork is no longer named on maps."
NCG01416,Black Lake,Lake,Water,"a natural lake in E central Bladen County with a max. depth of 71 ft. and covering 1,418 acres. Fishing, boating, and swimming. Part of state park system."
NCG01418,Black Mingle Pocosin,Pocosin,Wetlands,N Gates County.
NCG01434,Black Swamp,Swamp,Wetlands,rises in W Bladen County and flows W into Big Swamp in Robeson County. Bryants Pond is on Black Swamp.
NCG01437,Black Walnut Point,Point,Landform,E Bertie County on Chowan River between Avoca and Scotch Hall plantations.
NCG01456,Blackwalnut Swamp,Swamp,Wetlands,rises in E Bertie County and flows E into Chowan River.
NCG01467,Bladen Lakes State Forest,Forest,Landform,"Bladen County, covers 35,875 acres, of which 1,000 acres around Jones, Singletary and Salters Lakes are reserved for park purposes and in which no cutting is done. Named for the lakes included in the area. Objectives: to build up the growing stock of timber on overcut and previously badly burned areas; to utilize all the resources of the area, including game, forestry demonstration, and recreation. Acquired by the state of North Carolina from the federal government in 1939."
NCG01498,Blennerhassett Island,Island,Landform,"S Madison County in the French Broad River opposite Marshall. The sandy island, approx. Â¼ mi. long, probably was named for the island in the Ohio River below Parkersburg, W.Va., where Harman Blennerhassett and Aaron Burr plotted in 1805-1806 to seize an empire in the West."
NCG01506,Blewett Falls Lake,Lake,Water,"on the Pee Dee River in Anson and Richmond Counties. Rocking-ham Power Co. began development of falls for hydro electric power, 1907-1908; Carolina Power and Light Co. (now Progress Energy) took over, 1926. A dam 1,470 ft. long impounds a lake 9.4 mi. long covering 2,500 acres. Named for William Bluit or Blewett (1719-1810), native of England, who owned land there in 1758. Falls, now under the lake, dropped 8 or 9 ft. over a distance of about 1,000 ft."
NCG01523,Bloomery Swamp,Swamp,Wetlands,is formed by the junction of Millstone and Juniper Creeks in NW Wilson County. It flows SE into Contentnea Creek. Known prior to 1782 as Great Swamp.
NCG01527,Blossom Swamp,Swamp,Wetlands,"rises in S Pender County and flows NE into Trumpeters Swamp. Probably named for Samuel Blossom, a Portuguese emigrant who operated a ferry across the Northeast Cape Fear River in the late nineteenth and early twentieth centuries."
NCG01529,Blount Pocosin,Pocosin,Wetlands,the N section of Big Pocosin in SW Beaufort County.
NCG01544,Blue Ridge Island,Island,Landform,a sandy elevation in the middle of Angola Bay in S Duplin and N Pender Counties.
NCG01562,Blues Pond,Pond,Water,W Scotland County on Joes Creek. Covers 30 acres. Formed prior to 1909 and known earlier as Gibsons Millpond.
NCG01570,Bluff Point,Point,Landform,"S Chowan County approx. 8Â½ mi. SE of Edenton, extends into Albemarle Sound. Mentioned in local records from the early eighteenth century; appears on the Moseley map, 1733."
NCG01583,Boat Island,Island,Landform,E Onslow County just inside Bogue Inlet. Named because early fishermen pulled boats up there.
NCG01589,Bob's Cove,Cove,Water,"site of early settlement on E end of Bogue Banks, S Carteret County. Storms drove out early settlers until settlement of Salter Path, which see."
NCG01594,Boby Cove,Cove,Water,between Laurel Mountain and Big Creek in NW Henderson County.
NCG01595,Boddies Mill Pond,Pond,Water,W Nash County on Stony Creek. Covers more than 100 acres; max. depth 15 ft. Owned by Braswell Milling Company and furnishes power for corn mill.
NCG01596,Bodie Island,Island,Landform,"(pronounced ""body""), one of the Outer Banks, E Dare County. N boundary was formerly New Inlet, now the area around Kitty Hawk. Bounded on the S by Oregon Inlet. Mentioned by John Lawson in 1700. Appears on the Moll map, 1729. Cow Island and Duggs Island, also shown on the Moll map, are now joined with and a part of Bodie Island. See also Etacrewac."
NCG01602,Bogue Sound,Sound,Water,"extends from the SW end of Carteret County along its S edge to the SE section of the county at Beaufort and Morehead City. The sound drains into the Atlantic Ocean through Beaufort Inlet, which see."
NCG01603,Bogue Swamp,Swamp,Wetlands,rises in N central Columbus County and flows SE into Waccamaw River.
NCG01632,Boney Mill Pond,Pond,Water,on Paget Branch in S Duplin County.
NCG01634,Bonner Bay,Bay,Water,waterway in E Pamlico County between the mouth of Spring Creek and Bay River.
NCG01650,Boon's Mill Pond,Pond,Water,"W Northampton County on Gumberry Swamp. Covers 100 acres; max. depth 20 ft. Confederates repulsed Union march there on July 28, 1863."
NCG01688,Bowden Pond,Pond,Water,on the head of Bear Swamp in W Duplin County.
NCG01692,Bowen Point,Point,Landform,a point of land on the W side of the mouth of Shallotte River. The channel of the Intracoastal Waterway cuts through the point.
NCG01724,Brachcoast Swamp,Pocosin,Wetlands,"pocosin in E Cumberland County drained by Reese Creek. One of the Carolina Bays, which see."
NCG01745,Bradshaws Millpond,Millpond,Water,"S Sampson County, drains SW into Black River."
NCG01751,Brand Swamp,Swamp,Wetlands,rises in N Wilson County and flows SE into Cattail Swamp. Named for Benjamin Brand.
NCG01756,Brank Cove,Valley,Landform,"the valley through which Brank Cove Branch flows in N Buncombe County, W of Thurz Mountain."
NCG01762,Brant Island,Island,Landform,"a tidal marsh island approx. Ã‚Â½ mi. long in Pamlico Sound, NE Pamlico County off Goose Creek Island."
NCG01763,Brantley Island,Island,Landform,a neck of land in SW Brunswick County between Saucepan Creek and the Intracoastal Waterway.
NCG01780,Brett Bay,Bay,Water,"in the waters of Core Sound, NE Carteret County. Formerly known as Britts Bay."
NCG01793,Brice Creek Pocosin,Pocosin,Wetlands,SW Craven County.
NCG01799,Brickhouse Point,Point,Landform,E Pasquotank County extends into the Pasquotank River S of Davis Bay.
NCG01824,Briery Bay,Bay,Water,a loam-filled bay in S Columbus County.
NCG01825,Briery Hall Point,Point,Landform,a point of land in central Dare County near the NW end of South Lake and its junction with Alligator River.
NCG01827,Briery Swamp,Swamp,Wetlands,rises in N Pitt County and flows SE into Tranters Creek.
NCG01828,Briggs Hollow,Valley,Landform,valley in central Avery County.
NCG01835,Brigman Hollow,Valley,Landform,N Madison County on a branch of Rocky Branch.
NCG01849,Brittain Cove,Cove,Water,SE Buncombe County.
NCG01866,Broad Creek Point,Peninsula,Landform,"peninsula on the E shore of Roanoke Island, E Dare County, extending SE into Roanoke Sound and Broad Creek."
NCG01872,Broad Swamp,Swamp,Wetlands,"W Beaufort County, is the lower course of Hall Swamp. It flows S into Pamlico River."
NCG01874,Broadneck Swamp,Swamp,Wetlands,SE Bertie County. Named for its location in a neck of the Roanoke River. See also Town Swamp.
NCG01892,Brooks Cove,Cove,Water,SW Buncombe County near the headwaters of Little Pole Creek.
NCG01898,Brooks Point,Point,Landform,"off the N shore of Hatteras Island, opposite Cape Hatteras and extending into the waters of Pamlico Sound, S Dare County."
NCG01908,Brown Cove,Cove,Water,E Haywood County between Medford Cove and Sorrells Cove.
NCG01914,Brown Marsh Swamp,Swamp,Wetlands,"rises in SW Bladen County and flows SE into Columbus County, where its name is changed to Red Hill Swamp. Appears as Brown Meadow on the Moseley map, 1733. See also Brown Meadow."
NCG01918,Brown Mountain Beach,Beach,Landform,a recreational beach in Wilson Creek in W Caldwell County.
