id,label,pronunciation,description,County,feature_type
NCG00032,Abingdon Creek,,"rises in SW Caldwell County and flows SE into Lower Creek. Sometimes called Greasy Creek. Originally Aventon Creek for Aventon Sherrill, early settler.",Caldwell,Creek
NCG00033,Abner,,"community in N Montgomery County formerly known as Saunder's Hill and served by post office, 1859-98. Took Abner name in 1898. Post office by the name operated until 1953. By tradition named for local principal.",Montgomery,Community
NCG00034,Abraham Bay,,small bay in the mouth of Turn-again Bay in N Carteret County.,Carteret,Bay
NCG00035,Abraham's Plains,,"former district in NE Granville County. It had 62 heads of families in 1790 at the time of the first census. Took its name from the home, built 1766, of Col. Samuel Smith, who had fought in the battle at Abraham's Plains at Quebec, Canada.",Granville,District
NCG00036,Abrams Branch,,rises in S Transylvania County and flows NE into French Broad River.,Transylvania,Branch
NCG00037,Abshers,,community in N Wilkes County between Harris Creek and Middle Prong Roaring River.,Wilkes,Community
NCG00038,Academy Crossroads,,See Nahunta.,,Reference
NCG00039,Acconeechy,,See Hillsborough.,,Reference
NCG00040,Ace Enloe Ridge,,"NE Swain County in Great Smoky Mountains National Park, a short spur of Hughes Ridge.",Swain,Ridge
NCG00041,Acme,,"town in NE Columbus County on Livingston Creek. Known originally as Livingston for the creek. Inc. 1905 as Cronly and named for local landowner; name changed to Acme in 1911 for Acme Manufacturing Company, producer of fertilizer. Produces fertilizer and paper. Alt. 37.",Columbus,Town
NCG00042,Acorn,,community on Jones Pond E Gates County. Sometimes also known as Acorn Hill.,Gates,Community
NCG00043,Acorn Hill,,See Acorn.,,Reference
NCG00044,Acre,,"community in N central Beaufort County. Long Acre appears on the Collet map, 1770, as a ridge in the Dismal Swamp of NE Beaufort and S Washington Counties. It supported a post road from Plymouth to Bath. It is called Long Acre on various maps until Kerr, 1882, where it is marked ""Long Acre Ridge."" Long Acre community grew up at the S end of the ridge, and a post office there from 1883 to 1907 was called Acresville. By 1917 it was called Acre from the railroad name, and the ridge was no longer recorded on maps. Alt. 32.",Beaufort,Community
NCG00045,Acresville,,See Acre.,,Reference
NCG00046,Acton,,"community between Enka and Sulphur Springs, central Buncombe County.",Buncombe,Community
NCG00047,Ad Tate Knob,,on Utah Mountain in central Haywood County.,Haywood,Knob
NCG00048,Adair,,community in N Gates County.,Gates,Community
NCG00049,Adake,,community in W Caldwell County on Wilsons Creek.,Caldwell,Community
NCG00050,Adam's Store,,"community in NW Mecklenburg County served by post office, 1852-55.",Mecklenburg,Community
NCG00051,Adams,,community in central Watauga County.,Watauga,Community
NCG00052,Adams Branch,,rises in N Cleveland County and flows SE into Knob Creek.,Cleveland,Branch
NCG00053,Adams Creek,,rises in E Swain County and flows S between Cooper Creek and Owl Branch into Oconaluftee River.,Swain,Creek
NCG00054,Adams Crossroads,,community in W Wake County between Brier Creek and Sycamore Creek.,Wake,Community
NCG00055,Adams Hollow,,in NW Swain County extends S on a tributary of Ekaneetlee Creek to Grill Cove.,Swain,Valley
NCG00056,Adams Mountain,,"W Caldwell County. Alt. 1,500.",Caldwell,Mountain
NCG00057,Adams Point,,"point of land in E Beaufort County on Pamlico River near the mouth of Pungo River. Appears on the Moseley map, 1733.",Beaufort,Point
NCG00058,Adams Run,,community in E Henderson County on Big Hungry Creek.,Henderson,Community
NCG00059,Adams Store,,See Adamsville.,,Reference
NCG00060,Adamsville,,former community in central Wayne County on the E edge of Goldsboro. At one time known as Adams Store. Now within the corporate limits of Goldsboro.,Wayne,FormerCommunity
NCG00061,Adcock Creek,,rises in S Granville County E of Stem and flows E into Tar River. Named for Adcock family.,Granville,Creek
NCG00062,Addie,,"community in N Jackson County, on Scotts Creek. Located about 3 mi. NE of town of Sylva. Alt. 2,249.",Jackson,Community
NCG00063,Addor,,"town in S Moore County. Inc. 1881 as Keyser; named for an officer of the Raleigh and Augusta Airline Railroad. During World War I, the name became unpopular because of the similarity to ""Kaiser."" Name changed in October 1918 to Addor in honor of Felix Addor, local resident, who had been killed on the troopship SS Leviathan in March. Long inactive in municipal affairs. Served by post office, 1877-1918.",Moore,Town
NCG00064,Adelaide,,"community in S Rockingham County served by post office, 1883-1905.",Rockingham,Community
NCG00065,Adkin Branch,,"rises in N Lenoir County and flows SE through the city of Kinston into Neuse River. Named for Robert Atkins, who had land grants there in 1729.",Lenoir,Branch
NCG00066,Adkins,,community in N Yancey County.,Yancey,Community
NCG00067,Adkins Branch,,"rises in N Buncombe County and flows NW into Madison County, where it enters Ivy River.",Buncombe,Branch
NCG00068,Adkins Falls,,rapids in Cape Fear River in central Harnett County E of the town of Lillington and near the confluence of Buies Creek with the river. Mentioned as early as 1819 in a survey of the rivers of North Carolina.,Harnett,Rapids
NCG00069,Adlai,,"community in SE Union County served by post office, 1896-1900.",Union,Community
NCG00070,Adley,,"community in S Wilkes County on the S side of Yadkin River. Home of Capt. John Brown, in which the Wilkes County government was organized in March 1778, is across the river. The W. Kerr Scott Dam is there.",Wilkes,Community
NCG00071,Adoniram,,"community in N Granville County served by post office, 1889-1906.",Granville,Community
NCG00072,Advalorem Branch,,rises in N Swain County between Jumpup Ridge and Bald Ridge and flows SE into Forney Creek.,Swain,Branch
NCG00073,Advance,,"town in E Davie County. Known as Shady Grove as early as 1816. When a post office was est. in 1877, a new name was required because there was already a Shady Grove post office in the state. Named because local citizens expected progress with the addition of a post office to the community. Inc. 1893. Alt. 810.",Davie,Town
NCG00074,Affinity,,See Marietta.,,Reference
NCG00075,Afton,,community in SW Warren County between Lees Branch and the head of Richneck Creek. Post office est. 1874 but discontinued in 1919.,Warren,Community
NCG00076,Afton Run,,"stream, rises in N Cabarrus County and flows S into Coddle Creek. Also appears in early documents as Ashton Run and Astin's Run.",Cabarrus,Run
NCG00077,Agate,,"community in NW Hertford County served by post office, 1892-1906.",Hertford,Community
NCG00078,Aggie Run,,is formed in NW Beaufort County by the junction of Old Ford Swamp and Snoad Branch. It flows S into Tranters Creek.,Beaufort,Run
NCG00079,Agiqua,,See French Broad River.,,Reference
NCG00080,Agnela,,community in SW Hertford County.,Hertford,Community
NCG00081,Aho,,"community in S Watauga County near the heads of Stony Branch, Moore Branch, and Buffalo Creek. It is said that a group of men gathered to select a name for the community but, being unable to agree on a name, decided that the next word spoken by any one of them would be accepted. After a long silence, B. B. Dougherty arose, stretched, and said ""Aho!""",Watauga,Community
NCG00082,Ahoskie,,"town in S Hertford County. Post office as early as 1828 named Ahosky Ridge. Inc. 1893. Name of Indian origin, spelled Ahostsky and Ahostskey as early as 1719. Produces apparel, lumber, and wooden containers. Alt. 59.",Hertford,Town
NCG00083,Ahoskie Creek,,"rises in SE Northampton County and flows NE into Hertford County, where it enters Ahoskie Swamp.",Northampton,Creek
NCG00084,Ahoskie Swamp,,"rises in S Hertford County and flows SE and NE into Bear Swamp. Appears as Ahotskey Swamp on the Collet map, 1770.",Hertford,Swamp
NCG00085,Ahoskie Township,,S Hertford County.,Hertford,Township
NCG00086,Ahosky Ridge,,See Ahoskie.,,Reference
NCG00087,"Ahostsky, Ahostskey, Ahotskey",,See Ahoskie.,,Reference
NCG00088,Ai,,"community in SE Person County served by post office, 1887-1907.",Person,Community
NCG00089,Aiken Branch,,rises in NW Swain County and flows SE into Lake Cheoah.,Swain,Branch
NCG00090,Aiken Mill Creek,,rises in S Transylvania County and flows N into French Broad River.,Transylvania,Creek
NCG00091,Aiken Mountain,,S Transylvania County between Aiken Creek and Carson Creek.,Transylvania,Mountain
NCG00092,Air Bellows Gap,,"on the Alleghany-Wilkes county line. An early road across the Blue Ridge Mountains passed through the gap. Alt. 3,744.",Alleghany|Wilkes,Gap
NCG00093,Airbellows,,"former community in S Alleghany County, now an entrance to the Blue Ridge Parkway. Alt. 3,800.",Alleghany,FormerCommunity
NCG00094,Airlie,,community in E New Hanover County on the N side of Bradleys Creek.,New Hanover,Community
NCG00095,Akwetiyi,,"a spot on Tuckasegee River in NW Jackson County, about 1 mi. NW of town of Dillsboro, and between mouth of Dicks Creek and mouth of Laurel Branch. According to Indian tradition there was a dangerous water monster in the river. The meaning of the name is lost.",Jackson,FreshwaterArea
NCG00096,Alamance,,community in W Alamance County. A post office est. there as early as 1828; cotton mill built in 1837 by E. M. Holt. Alt. 454. Post office name for many years was Allemance.,Alamance,Community
NCG00097,Alamance Battleground State Historic Site,,"W central Alamance County. Markers and a museum on the 40-acre site tell the story of the battle on May 16, 1771, in which the North Carolina militia under Gov. William Tryon defeated the Regulators.",Alamance,HistoricalSite
NCG00098,Alamance Church,,"community in SE Guilford County. Second Ulster Scots Presbyterian Church in Guilford County, founded in the second half of eighteenth century.",Guilford,Community
NCG00099,Alamance County,,"was formed in 1849 from Orange County. Located in the central part of the state, it is bounded by Orange, Chatham, Randolph, Guilford, and Caswell Counties. Named for Great Alamance Creek, which see, or the Battle of Alamance, May 16, 1771. The name appears as Aramancy River in the writings of William Byrd, 1728. Area: 434 sq. mi. County seat: Graham, with an elevation of 656 ft. Townships, now numbered 1 to 13, were formerly Patterson, Coble, Boon Station, Morton, Faucette, Graham, Albright, Newlin, Thompson, Melville, Pleasant Grove, Burlington, and Haw River. Produces auto parts, tobacco, poultry, dairy and beef cattle, pecans, textiles, electronics, paper boxes, apparel, crushed stone, pyrophyllite, and bricks.",,County
NCG00100,Alamance Creek,,See Great Alamance Creek.,,Reference
NCG00101,Alarka,,"community in S Swain County on Yalaka Creek, from which it takes its name.",Swain,Community
NCG00102,Alarka Creek,,See also Yalaka Creek.,,Reference
NCG00103,Albans,,community in NE Union County.,Union,Community
NCG00104,Albemarle,,"city and county seat in N central Stanly County. Alt. 505. Post office opened there as Smith's Store in 1826; name changed to Albemarle, 1841. Inc. 1857. Named for George Monck (1608-79), Duke of Albemarle, one of the original Lords Proprietors of Carolina in 1663.",Stanly,City
NCG00105,Albemarle Beach,,"NW Washington County on Albemarle Sound, W of the town of Mackeys. Formerly known as Reas Beach.",Washington,Beach
NCG00106,Albemarle City Lake,,"central Stanly County on Long Creek. Formed in 1915. Covers 75 acres; max. depth 40 ft. Fishing, swimming, boating.",Stanly,Lake
NCG00107,Albemarle County,,"was est. in 1664 in the NE portion of the Lords Proprietors’ new province of Carolina covering a poorly defined 1,600 sq. mi. The first governor of the county was appointed in October 1664, and it soon also had a legislature and courts. By 1668 it was divided into Chowan, Currituck, Pasquotank, and Perquimans precincts. The county ceased to exist as a unit of government in Carolina in 1689, when Governor Seth Sothel departed. The next governor had his commission for ""that part of our province of Carolina that lyes north and east of Cape feare,"" which was basically the whole of modern North Carolina.",,County
NCG00108,Albemarle River,,See Albemarle Sound.,,Reference
NCG00109,Albemarle Section,,"See Albemarle, The.",,Reference
NCG00110,Albemarle Sound,,"NE North Carolina, separated from the Atlantic Ocean by a part of the Outer Banks. Approx. 52 mi. long and 5 to 14 mi. wide. Max. depth 25 ft. Sea level; freshwater not affected by tide. Waters from the Chowan and Roanoke Rivers enter the sound on the w; it drains into Roanoke, Croatan, and Pamlico Sounds. Explored by Ralph Lane, 1586; known as Sea of Rawnocke (Roanoke Sea) in 1609. Appears as Roanoke Sound on the Comberford map, 1657. Known briefly in 1663 as Carolina River and appears as Albemarle River on the Locke map, 1671, and the Blome map, 1672. The John Barnwell map of about 1722 was one of the first to use the name Albemarle Sound. First permanent settlements in North Carolina were made along its N shore. Named after 1663 for George Monck, Duke of Albemarle, one of the Lords Proprietors of Carolina. See also Weapemeoc.",,Sound
NCG00111,Albemarle Township,,See North Albemarle Township; South Albemarle Township.,,Reference
NCG00112,"Albemarle, The",,"or the Albemarle Section a term applied to NE North Carolina. It was the location of the first county, Albemarle County, which see.",,Region
NCG00113,Albert Mountain,,"S Macon County between Bearpen Gap and head of Hurricane Creek. Alt. 5,207.",Macon,Mountain
NCG00114,Albertson,,community in NE Duplin County. Earlier known as Holt's Store for Marion Holt. Post office est. there as early as 1828.,Duplin,Community
NCG00115,Albertson Township,,NE Duplin County.,Duplin,Township
NCG00116,Alberty,,See Fairview.,,Reference
NCG00117,Albright Township,,NW Chatham County.,Chatham,Township
NCG00118,Albrittons,,community in W Lenoir County.,Lenoir,Community
NCG00119,Alco,,"community in E Montgomery County served by post office, 1889-1915.",Montgomery,Community
NCG00120,Alder Branch,,"community in S Camden County. Alt. 10. Probably named for the alder bush, which grows in profusion in the vicinity. The branch, called Cross Branch in colonial days, connects a swamp that drains into Pasquotank River to another swamp that drains into North River.",Camden,Community
NCG00121,Alderman,,"community in S Cumberland County served by post office, 1885-1907.",Cumberland,Community
NCG00122,Aldridge Creek,,rises in SW Person County and flows SE into South Flat River.,Person,Creek
NCG00123,Ale,,"community in SW Stokes County served by post office, 1898-1903.",Stokes,Community
NCG00124,Alert,,"community in N Franklin County. Alt. 300. Settled about 1900. Name chosen by first postmaster, Thomas D. Farrow.",Franklin,Community
NCG00125,Alex's Creek,,See Grants Creek.,,Reference
NCG00126,Alex's Cross Roads,,See Alexis.,,Reference
NCG00127,Alexander,,"town in N Buncombe County on French Broad River. Settled about 1828; inc. 1905, but long inactive in municipal affairs. Named for James Mitchell Alexander, who built and operated a stagecoach tavern there. Alt. 1,791.",Buncombe,Town
NCG00128,Alexander Branch,,rises in N Buncombe County near Lovelace Gap and flows NW into Paint Fork.,Buncombe,Branch
NCG00129,Alexander County,,"was formed in 1847 from Iredell, Caldwell, and Wilkes Counties. Located in the W central section of the state, it is bounded by Iredell, Catawba, Caldwell, and Wilkes Counties. It was named for William Julius Alexander (1797-1857), member of the General Assembly from Mecklenburg County and Speaker of the House of Commons. Area: 259 sq. mi. County seat: Taylorsville, with an elevation of 1,247 ft. Townships are Ellendale, Gwaltneys, Little River, Millers, Sharpes, Sugar Loaf, Taylorsville, and Wittenburg. Produces cattle, poultry, barley, apples, corn, bearings, textiles, furniture, and paper boxes.",,County
NCG00130,Alexander Knob,,See Jess Knob.,,Reference
NCG00131,Alexander Mills,,town in S Rutherford County. Inc. 1925. Named for textile mill est. by J. F. Alexander.,Rutherford,Town
NCG00132,Alexander's Store,,community in E Mecklenburg County also known as Lawyers and Hornet's Nest. Named for postmaster Guy Alexander.,Mecklenburg,Community
NCG00133,Alexandriana,,See Croft.,,Reference
NCG00134,Alexis,,"town in N Gaston County. Inc. 1899, but long inactive in municipal affairs. Formerly known as Alex's Cross Roads for a man named Alexander who owned land there.",Gaston,Town
NCG00135,Alfordston,,"town authorized to be laid off and inc. 1793 on land of Thomas Matthews. Site approx. 1 mi. S of Carthage, central Moore County. The town was never laid off.",Moore,Town
NCG00136,Alfordsville,,community in W Robeson County. A post office operated there from 1800 to 1922.,Robeson,Community
NCG00137,Alfordsville Township,,SW Robeson County.,Robeson,Township
NCG00138,Alfred,,"community in SE Beaufort County. Settled about 1910 and named for Fred R. Alfred, large landowner. Alt. 25.",Beaufort,Community
NCG00139,Alfred Creek,,rises in NE Cherokee County and flows NW into Taylor Creek.,Cherokee,Creek
NCG00140,Algood,,"community in S Yadkin County served by post office, 1886-1904.",Yadkin,Community
NCG00141,Alkalithia Springs,,See All Healing Springs.,,Reference
NCG00142,All Healing Springs,,See Crumpler.,,Reference
NCG00143,Allan Branch,,rises in N Yancey County and flows E into Nolichucky River.,Yancey,Branch
NCG00144,Allan Creek,,rises in N Madison County and flows SE into Little Laurel Creek.,Madison,Creek
NCG00145,Allanstand,,"community in N Madison County on Martin Creek. In the days when stock was driven to market, a drover's station or stand was operated there by a man named Allen. Since 1897 site of Allanstand Cottage Industries, handicraft shop est. by Frances Goodrich.",Madison,Community
NCG00146,Allbone Branch,,rises in W Clay County and flows SW into Hiwassee River.,Clay,Branch
NCG00147,Alleghany County,,"was formed in 1859 from Ashe County. In the NW part of the state, it is bounded by the state of Virginia and by Surry, Wilkes, and Ashe Counties. The name is a corruption of the Delaware Indian name for the Allegheny and Ohio Rivers and is said to have meant ""a fine stream."" Area: 230 sq. mi. County seat: Sparta, with an elevation of 2,939 ft. Townships are Cherry Lane, Cranberry, Gap Civil, Glade Creek, Piney Creek, Prathers Creek, and Whitehead. Produces corn, barley, apples, hay, pipes, turkeys, Christmas trees, Irish potatoes, dairy products, livestock, textiles, apparel, and crushed stone. There are manganese and granite deposits in the county.",,County
NCG00148,Alleghany Township,,S Davidson County.,Davidson,Township
NCG00149,Allegheny,,community N Madison County on Shelton Laurel Creek.,Madison,Community
NCG00150,Allegheny Mountains,,See Appalachian Mountains.,,Reference
NCG00151,Allemance,,See Alamance.,,Reference
NCG00152,Allen,,community in NE Mecklenburg County.,Mecklenburg,Community
NCG00153,Allen Branch,,rises in N Macon County and flows W into Burningtown Creek.,Macon,Branch
NCG00154,Allen Creek,,"rises in S Haywood County and flows NE into Richland Creek. Named for Allen family, pioneer settlers in Haywood County, approx. 1812.",Haywood,Creek
NCG00155,Allen Creek,,rises in S Catawba County and flows NW into Maiden Creek.,Catawba,Creek
NCG00156,Allen Gap,,N Cherokee County near the head-waters of Allen Branch.,Cherokee,Gap
NCG00157,Allen Mountain,,NE Buncombe County.,Buncombe,Mountain
NCG00158,Allen's Creek,,See Lilliput Creek.,,Reference
NCG00159,Allen's Crossroads,,community in S Granville County W of Hester Station.,Granville,Community
NCG00160,Allen's Fall,,See Ramseur.,,Reference
NCG00161,Allendale Township,,SE Hoke County.,Hoke,Township
NCG00162,Allens Branch,,rises in N Jackson County and flows SE into Scott Creek.,Jackson,Branch
NCG00163,Allens Creek,,"rises in E Haywood County and flows NW into Pigeon River. Named for Allen family, pioneer settlers in Haywood County, approx. 1812.",Haywood,Creek
NCG00164,Allens Level,,community in S Person County.,Person,Community
NCG00165,Allensville,,community in E Person County. Formerly known as Trilby.,Person,Community
NCG00166,Allensville Township,,E central Person County.,Person,Township
NCG00167,Allenton,,former town in SE Stanly County on Pee Dee River. Laid off in 1-acre lots on an 85-acre tract on the lands of William and James Allen and John Davison in 1799. A post office operated there from 1813 to 1831; Allenton ferry operated there into the twentieth century. Site now under waters of Lake Tillery.,Stanly,FormerCommunity
NCG00168,Allents Cove Branch,,rises in E Transylvania County and flows N into Crab Creek.,Transylvania,Branch
NCG00169,Alliance,,"community in N Pamlico County, in the center of an area that produces potatoes and tobacco. Settled in the 1890s and named for the Farmers’ Alliance movement. Former railroad station there was known as West Alliance.",Pamlico,Community
NCG00170,Alliby Creek,,See Ellerbee Creek.,,Reference
NCG00171,Alligator,,farming and grazing community in NE Tyrrell County on the Big Savanna near Alligator Creek.,Tyrrell,Community
NCG00172,Alligator Bay,,in S Onslow County at the E end of Stump Sound.,Onslow,Bay
NCG00173,Alligator Creek,,a tidal stream on Eagles Island in E Brunswick County. It flows S into the Cape Fear River.,Brunswick,Stream
NCG00174,Alligator Dismal Swamp,,See Great Alegator Dismal Swamp.,,Reference
NCG00175,Alligator Lake,,"a natural lake in N Hyde County, 3Â½ mi. in diameter, almost a perfect circle. Not shown on the Collet map, 1770, or the Mouzon map, 1775; a map in The Political Magazine (November 1780) shows an enlarged area at the head of Alligator River. Not until 1812, on a map published in Boston, is the lake clearly shown. Within a few years it was being labeled Alligator Lake on maps. The lake now is filled by swamp drainage; its two outlets are the New Lake Fork of Alligator River and a drainage ditch leading into Pungo River. Alligator Lake, known locally as New Lake, covers approx. 6,000 acres and is 6 to 7 ft. at its deepest.",Hyde,Lake
NCG00176,Alligator Pond,,"built beside McClendon's Creek 2 mi. S of Carthage, Moore County. 1 acre.",Moore,Pond
NCG00177,Alligator River,,"rises in central Hyde County and flows E and N to the Hyde-Tyrrell county line, SE to the Dare-Tyrrell county line, and N into Albemarle Sound. In part, the Intracoastal Waterway follows the Alligator River. Appears as Layn Flu[ve] on the Smith map, 1624, undoubtedly named for Ralph Lane, governor of the first Roanoke colony. Appears as Alligator River on the Ogilby map, 1671.",Hyde,River
NCG00178,Alligator River Bridge,,See East Lake Landing; Sandy Point.,,Reference
NCG00179,Alligator Swamp,,rises in NW Brunswick County and flows N into Juniper Creek.,Brunswick,Swamp
NCG00180,Alligator Township,,NE Tyrrell County.,Tyrrell,Township
NCG00181,Alligoods,,community in central Beaufort County. Alt. 37.,Beaufort,Community
NCG00182,Allison,,community in W central Caswell County. A post office operated there from 1886 to 1909.,Caswell,Community
NCG00183,Allison Creek,,rises in S Macon County and flows NE into Cartoogechaye Creek.,Macon,Creek
NCG00184,Allman Branch,,rises in S Madison County and flows NW into French Broad River.,Madison,Branch
NCG00185,Allman Branch,,"rises in N Buncombe County and flows NW into Madison County, where it enters French Broad River.",Buncombe,Branch
NCG00186,Allmon Branch,,rises in NE Cherokee County and flows SE into Morris Creek.,Cherokee,Branch
NCG00187,Allmon Creek,,rises in N Cherokee County in the Snowbird Mountains and flows S into Hyatt Creek.,Cherokee,Creek
NCG00188,Allreds,,"community in NE Montgomery County served by post office, 1880-1953. Took its name from Allred family, operators of gristmill on Little River.",Montgomery,Community
NCG00189,Alma,,See Daystrom.,,Reference
NCG00190,Almond,,"community in W Swain County on Little Tennessee River. Inc. 1905, but no longer active in municipal affairs. Named for Bud Almond, donor of original town site. Alt. 1,613.",Swain,Community
NCG00191,Almond Township,,W Stanly County.,Stanly,Township
NCG00192,Alora,,"community in E Buncombe County served by post office, 1900-1906.",Buncombe,Community
NCG00193,Alpha,,"community in N Rowan County served by post office, 1894-1904.",Rowan,Community
NCG00194,Alpine,,"community in S Sampson County served by post office, 1894-1915.",Sampson,Community
NCG00195,Alspaugh,,community in central Forsyth County.,Forsyth,Community
NCG00196,Alston,,community in central Warren County. Post office est. there in 1903 but discontinued in 1918.,Warren,Community
NCG00197,Altamahaw,,"community in W Alamance County on Haw River. Founded about 1860 with the establishment of a cotton gin there. Later the site of several textile mills. The community of Ossipee lies directly s. Name of Indian origin, meaning unknown.",Alamance,Community
NCG00198,Altamont,,"community in S Avery County. Name means high mountain. Thomas Wolfe adopted name for his fictitious Asheville in Look Homeward, Angel (1929).",Avery,Community
NCG00199,Altamont Township,,S Avery County.,Avery,Township
NCG00200,Altan,,community in S central Union County. Served by post office from 1890 to 1904.,Union,Community
NCG00201,Altapass,,"community in SE Mitchell County on Little Rose Creek. Alt. 2,623.",Mitchell,Community
NCG00202,Alto,,See Lasker.,,Reference
NCG00203,Alum Knob,,between Caney Fork and Tuckasegee River in central Jackson County.,Jackson,Knob
NCG00204,Alum Ridge,,NW Madison County parallel to Pounding Mill Branch.,Madison,Ridge
NCG00205,Alum Spring,,mineral waters in W Onslow County near Southwest Creek.,Onslow,Spring
NCG00206,Aman's Store,,See Verona.,,Reference
NCG00207,Amantha,,"community on Cover Creek in W Watauga County. Settled 1870. First known as McBrides Mill for Hiram McBride, first postmaster; post office by that name, 1869-87. Name later changed to honor Amantha Combs, local resident; post office by that name, 1887-1937.",Watauga,Community
NCG00208,Amboy,,"community in N Chowan County served by post office, 1880-1904.",Chowan,Community
NCG00209,Amelia,,community in NW Alleghany County.,Alleghany,Community
NCG00210,Ames Turnout,,See Wingate.,,Reference
NCG00211,Amherst,,See Roberson Store.,,Reference
NCG00212,Amity Hill,,community in S Iredell County.,Iredell,Community
NCG00213,Ammon,,community in NW Bladen County.,Bladen,Community
NCG00214,Ammon Bottom,,E Cherokee County between Elliott Branch and Piper Branch.,Cherokee,Area
NCG00215,Ammon Knob,,on the Cherokee-Clay county line in the Valley River Mountains.,Cherokee|Clay,Knob
NCG00216,Ammons Branch,,rises in SE Macon County and flows SE into Chattooga River.,Macon,Branch
NCG00217,Ammons Knob,,"S Macon County between the head of Hayes Mill Creek and Nickajack Creek. Alt. 3,916.",Macon,Knob
NCG00218,Amorita,,"community in N Alleghany County served by post office, 1899-1906.",Alleghany,Community
NCG00219,Amos Creek,,rises in NE Madison County and flows SW into Spillcorn Creek.,Madison,Creek
NCG00220,Amos Mill Pond,,See Weldons Millpond.,,Reference
NCG00221,Amos Plott Balsam,,See Waterrock Knob.,,Reference
NCG00222,Amour,,See Armour.,,Reference
NCG00223,Amy,,community in N central Ashe County.,Ashe,Community
NCG00224,Anderson,,"community in S central Caswell County, known earlier as Anderson's Store. A post office was operated there during the approx. period 1820 to 1905.",Caswell,Community
NCG00225,Anderson Branch,,rises in S Graham County and flows NE into Tulula Creek.,Graham,Branch
NCG00226,Anderson Branch,,rises in W Clay County and flows NW into Hiwassee River.,Clay,Branch
