gazetteer_id,object_id,ein,wikidata_id,name,street,city,state,zip,affiliation,ruling,loc_name,geocoded_status,match_addr,addr_type,addnum,side,stpredir,stpretype,stname,sttype,staddr,city_2,county,postal,x,y,arc_address,arc_city,arc_postal,winter_address,religion,desc,website,phone
,106076,562562182,,A C T S MINISTRIES,6507 RAIN CREEK WAY,CHARLOTTE,NC,28262,3,200710,POINTADDRESS,M,"6507 RAIN CREEK WAY, CHARLOTTE, NORTH CAROLINA, 28262",POINTADDRESS,6507,L,NOT AVAILABLE,NOT AVAILABLE,RAIN CREEK,WAY,6507 RAIN CREEK WAY,CHARLOTTE,MECKLENBURG,28262,-80.792755,35.298454,6507 RAIN CREEK WAY,CHARLOTTE,28262,,,,,
,34669,202093357,,A COACHING REVOLUTION,2321 FALLS RIVER AVE,RALEIGH,NC,27614,3,200503,POINTADDRESS,M,"2321 FALLS RIVER AVE, RALEIGH, NORTH CAROLINA, 27614",POINTADDRESS,2321,R,NOT AVAILABLE,NOT AVAILABLE,FALLS RIVER,AVE,2321 FALLS RIVER AVE,RALEIGH,WAKE,27614,-78.568877,35.917535,2321 FALLS RIVER AVE,RALEIGH,27614,,,,,
,,,,A E Finley YMCA,,Raleigh,NC,,,,,,,,,,,,,,,,,,35.7795897,-78.6381787,,,,Raleigh,CHRISTIAN,,,
,55986,320244173,,A FAMILY CALLED CHURCH,PO BOX 2871,HICKORY,NC,28603,3,200904,POSTAL,M,"28603, HICKORY, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,HICKORY,NOT AVAILABLE,28603,-81.39384,35.71985,PO BOX 2871,HICKORY,28603,,,,,
,105536,562185132,,A GIFT OF LOVE MINISTRY,PO BOX 30713,CHARLOTTE,NC,28230,3,200302,POSTAL,M,"28230, CHARLOTTE, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CHARLOTTE,NOT AVAILABLE,28230,-80.833882,35.222001,PO BOX 30713,CHARLOTTE,28230,,,,,
,97620,522451192,,A HAND UP,6212 KNIGHTDALE EAGLE ROCK RD,WENDELL,NC,27591,3,200505,POINTADDRESS,M,"6212 KNIGHTDALE-EAGLE ROCK RD, WENDELL, NORTH CAROLINA, 27591",POINTADDRESS,6212,R,NOT AVAILABLE,NOT AVAILABLE,KNIGHTDALE-EAGLE ROCK,RD,6212 KNIGHTDALE-EAGLE ROCK RD,WENDELL,WAKE,27591,-78.427496,35.792013,6212 KNIGHTDALE EAGLE ROCK RD,WENDELL,27591,,,,,
,105658,562220729,,A LIGHT IN THE DARKNESS OUTREACH MINISTRY,PO BOX 118,UNION GROVE,NC,28689,3,200410,POSTAL,M,"28689, UNION GROVE, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,UNION GROVE,NOT AVAILABLE,28689,-80.948624,36.057094,PO BOX 118,UNION GROVE,28689,,,,,
,104816,561946756,,A NEW BEGININNING TEACHING MINISTRY,700 W ENGLISH RD,HIAH POINT,NC,27262,3,200201,POINTADDRESS,M,"700 W ENGLISH RD, HIGH POINT, NORTH CAROLINA, 27262",POINTADDRESS,700,L,W,NOT AVAILABLE,ENGLISH,RD,700 W ENGLISH RD,HIGH POINT,GUILFORD,27262,-80.013066,35.955756,700 W ENGLISH RD,HIAH POINT,27262,,,,,
,105037,562033110,,A NEW BEGINNING ASSEMBLY OF GOD,898 NEIL MAXWELL RD,RAEFORD,NC,28376,9,196408,POINTADDRESS,M,"898 NEILL MAXWELL RD, RAEFORD, NORTH CAROLINA, 28376",POINTADDRESS,898,R,NOT AVAILABLE,NOT AVAILABLE,NEILL MAXWELL,RD,898 NEILL MAXWELL RD,RAEFORD,HOKE,28376,-79.225819,34.933898,898 NEIL MAXWELL RD,RAEFORD,28376,,,,,
,56147,320418032,,A NEW BEGINNING MINISTRIES,PO BOX 112,FOUR OAKS,NC,27524,3,201408,POSTAL,M,"27524, FOUR OAKS, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,FOUR OAKS,NOT AVAILABLE,27524,-78.428945,35.443631,PO BOX 112,FOUR OAKS,27524,,,,,
,115060,770677901,,A NEW BEGINNING OUTREACH MINISTRY,532 BILTMORE ST,MOORESVILLE,NC,28115,3,200905,POINTADDRESS,M,"532 BILTMORE ST, MOORESVILLE, NORTH CAROLINA, 28115",POINTADDRESS,532,L,NOT AVAILABLE,NOT AVAILABLE,BILTMORE,ST,532 BILTMORE ST,MOORESVILLE,IREDELL,28115,-80.812287,35.591094,532 BILTMORE ST,MOORESVILLE,28115,,,,,
,116173,810842197,,A NEW DAY - A NEW HOPE MINISTRIES,6377 OLD STALEY RD,STALEY,NC,27355,3,201601,POINTADDRESS,M,"6377 OLD STALEY RD, STALEY, NORTH CAROLINA, 27355",POINTADDRESS,6377,R,NOT AVAILABLE,OLD,STALEY,RD,6377 OLD STALEY RD,STALEY,RANDOLPH,27355,-79.593581,35.788857,6377 OLD STALEY RD,STALEY,27355,,,,,
,92688,475324344,,A NEW DAY CHURCH OF JESUS CHRIST,10435 KERNS RD,HUNTERSVILLE,NC,28078,3,201708,POINTADDRESS,M,"10435 KERNS RD, HUNTERSVILLE, NORTH CAROLINA, 28078",POINTADDRESS,10435,L,NOT AVAILABLE,NOT AVAILABLE,KERNS,RD,10435 KERNS RD,HUNTERSVILLE,MECKLENBURG,28078,-80.878381,35.376627,10435 KERNS RD,HUNTERSVILLE,28078,,,,,
,105430,562158827,,A NEW HAITI,PO BOX 19974,CHARLOTTE,NC,28219,3,200103,POSTAL,M,"28219, CHARLOTTE, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CHARLOTTE,NOT AVAILABLE,28219,-80.940407,35.209429,PO BOX 19974,CHARLOTTE,28219,,,,,
,49251,271861057,,A PLACE CALLED HOPE,1809 GARNER STATION BLVD,RALEIGH,NC,27603,3,201108,STREETADDRESS,M,"1809 GARNER STATION BLVD, RALEIGH, NORTH CAROLINA, 27603",STREETADDRESS,1809,R,NOT AVAILABLE,NOT AVAILABLE,GARNER STATION,BLVD,1809 GARNER STATION BLVD,RALEIGH,WAKE,27603,-78.65948,35.724704,1809 GARNER STATION BLVD,RALEIGH,27603,,,,,
,103792,561497697,,A PLACE IN THE HEART INCORPORATED,4221 BECKERDITE RD,SOPHIA,NC,27350,3,198705,POINTADDRESS,M,"4221 BECKERDITE RD, SOPHIA, NORTH CAROLINA, 27350",POINTADDRESS,4221,L,NOT AVAILABLE,NOT AVAILABLE,BECKERDITE,RD,4221 BECKERDITE RD,SOPHIA,RANDOLPH,27350,-79.908193,35.797449,4221 BECKERDITE RD,SOPHIA,27350,,,,,
,114615,753037545,,A PLACE OF REFUGE MINISTRIES INC,PO BOX 96,KENLY,NC,27542,3,200303,POSTAL,M,"27542, KENLY, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,KENLY,NOT AVAILABLE,27542,-78.123258,35.595629,PO BOX 96,KENLY,27542,,,,,
,118858,830462435,,A PLACE TO TALK,1546 BROOKFORD CH RD,HICKORY,NC,28602,9,197001,STREETNAME,M,"BROOKFORD BLVD, HICKORY, NORTH CAROLINA, 28602",STREETNAME,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,BROOKFORD,BLVD,BROOKFORD BLVD,HICKORY,CATAWBA,28602,-81.347663,35.69951,1546 BROOKFORD CH RD,HICKORY,28602,,,,,
,88753,463883368,,A RESTING PLACE MINISTRY,8116 SOUTH TRYON STREET,CHARLOTTE,NC,28273,3,201406,STREETADDRESS,M,"8116 S TRYON ST, CHARLOTTE, NORTH CAROLINA, 28273",STREETADDRESS,8116,L,S,NOT AVAILABLE,TRYON,ST,8116 S TRYON ST,CHARLOTTE,MECKLENBURG,28273,-80.92963,35.14336,8116 SOUTH TRYON STREET,CHARLOTTE,28273,,,,,
,105222,562092448,,A RESTING PLACE PENTECOSTAL CHURCH INC,3006 WALSH ST,WINSTON-SALEM,NC,27107,3,200101,POINTADDRESS,M,"3006 WALSH ST, WINSTON-SALEM, NORTH CAROLINA, 27107",POINTADDRESS,3006,L,NOT AVAILABLE,NOT AVAILABLE,WALSH,ST,3006 WALSH ST,WINSTON-SALEM,FORSYTH,27107,-80.17896,36.073254,3006 WALSH ST,WINSTON-SALEM,27107,,,,,
,104700,561906481,,A TOUCH FROM ABOVE FAITH CENTER,1565 W MARKET ST STE B,SMITHFIELD,NC,27577,3,200002,STREETADDRESS,M,"1565 W MARKET ST, SMITHFIELD, NORTH CAROLINA, 27577",STREETADDRESS,1565,L,W,NOT AVAILABLE,MARKET,ST,1565 W MARKET ST,SMITHFIELD,JOHNSTON,27577,-78.367526,35.530743,1565 W MARKET ST STE B,SMITHFIELD,27577,,,,,
,48753,270934853,,A TOUCH OF GODS PRESENCE MINISTRIES,1300 DICKINSON AVE,GREENVILLE,NC,27834,3,201012,POINTADDRESS,M,"1300 DICKINSON AVE, GREENVILLE, NORTH CAROLINA, 27834",POINTADDRESS,1300,L,NOT AVAILABLE,NOT AVAILABLE,DICKINSON,AVE,1300 DICKINSON AVE,GREENVILLE,PITT,27834,-77.383656,35.605366,1300 DICKINSON AVE,GREENVILLE,27834,,,,,
,105429,562158086,,ABANA MINISTRIES,PO BOX 822,PINEVILLE,NC,28134,3,201208,POSTAL,M,"28134, PINEVILLE, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,PINEVILLE,NOT AVAILABLE,28134,-80.885457,35.080538,PO BOX 822,PINEVILLE,28134,,,,,
,103142,561325104,,ABBA BIBLE CHURCH INCORPORATED,PO BOX 160,DENVER,NC,28037,3,199602,POSTAL,M,"28037, DENVER, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,DENVER,NOT AVAILABLE,28037,-81.020326,35.531269,PO BOX 160,DENVER,28037,,,,,
,92204,474158082,,ABBA NISSI INTERNATIONAL INC,2011 RIDGE RD,RALEIGH,NC,27607,3,201510,POINTADDRESS,M,"2011 RIDGE RD, RALEIGH, NORTH CAROLINA, 27607",POINTADDRESS,2011,L,NOT AVAILABLE,NOT AVAILABLE,RIDGE,RD,2011 RIDGE RD,RALEIGH,WAKE,27607,-78.680446,35.817475,2011 RIDGE RD,RALEIGH,27607,,,,,
,118484,823318711,,ABCS OF HOPE,108 DEERFIELD PL,ARCHDALE,NC,27263,3,201804,POINTADDRESS,M,"108 DEERFIELD PL, HIGH POINT, NORTH CAROLINA, 27263",POINTADDRESS,108,L,NOT AVAILABLE,NOT AVAILABLE,DEERFIELD,PL,108 DEERFIELD PL,HIGH POINT,RANDOLPH,27263,-79.931656,35.894578,108 DEERFIELD PL,ARCHDALE,27263,,,,,
,110227,581498872,,ABE BRANCH HOLINESS CHURCH,965 MARSH RD,BLADENBORO,NC,28320,3,198306,POINTADDRESS,M,"965 MARSH RD, BLADENBORO, NORTH CAROLINA, 28320",POINTADDRESS,965,R,NOT AVAILABLE,NOT AVAILABLE,MARSH,RD,965 MARSH RD,BLADENBORO,BLADEN,28320,-78.794827,34.670236,965 MARSH RD,BLADENBORO,28320,,,,,
,110356,581576907,,ABEL CHRISTIAN MINISTRIES INC,PO BOX 362,DALLAS,NC,28034,3,198410,POSTAL,M,"28034, DALLAS, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,DALLAS,NOT AVAILABLE,28034,-81.176291,35.311903,PO BOX 362,DALLAS,28034,,,,,
,102866,561181638,,ABERDEEN CHURCH 5,217 S PINEHURST ST,ABERDEEN,NC,28315,9,196402,POINTADDRESS,M,"217 S PINEHURST ST, ABERDEEN, NORTH CAROLINA, 28315",POINTADDRESS,217,R,S,NOT AVAILABLE,PINEHURST,ST,217 S PINEHURST ST,ABERDEEN,MOORE,28315,-79.433065,35.130037,217 S PINEHURST ST,ABERDEEN,28315,,,,,
,118537,823549194,,ABIDE CHRISTIAN FELLOWSHIP INC,5422 BRUSHY MEADOWS DR,FUQUAY VARINA,NC,27526,3,201801,POINTADDRESS,M,"5422 BRUSHY MEADOWS DR, FUQUAY-VARINA, NORTH CAROLINA, 27526",POINTADDRESS,5422,L,NOT AVAILABLE,NOT AVAILABLE,BRUSHY MEADOWS,DR,5422 BRUSHY MEADOWS DR,FUQUAY-VARINA,WAKE,27526,-78.739224,35.635672,5422 BRUSHY MEADOWS DR,FUQUAY VARINA,27526,,,,,
,105733,562244686,,ABIDING IN HIM MINISTRIES,PO BOX 9346,FAYETTEVILLE,NC,28311,3,200307,POSTAL,M,"28311, FAYETTEVILLE, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,FAYETTEVILLE,NOT AVAILABLE,28311,-78.906064,35.113097,PO BOX 9346,FAYETTEVILLE,28311,,,,,
,103846,561533327,,ABIDING SAVIOR LUTHERAN CHURCH INC,801 CHARLOTTE HWY,FAIRVIEW,NC,28730,9,198804,POINTADDRESS,M,"801 CHARLOTTE HWY, FAIRVIEW, NORTH CAROLINA, 28730",POINTADDRESS,801,L,NOT AVAILABLE,NOT AVAILABLE,CHARLOTTE,HWY,801 CHARLOTTE HWY,FAIRVIEW,BUNCOMBE,28730,-82.446028,35.545463,801 CHARLOTTE HWY,FAIRVIEW,28730,,,,,
,117502,814875874,,ABIDING UNDER THE SHADOWS OF GOD,615 GRANDIN RD,CHARLOTTE,NC,28208,3,201709,POINTADDRESS,M,"615 GRANDIN RD, CHARLOTTE, NORTH CAROLINA, 28208",POINTADDRESS,615,R,NOT AVAILABLE,NOT AVAILABLE,GRANDIN,RD,615 GRANDIN RD,CHARLOTTE,MECKLENBURG,28208,-80.863678,35.231571,615 GRANDIN RD,CHARLOTTE,28208,,,,,
,117807,820936658,,ABIDING VILLAGE INC,9144 BROCKLEHURST LN,CHARLOTTE,NC,28215,3,201803,POINTADDRESS,M,"9144 BROCKLEHURST LN, CHARLOTTE, NORTH CAROLINA, 28215",POINTADDRESS,9144,L,NOT AVAILABLE,NOT AVAILABLE,BROCKLEHURST,LN,9144 BROCKLEHURST LN,CHARLOTTE,MECKLENBURG,28215,-80.687455,35.247884,9144 BROCKLEHURST LN,CHARLOTTE,28215,,,,,
,103133,561323120,,ABNEY CHAPEL CHRISTIAN SCHOOL,2601 LONE PINE DR,FAYETTEVILLE,NC,28306,9,194704,POINTADDRESS,M,"2601 LONE PINE DR, FAYETTEVILLE, NORTH CAROLINA, 28306",POINTADDRESS,2601,L,NOT AVAILABLE,NOT AVAILABLE,LONE PINE,DR,2601 LONE PINE DR,FAYETTEVILLE,CUMBERLAND,28306,-78.908006,35.019804,2601 LONE PINE DR,FAYETTEVILLE,28306,,,,,
,46991,262340478,,ABOUNDING GRACE MINISTRY INC,110 JOHN SMITH RD,RUTHERFORDTON,NC,28139,3,201008,POINTADDRESS,M,"110 JOHN SMITH RD, RUTHERFORDTON, NORTH CAROLINA, 28139",POINTADDRESS,110,L,NOT AVAILABLE,NOT AVAILABLE,JOHN SMITH,RD,110 JOHN SMITH RD,RUTHERFORDTON,RUTHERFORD,28139,-81.963729,35.345585,110 JOHN SMITH RD,RUTHERFORDTON,28139,,,,,
,51537,300786624,,ABOVE & BEYOND MISSIONS INC,9735 CALDWELL COMMONS CIRCLE,CORNELIUS,NC,28031,3,201406,POINTADDRESS,M,"9735 CALDWELL COMMONS CIR, CORNELIUS, NORTH CAROLINA, 28031",POINTADDRESS,9735,R,NOT AVAILABLE,NOT AVAILABLE,CALDWELL COMMONS,CIR,9735 CALDWELL COMMONS CIR,CORNELIUS,MECKLENBURG,28031,-80.866699,35.451954,9735 CALDWELL COMMONS CIRCLE,CORNELIUS,28031,,,,,
,92380,474638812,,ABRAHAMS HOPE INCORPORATED,PO BOX 3251,CLINTON,NC,28329,3,201508,POSTAL,M,"28329, CLINTON, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CLINTON,NOT AVAILABLE,28329,-78.340759,34.993596,PO BOX 3251,CLINTON,28329,,,,,
,85958,454479499,,ABUNDANCE OF LOVE DELIVERANCE MINISTRIES INC,1025 LAUREN MCNEILL LOOP APT G,FAYETTEVILLE,NC,28303,3,201408,STREETADDRESS,M,"1025 LAUREN MCNEILL LOOP, FAYETTEVILLE, NORTH CAROLINA, 28303",STREETADDRESS,1025,L,NOT AVAILABLE,NOT AVAILABLE,LAUREN MCNEILL,LOOP,1025 LAUREN MCNEILL LOOP,FAYETTEVILLE,CUMBERLAND,28303,-78.942349,35.093237,1025 LAUREN MCNEILL LOOP APT G,FAYETTEVILLE,28303,,,,,
,31210,10581008,,ABUNDANT GRACE HOLINESS CHURCH OF THE APOSTOLIC FAITH INC,PO BOX 10774,GOLDSBORO,NC,27532,3,200712,POSTAL,M,"27532, GOLDSBORO, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,GOLDSBORO,NOT AVAILABLE,27532,-77.945421,35.372661,PO BOX 10774,GOLDSBORO,27532,,,,,
,110138,581483043,,ABUNDANT LIFE ASSOCIATION,3366 FREEMAN LN,LENOIR,NC,28645,3,198210,POINTADDRESS,M,"3366 FREEMAN LN, LENOIR, NORTH CAROLINA, 28645",POINTADDRESS,3366,R,NOT AVAILABLE,NOT AVAILABLE,FREEMAN,LN,3366 FREEMAN LN,LENOIR,CALDWELL,28645,-81.526598,35.851601,3366 FREEMAN LN,LENOIR,28645,,,,,
,104695,561907519,,ABUNDANT LIFE BAPTIST CHURCH,1518 GUM BRANCH RD,JACKSONVILLE,NC,28540,3,199702,POINTADDRESS,M,"1518 GUM BRANCH RD, JACKSONVILLE, NORTH CAROLINA, 28540",POINTADDRESS,1518,R,NOT AVAILABLE,NOT AVAILABLE,GUM BRANCH,RD,1518 GUM BRANCH RD,JACKSONVILLE,ONSLOW,28540,-77.422886,34.783955,1518 GUM BRANCH RD,JACKSONVILLE,28540,,,,,
,36506,208012920,,ABUNDANT LIFE CHRISTIAN CENTER INC,413 SCOTSDALE DR,JACKSONVILLE,NC,28546,3,200706,POINTADDRESS,M,"413 SCOTSDALE DR, JACKSONVILLE, NORTH CAROLINA, 28546",POINTADDRESS,413,L,NOT AVAILABLE,NOT AVAILABLE,SCOTSDALE,DR,413 SCOTSDALE DR,JACKSONVILLE,ONSLOW,28546,-77.368652,34.765029,413 SCOTSDALE DR,JACKSONVILLE,28546,,,,,
,104528,561852823,,ABUNDANT LIFE CHRISTIAN CHURCH INCORPORATED,112 DEEP GAP RUN,CARY,NC,27519,3,199411,POINTADDRESS,M,"112 DEEP GAP RUN, CARY, NORTH CAROLINA, 27519",POINTADDRESS,112,R,NOT AVAILABLE,NOT AVAILABLE,DEEP GAP,RUN,112 DEEP GAP RUN,CARY,WAKE,27519,-78.849881,35.772613,112 DEEP GAP RUN,CARY,27519,,,,,
,105301,562112505,,ABUNDANT LIFE CHURCH,PO BOX 416,JAMESTOWN,NC,27282,9,196408,POSTAL,M,"27282, JAMESTOWN, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,JAMESTOWN,NOT AVAILABLE,27282,-79.934903,35.998723,PO BOX 416,JAMESTOWN,27282,,,,,
,67778,364573424,,ABUNDANT LIFE CHURCH INTERNATIONAL INC,2923 PACIFIC AVE,GREENSBORO,NC,27406,3,201109,POINTADDRESS,M,"2923 PACIFIC AVE, GREENSBORO, NORTH CAROLINA, 27406",POINTADDRESS,2923,R,NOT AVAILABLE,NOT AVAILABLE,PACIFIC,AVE,2923 PACIFIC AVE,GREENSBORO,GUILFORD,27406,-79.786428,36.029881,2923 PACIFIC AVE,GREENSBORO,27406,,,,,
,103758,561482856,,ABUNDANT LIFE CHURCH INTERNATIONAL INC,512 W 32ND ST,CHARLOTTE,NC,28206,3,199108,POINTADDRESS,M,"512 W 32ND ST, CHARLOTTE, NORTH CAROLINA, 28206",POINTADDRESS,512,R,W,NOT AVAILABLE,32ND,ST,512 W 32ND ST,CHARLOTTE,MECKLENBURG,28206,-80.816988,35.25568,512 W 32ND ST,CHARLOTTE,28206,,,,,
,105272,562103656,,ABUNDANT LIFE CHURCH MINISTRIES,2965 FOREST HILLS RD SW,WILSON,NC,27893,3,200007,POINTADDRESS,M,"2965 FOREST HILLS RD SW, WILSON, NORTH CAROLINA, 27893",POINTADDRESS,2965,R,NOT AVAILABLE,NOT AVAILABLE,FOREST HILLS,RD,2965 FOREST HILLS RD SW,WILSON,WILSON,27893,-77.949392,35.702283,2965 FOREST HILLS RD SW,WILSON,27893,,,,,
,103285,561362490,,ABUNDANT LIFE CHURCH OF GOD,PO BOX 425,HUDSON,NC,28638,9,197210,POSTAL,M,"28638, HUDSON, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,HUDSON,NOT AVAILABLE,28638,-81.491664,35.845182,PO BOX 425,HUDSON,28638,,,,,
,32522,61074947,,ABUNDANT LIFE CHURCH OF GOD IN CHRIST INC,4400 OLD POOLE RD,RALEIGH,NC,27610,3,198608,POINTADDRESS,M,"4400 OLD POOLE RD, RALEIGH, NORTH CAROLINA, 27610",POINTADDRESS,4400,L,NOT AVAILABLE,OLD,POOLE,RD,4400 OLD POOLE RD,RALEIGH,WAKE,27610,-78.565168,35.763136,4400 OLD POOLE RD,RALEIGH,27610,,,,,
,118812,830416012,,ABUNDANT LIFE CHURCH ZION MINISTRIES,PO BOX 10854,GOLDSBORO,NC,27532,3,200806,POSTAL,M,"27532, GOLDSBORO, NORTH CAROLINA",POSTAL,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,GOLDSBORO,NOT AVAILABLE,27532,-77.945421,35.372661,PO BOX 10854,GOLDSBORO,27532,,,,,
