id,label,alternate_label,wikidata_id,loc_id,worldcat_id,viaf_id,description,feature_type,county,coordinates,creator,contributor,source
,Baker's Chapel Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Barker Ten Mile Community,,,,,,Lumbee community in Robeson County.,nct:Community,Robeson County,,Kaylin Blount,,https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1
,Barton Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Baum Site,,https://www.wikidata.org/wiki/Q4873532,,,,"is an archaeological site in Currituck County, believed to have been a previously existing village of the Algonquian tribes of North Carolina. The site contained a variety of Native American artifacts like bones, arrow heads, necklaces, copper beads and other objects of cultural value.",nct:NativeAmericanSettlement|nct:HistoricalSite,Currituck County,,Griffin Powell,Jonah Lewis,https://archaeology.ncdcr.gov/get-involved/archaeological-sites-sample/baum-site
NCG00758,Bay River,Bear River|Bear Branch,https://www.wikidata.org/wiki/Q32835138,,,,"""a small river in Craven County which flows between the Pamlico and Neuse rivers. The... native[s] to the area were simply known as the Bay or Bear River Indians but may have actually been a part of the Pamlico Tribe. John Lawson... noted the Bay or Bear Rivers Indians lived in a single village known as 'Raudauquaquank'...having approximately fifty warriors."" [Reynolds]",nct:River,Craven,,Madeline Miller,,"Reynolds, K. (2010). Native North Carolina: The what, why and where of Native American place names. Boone, N.C.: Parkway Publishers."
,Bayside Freewill Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG00793,Bear Branch,Bay River|Bear River,https://www.wikidata.org/wiki/Q32835138,,,,See Bay River.,nct:River,Craven,,Madeline Miller,,"Reynolds, K. (2010). Native North Carolina: The what, why and where of Native American place names. Boone, N.C.: Parkway Publishers."
,Bear River,Bay River|Bear Branch,https://www.wikidata.org/wiki/Q32835138,,,,See Bay River.,nct:River,Craven,,Madeline Miller,,"Reynolds, K. (2010). Native North Carolina: The what, why and where of Native American place names. Boone, N.C.: Parkway Publishers."
,Bear Swamp Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Bell Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Benson's Chapel Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Berea Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Bethel Hill Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Beulah Baptist Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Big Branch,Orrum(later),,,,,See Orrum.,nct: Reference,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
,Blackwater,,,,,,"This rural area of northeastern North Carolina is composed of peanut fields,   cotton  fields,  and  tree  farms  separated  by  strips  of cypress  swamp  and  mixed  eastern  forest.   Virginia’s  Blackwater  River  becomes  the  Chowan  at  the  state  border  and  this  branch  of the   Albemarle Sound creates the eastern border of Hertford County.  The Meherrin River descends   from  the  northwest  comer  of the  county  before  switching  eastward to  drain  into the  Chowan.   The  county is  crossed  with many  east-west tributary creeks,  creating pockets  of swampy land.   The populated portions of the county exist in dry patches on the edges  of the wetlands.  Most of the present-day Meherrin are descendants of a tribe which in colonial times was   described  as  a small group  (not above 500) having close affiliations  with the Nottoway and the   Tuscarora. ...   In the end, the council concluded that the Meherrin were to have their lands surveyed and   bound,  ""Running three  miles  up  Blackwater  River  and  then  a  Straight Line to  such  a part of   Maherrin  River  as  shall  be  Two  miles  from  the  mouth  thereof""  (Saunders,  Vol.  11:641-645;   October  27,  1726).",nct:Area,Hertford County,,,,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etdd
,Brasstown,Itseyi|Itse’yi|Ecoche,,,,,"historic Cherokee Valley town on Brasstown Creek, SW Clay County. Destroyed by Andrew Williamson’s army in the Cherokee War of 1776. The English name “Brasstown” is the result of confusion between the Cherokee words itseyi (fresh green place) and untsaiyi (brass).",nct:NativeAmericanSettlement,Clay County,"35.039524052212606, -83.96286338241919",Corinne Foster,,"Mooney, Myths of the Cherokee; Dean, The Cherokee War of 1776; Duncan and Riggs, Cherokee Heritage Trails Guidebook"
NCG01766,Brasstown,,https://www.wikidata.org/wiki/Q4957962,http://id.loc.gov/authorities/names/no2014150540,,http://viaf.org/viaf/sourceID/LC%7Cno2014150540#skos:Concept,"community in SW Clay County on Brasstown Creek. Alt. 1,650. The John C. Campbell Folk School, on a 175-acre farm, is there.",nct:Community,Clay County,,William Powell,Corinne Foster,
,Brayboy Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Briertown,Briartown|Kanu’gulayi|Kanugulayi|Kanugalv-yi|Kanu’galo’yi|Kanu’gulun’yi|Nuntialla|Nantiyallee|Nunlahala|Nantahala,,,,,"historic Cherokee Middle town on Nantahala River, W Macon County. Its Cherokee name, Kanugulayi, translates to “brier place.”",nct:NativeAmericanSettlement,Macon County,"35.24699006543803, -83.62541141791031",Corinne Foster,,"Duncan and Riggs, Cherokee Heritage Trails Guidebook; Mooney, Myth of the Cherokee; Goodwin, Cherokees in Transition"
,Briertown,,,,,,"community in Nantahala Township, N Macon County.",nct:Community,Macon County,,Corinne Foster,,
NCG01823,Briertown Mountain,,https://www.wikidata.org/wiki/Q31617980,,,,"SW Swain County, extends NE beside Nantahala Gorge.",nct:Mountain,Swain County,"35.300556, -83.6425",William Powell,,
,Brooks Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Brooks Settlement,,,,,,Lumbee community in Robeson County.,nct:Community,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|Lowery, M. Maynor. (2010). Lumbee Indians in the Jim Crow South: race, identity, and the making of a nation. Chapel Hill: University of North Carolina Press."
,Buffalo Town,Yansai|Yvsai|Yunsai,,,,,"historic Cherokee Valley town at junction of East Buffalo Creek, West Buffalo Creek, and Cheoah River. Its Cherokee name, Yunsai, translates to “buffalo place.” Site is now beneath Lake Santeetlah.",nct:NativeAmericanSettlement,Graham County,"35.359097755295004, -83.86323235547049",Corinne Foster,,"Mooney, Myths of the Cherokee"
,Bullard Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Burnette/Burnett Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Burnette Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Burningtown,Tikaleyasuni|Ticoloosa,,,,,"historic Cherokee Middle town on Burningtown Creek, central Macon County. Destroyed by James Grant’s army in the Anglo-Cherokee War. Its Cherokee name, Tikaleyasuni, translates to “burning place.” ",nct:NativeAmericanSettlement,Macon County,,Corinne Foster,,"Handbook of American Indians North of Mexico; Boulware, ""The Effect of the Seven Years' War on the Cherokee Nation"""
,Burnt Swamp Church Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Burnt Swamp Church Cemetery (Old),,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Burnt Swamp Township,,https://www.wikidata.org/wiki/Q6027630,,,,Lumbee township in Robeson County.,nct:Township,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|Lowery, M. Maynor. (2010). Lumbee Indians in the Jim Crow South: race, identity, and the making of a nation. Chapel Hill: University of North Carolina Press.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Cameron Mound,Huckleberry Mound,,,,,"a Native American burial mound said to be located ""in true sandhill territory of North Carolina, but in Harnett County just outside the present borders of Moore County. It is near a small bowl-shaped depression on the top of a sandy ridge, known as the Huckleberry swamp, and is really overgrown with tall (true) blueberry bushes"" and containing ""contained about one hundred skeletons, male, female, and children most of all which had been flexed before burial, and above all, as interred, had been burned a light fire of brush twigs, straw, etc..... a large platform pipe of steatite, another of trumpet shape, 2 1/ 2 inches long.""",nct:Burial Mound,Harnett County,,Harvey Maynor,,North Carolina Archaeology (formerly Southern Indian Studies) Vol. 18
,Canucca,Cannucca|Kanuka|Canuga|Kanuga|Kenuka,,,,,"historic Cherokee Middle town on Wallace Branch, E Macon County. Built by refugees from the Lower Towns in present-day South Carolina. Destroyed by James Grant’s army in the Anglo-Cherokee War and Griffith Rutherford’s in the Cherokee War of 1776.",nct:NativeAmericanSettlement,Macon County,,Corinne Foster,,"Handbook of American Indians North of Mexico; Boulware, ""The Effect of the Seven Years' War on the Cherokee Nation""; Dean, The Cherokee War of 1776"
,Canuce,Tlanusi’yi|Tlanusiyi|Tlanusi-yi|Clennuse|Klausuna,,,,,"historic Cherokee Valley town at junction of Hiwassee and Valley rivers, central Cherokee County. Destroyed by Andrew Williamson’s army in the Cherokee War of 1776. Its Cherokee name (Tlanusiyi, “leech place”) is derived from the legend of a giant leech that lives in the waters there. ",nct:NativeAmericanSettlement,Cherokee County,"35.09416138244844, -84.03790326307222",Corinne Foster,,"Mooney, Myths of the Cherokee; Goodwin, Cherokees in Transition; Dean, The Cherokee War of 1776; Duncan and Riggs, Cherokee Heritage Trails Guidebook"
NCG02571,Caraway Creek,,https://www.wikidata.org/wiki/Q32852961,,,,"rises in NW Randolph County and flows S into Uwharrie River near town of Farmer. Appears on the Collet map, 1770. Traditionally an Indian name, probably a survival of Keyauwee, the name of an Indian tribe that inhabited the area when white men first entered it. See also Keeauwee.",nct:Creek,Randolph County,,William Powell,Griffin Powell,https://www.wikidata.org/wiki/Q32852961
,Carter/Chavis Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Carter Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Cashie River,,https://www.wikidata.org/wiki/Q32854171,,,,25 miles of river that flows through Bertie County before empyting into batchelor bay and the Albamarle sound. ,nct:River,Bertie County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
NCG02729,Cataloochee,Gadalusti,https://www.wikidata.org/wiki/Q105026,http://id.loc.gov/authorities/names/n97079170,http://id.worldcat.org/fast/1281269|http://id.worldcat.org/fast/1348231,http://viaf.org/viaf/sourceID/LC%7Cn++97079170#skos:Concept,"community on Cataloochee Creek in W Haywood County. Now almost entirely in Great Smoky Mountains National Park. Alt. 2,620. Population formerly around 250. Cataloochee is a corruption of the Indian word gad-a-lu-sti, a descriptive exclamation that means ""standing in a row."" It is what the Indians saw from Cove Creek Gap—timber standing up on the distant mountains near the head of the watershed. The area was an important Cherokee hunting ground.",nct:Community,Haywood County,,William Powell,Madeline Miller,"Reynolds, K. (2010). Native North Carolina: The what, why and where of Native American place names. Boone, N.C.: Parkway Publishers."
,Catawba ,,https://www.wikidata.org/wiki/Q2024825,http://id.loc.gov/authorities/names/n84136662,http://id.worldcat.org/fast/1229779,http://viaf.org/viaf/sourceID/LC%7Cn++84136662#skos:Concept,"town in E Catawba County on the Catawba River. Inc. 1893. Alt. 834. Post office first est. as Chestnut Grove in nearby Iredell County, but the name was changed to Catawba Station when it was moved to E Catawba County in 1859. Became Catawba in 1877. Named for the Catawba native tribe (referred to in their language as the ""People of the river.""",nct:Town,Catawba County,,Griffin Powell,,https://en.wikipedia.org/wiki/Catawba_people
,Catawba County ,,https://www.wikidata.org/wiki/Q502483,http://id.loc.gov/authorities/names/n82017627,http://id.worldcat.org/fast/1218044,http://viaf.org/viaf/sourceID/LC%7Cn++82017627#skos:Concept,"was formed in 1842 from Lincoln County. Located in the W central section of the state, it is bounded by Iredell, Lincoln, Burke, Caldwell, and Alexander Counties. It was named for the Catawba Indians, who once inhabited the region. Area: 412 sq. mi. County seat: Newton, with an elevation of 996 ft. Townships are Bandy, Caldwell, Catawba, Claremont, Clines, Conover, Hickory, Jacobs Fork, Long View, Maiden, Mountain Creek, and Newton. Produces wheat, oats, barley, hay, poultry, corn, cattle, hogs, hosiery, furniture, fiber-optic cable, textiles, electronics, fabricated metals, lumber, paper boxes, crushed stone, and brick.",nct:County,Catawba County,,William Powell,Griffin Powell,
,Catherine Creek,Little Towne,https://www.wikidata.org/wiki/Q5052611,,,,"a settlement site for the Merrihan Indians also called ""Little creek"", which flows into the SW Chowan River. see Wiccacon Creek.",nct:Creek,Gates County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
,Cb v 4: Hunting Grounds,"Causey Road Hunting Grounds, Fair Bluff Hunting Grounds",,,,,"a notable hunting ground located 1 1/4 miles south of Fair Bluff on Causey Road; west of Causey Road, next to swamp (HI USACE Sm). Noted due to the large amounts of arrow heads found there by archeologists in March 5, 1959, site was said to be archeologically undisturbed. (Artifacts found: Savannah River points, Morrow Mountain points, Pee Dee points, and others.).  Name given is the name give by archeologists using the St. Andrews System.",nct: Hunting Ground,Robeson County,,Harvey Maynor,,"Mclean, D. and M. R. Sellon. “Documentary Research of the Lumber River Basin.” (1978)."
NCG02885,Chapanoke,,,,,,"community in E Perquimans County. Named for an Indian village, Chepanoc, the site of which probably is on Wade Point, Pasquotank County. The name apparently was an Indian word for ""land of the dead."" Alt. 15. ",nct:Community,Perquimans County,,William Powell,,https://www.ncpedia.org/sites/default/files/documents/intrigue_place-names2.pdf
NCG02931,Chattooga River,Chatooga|Chatuga|Chautaga,https://www.wikidata.org/wiki/Q834880,http://id.loc.gov/authorities/subjects/sh86000355,,,"SE Clay County on Hiwassee River. Created 1942 by a dam in the river at the mouth of Shooting Creek. Lake about 10 mi. long, covers over 8,000 acres; max. depth 144 ft. Forms a holding reservoir in the Tennessee Valley Authority system. Used for power, boating, swimming, and fishing.",nct:Lake,Clay County,"34°42'52"", 83°21'7""",William Powell,Madeline Miller,"Reynolds, K. (2010). Native North Carolina: The what, why and where of Native American place names. Boone, N.C.: Parkway Publishers."
,Chatuge,,,,,,"historic Cherokee Valley town on Hiwassee River, SE central Clay County. Burned by Andrew Williamson’s army in the Cherokee War of 1776. Town site located near present-day Chatuge Lake dam.",nct:NativeAmericanSettlement,Clay County,,Corinne Foster,,"Dean, The Cherokee War of 1776"
,Chavis Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Chawwone,,,,,,"The  Zuniga  map  (1608)  depicts the Chowan river with the names: ""Chawwone,""  ""Nettawmusawone,""  and  ""Ocanahowan""  written on the branches. While Ocanahowan is noted as a town, mistaken for the Roanoke but later discovered to be on the Meherrin, the others remain a mystery. the first likely refers to a people but ""Chawwone"" is unclear and has been marked as a branch of the larger river based on a reading of multiple sources",nct:Branch,Hertford County|Bertie County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
,Cheatham Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Cheoah,ᏥᏯ|Cheowa|Cheeowhee|Chewohe|Chewe|Tsiyohi|Tsiyahi|Tsiya’hi,,,,,"historic Cherokee Valley town on Cheoah River in central Graham County, present-day Robbinsville. Its name, ᏥᏯ (Tsiyahi), translates to “otter place.”",nct:NativeAmericanSettlement,Graham County,"35.32540959509682, -83.80194524109058",Corinne Foster,,"Mooney, Myths of the Cherokee; Goodwin, Cherokees in Transition; Duncan and Riggs, Cherokee Heritage Trails Guidebook; Blue Ridge Heritage Trail"
NCG02948,Cheoah,,,,,,"community in E central Graham County on Sweetwater Creek. Alt. 2,300. Name derives from Cherokee town of same name, which see.",nct:Community,Graham County,,William Powell,,
NCG02957,Cherokee,,https://www.wikidata.org/wiki/Q104372201,,,,"town in E Swain County on Oconaluftee River that is the governmental and spiritual center of the Eastern Band of Cherokee Indians. Alt. 1,955. The name probably is from the Muskogee Indian word tciloki, meaning ""people of a different speech."" The outdoor drama Unto These Hills, written by Kermit Hunter, has been produced there each summer since 1950; the Museum of the Cherokee Indian and the Oconaluftee Indian Village Living History Museum are also there.",nct:Community,Swain County|Jackson County,,William Powell,Griffin Powell,
,Cherokee,Wakulla,,,,,See Wakulla.,nct:Reference,Robeson County,,Kaylin Blount,,"Lowery, Malinda Maynor. The Lumbee Indians : An American Struggle, University of North Carolina Press, 2018. ProQuest Ebook Central, https://ebookcentral-proquest-com.libproxy.lib.unc.edu/lib/unc/detail.action?docID=5484318.|https://dlib.uncp.edu/digital/collection/lumbee/id/56/rec/1"
,Cherokee Chapel Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
NCG02958,Cherokee County,,https://www.wikidata.org/wiki/Q484664,http://id.loc.gov/authorities/names/n81007342,http://id.worldcat.org/fast/1211520,http://viaf.org/viaf/sourceID/LC%7Cn++81007342#skos:Concept,"was formed in 1839 from Macon County. Located in the W section of the state, it is bounded by the states of Georgia and Tennessee and by Graham, Swain, Macon, and Clay Counties. It was named for the Cherokee Indians, some of whom still live in the region. Native American peoples are believed to have lived in the area as early as 11,000 years ago, and then at a later time by the Cherokee people.  Area: 467 sq. mi. County seat: Murphy, with an elevation of 1,535 ft. Townships are Beaverdam, Hot House, Murphy, Notla, Shoal Creek, and Valley Town. Produces corn, poultry, dairy products, livestock, hogs, hay, textiles, apparel, tools, lumber, marble, talc, and crushed stone.",nct:County,Cherokee County,,William Powell,Griffin Powell,http://www.rockbarn.org/cherokee-county-history/
,Cherokee Indian Normal School of Robeson County,Croatan Normal School (formerly)|Indian Normal School of Robeson County (formerly)|Pemboke State College for Indians (later)|Pembroke State College (later)|Pembroke State University (later)|The University of North Carolina at Pembroke (later),,,,,See The University of North Carolina at Pembroke.,nct:Reference,Robeson County,,Kaylin Blount,,https://www.uncp.edu/about/history
NCG03049,Chicora,,,,,,"a name applied to the Carolina coastal area, probably from the Cape Fear River to the Savannah River, explored by the Spaniard Louis Vázques de Ayllón in 1526. Close to terrirory of Coree Indians a little to the north. ""Chicora"" is believed to mean ""Yuchi are there"" or ""Yuchi over there."" The Yuchi, or Tsoyoha lived in the coastal are of the Savannah River in Georgia and South Carolina and later in Tennessee. ",nct:Area,,,William Powell,Madeline Miller,"Reynolds, K. (2010). Native North Carolina: The what, why and where of Native American place names. Boone, N.C.: Parkway Publishers."
NCG03069,Chinquapin,,http://www.wikidata.org/entity/Q3473641,http://id.loc.gov/authorities/names/n00063350,http://id.worldcat.org/fast/1289686,http://viaf.org/viaf/sourceID/LC%7Cn++00063350#skos:Concept,"community in SE Duplin County, 1 mi. E of Northeast Cape Fear River. Name is an Algonquian Indian word for a kind of small chestnut. Produces tobacco, corn, and poultry. Birthplace of Caleb Bradham, inventor of Pepsi-Cola.",nct:Community,Duplin County,,William Powell,,https://www.ncpedia.org/sites/default/files/documents/intrigue_place-names2.pdf
NCG03085,Chocowinity,,https://www.wikidata.org/wiki/Q1990446,,,,"town in W Beaufort County. Known as Godleys Crossroads until renamed for nearby creek. Inc. 1917; charter repealed 1947; reincorporated 1959. Railroad station name was Marsden, adopted in 1917 for Marsden J. Perry, a railroad official. Alt. 35. Is said to be named after a local Native American word meaning ""fish from many waters.""",nct:Town,Beaufort County,,William Powell,Griffin Powell,https://www.ncpedia.org/sites/default/files/documents/intrigue_place-names2.pdf
,Chowan Beach,,,,,,an abandoned fishing beach that was converted in 1926 as a family oriented resort for African Americans,nct:Beach,Hertford County,,Jonah Lewis,Griffin Powell,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=5481&context=etd
NCG03098,Chowan County,Chowanacke,https://www.wikidata.org/wiki/Q943772,http://id.loc.gov/authorities/names/n82020166,http://id.worldcat.org/fast/1218237,http://viaf.org/viaf/sourceID/LC%7Cn++82020166#skos:Concept,"was formed by 1668 as Shaftesbury Precinct of Albemarle County. Renamed Chowan Precinct about 1681 for the Chowan River, itself named for the Chowanoac Indians who inhabited the region. Located in the NE section of the state, it is bounded by Albemarle Sound, Chowan River, and Bertie, Hertford, Gates, and Perquimans Counties. It was named for the Chowan River. Area: 234 sq. mi. County seat: Edenton, with an elevation of 16 ft. Townships are nos. 1-4, formerly Edenton, Middle, Upper, and Yeopim. Produces corn, soybeans, peanuts, cotton, hogs, textiles, tires, boats, sweet potatoes, sorghum, cantaloupes, lumber, and processed seafood.",nct:County,Chowan County,,William Powell,Griffin Powell,https://www.ncpedia.org/geography/chowan
NCG03099,Chowan River,,https://www.wikidata.org/wiki/Q841782,,,,"is formed on the Hertford-Gates county line a short distance S of the Virginia state line by the junction of the Nottoway and Blackwater Rivers. It flows SE on the Hertford-Gates and Bertie-Chowan county lines into Albemarle Sound. Named for the Chowanoc tribe of Indians who lived in the area. The word is a variant of the Algonquian sorwán (south). It may have derived from sowánohke (south country). The river was referred to by the Roanoke explorers, 1584-85, but given no specific name except as the location of the tribe. Appears as Choan River on the Comberford map, 1657.",nct:River,Gates County|Hertford County,,William Powell,Griffin Powell,https://en.wikipedia.org/wiki/Chowan_River
,Christian Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Clark Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
,Clark Family Cemetery,,,,,,a Native American cemetery in Robeson County.,nct:BurialGround,Robeson County,,Kaylin Blount,,http://sites.rootsweb.com/~ncrobcem/
