id,label,description,type,counties,geonameid,latitude,longitude
NCG19501,Asbury,"community in NW Stokes County between Dan River and Big Creek. Alt. 1,279.",community,Stokes,4452982,36.52958,-80.42117
NCG19502,Ashland,"community in W Ashe County. Est. 1886 and known as Solitude until 1914, when the name was changed to Ashland for the county. Alt. approx. 3,000.",community,Ashe,4453070,36.44096,-81.65956
NCG19503,Ashwood,community in S Pamlico County. Named for the wood burned by a railroad that formerly ran through the community.,community,Pamlico,4453104,35.07405,-76.71604
NCG19504,Ashworth Creek,rises in SW Cleveland County and flows N into Broad River.,creek,Cleveland,4453105,35.21874,-81.72704
NCG19505,Atlantic Township,E Dare County on the Outer Banks.,township,Dare,4453153,36.09738,-75.70971
NCG19506,Austin Creek,"rises in N central Caldwell County and flows S into Warrior Creek. Named for Thomas J. Austin, who settled nearby during the Civil War.",creek,Caldwell,,,
NCG19507,Avery Creek,community in S Buncombe County on the E limit of Pisgah National Forest.,community,Buncombe,4453238,35.46345,-82.58262
NCG19508,Bachelor Creek,"rises in S Randolph County and flows E into Richland Creek. Named for a wild stallion that is reported to have roamed through the section. People called him ""Bachelor.""",creek,Randolph,4453306,35.60986,-79.66975
NCG19509,Back Creek,"rises in W Orange County and flows SW into Alamance County, where it enters Haw River. Appears on the Moseley map, 1733, as Buffalo Creek.",creek,Alamance|Orange,4453312,36.04569,-79.3678
NCG19510,Back Creek,rises in E Beaufort County and flows SW into Bath Creek.,creek,Beaufort,4453313,35.46683,-76.8141
NCG19511,Back Creek,rises in SE Craven County and flows NW on the Craven-Carteret county line into Adams Creek.,creek,Carteret|Craven,4453316,34.91099,-76.6616
NCG19512,Back Creek,"an inlet of North Landing River, NE Currituck County. It forms the N boundary of Mackay Island.",inlet,Currituck,4453317,36.51793,-75.9627
NCG19513,Back Creek,rises in central Iredell County a short distance SW of Statesville and flows SW into Third Creek.,creek,Iredell,4453318,35.75014,-80.91924
NCG19514,Back Creek,"rises in SE Iredell County and flows NE into W Rowan County, where it joins Withrow Creek in forming North Second Creek. Appears as South Fork [Second Creek] on the Collet map, 1770.",creek,Iredell|Rowan,4453318,35.75014,-80.91924
NCG19515,Back Creek,"rises in SE Mecklenburg County and flows E into SW Cabarrus County to join Rocky River. So called because it appears to back into Rocky River rather than flow into it. Shown as Buck Creek on Kerr map, 1882, and as Black Creek on recent state highway maps.",creek,Mecklenburg|Cabarrus,4453315,35.31625,-80.59562
NCG19516,Back Creek,"rises in central Randolph County and flows SW into Caraway Creek. The creek is dammed about 5 mi. W of Asheboro, creating a 250-acre lake that is the chief water supply of Asheboro Township.",creek,Randolph,4453321,35.6868,-79.93893
NCG19517,Back Swamp,"rises in NW Onslow County and flows SW into Duplin County, where it enters Cypress Creek.",swamp,Onslow|Duplin,4453332,34.75239,-77.72053
NCG19518,Back Swamp,rises in W Robeson County and flows SE into Lumber River in central Robeson County.,swamp,Robeson,4453336,34.60961,-79.10115
NCG19519,Bad Creek,rises in N Mitchell County and flows SE into Big Rock Creek.,creek,Mitchell,4453346,36.04373,-82.22541
NCG19520,Bad Fork,rises in NW McDowell County on the N slopes of Woods Mountain and flows NE approx. 2 mi. into Armstrong Creek.,fork,McDowell,4453349,35.79929,-82.10706
NCG19521,Bailey,community in W Mitchell County on Sams Branch.,community,Mitchell,4453370,36.05317,-82.32569
NCG19522,Bailey,"town in SW Nash County. Settled about 1860. Inc. 1908 as Baileys, named for Joe Bailey, an early settler; now known as Bailey. Alt. 233.",town,Nash,4453371,35.78071,-78.11888
NCG19523,Bailey,See Center.,reference,,,,
NCG19524,Bailey Branch,rises in E Madison County and flows S into Middle Fork.,branch,Madison,4453659,35.82761,-82.55763
NCG19525,Bailey Branch,rises in S Madison County and flows N into French Broad River.,branch,Madison,4453659,35.82761,-82.55763
NCG19526,Bailey Branch,"rises in central Yancey County and flows SW into Pine Swamp Branch. Named for M. A. Bailey, who owned a large tract of land through which it flowed.",branch,Yancey,4453379,35.98511,-82.27124
NCG19527,Bailey Branch,"rises in N Yancey County and flows NE into Pigpen Creek. Named for John and Charles Bailey, early settlers.",branch,Yancey,4453379,35.98511,-82.27124
NCG19528,Bailey Branch,rises in N Yancey County and flows SE into Jacks Creek.,branch,Yancey,4453379,35.98511,-82.27124
NCG19529,Bairds Creek,See Beards Creek.,reference,,,,
NCG19530,Bakers,See Ca-Vel.,reference,,,,
NCG19531,Bakers Creek,See Mud Creek.,reference,,,,
NCG19532,Bakers Crossroads,"community in central Rockingham County. Named for Baker family, local farmers. Site of Malloy post office, which see.",community,Rockingham,4453451,36.36708,-79.80976
NCG19533,Bald Branch,rises in N Swain County and flows SE into Noland Creek.,branch,Swain,4453477,35.53464,-83.47704
NCG19534,Bald Branch,rises in S Swain County between Rattlesnake Ridge and De Hart Bald and flows W into Wesser Creek.,branch,Swain,4453477,35.53464,-83.47704
NCG19535,Bald Creek,rises in E Pamlico County and flows NE into Bay River.,creek,Pamlico,,,
NCG19536,Bald Creek,"community in W Yancey County on the stream of the same name. Alt. 2,576.",community,Yancey,4453484,35.91206,-82.42263
NCG19537,Bald Creek,rises in W Yancey County and flows E into Cane River.,creek,Yancey,4453484,35.91206,-82.42263
NCG19538,Bald Knob,"peak at the E end of Peach Bottom Mountain, N Alleghany County. Alt. 3,653.",knob,Alleghany,4453500,36.55068,-81.09647
NCG19539,Bald Knob,peak on Newfound Mountain on Buncombe-Haywood county line near the headwaters of Bald Fork.,knob,Buncombe|Haywood,4453501,35.71484,-82.27651
NCG19540,Bald Knob,"on the Buncombe-Yancey county line between Swannanoa Gap and Pinnacle. Alt. 5,400-5,420.",knob,Buncombe|Yancey,4453501,35.71484,-82.27651
NCG19541,Bald Knob,"E Caldwell County. Alt. 1,727.",knob,Caldwell,,,
NCG19542,Bald Knob,on Haywood-Madison county line.,knob,Haywood|Madison,4453503,35.73705,-82.91486
NCG19543,Bald Knob,W Transylvania County between Johnnies Creek and Bee Tree Fork.,knob,Transylvania,4453505,35.24566,-82.92458
NCG19544,Bald Knob,"on the Jackson-Transylvania county line. Alt. 4,824. Part of Tennessee Ridge, which see.",knob,Transylvania|Jackson,4453505,35.24566,-82.92458
NCG19545,Bald Knob,W Yadkin County between Dobbins Creek and South Deep Creek.,knob,Yadkin,4453506,36.15402,-80.82951
NCG19546,Bald Knob,E Yancey County near the head of Plum Branch.,knob,Yancey,4453507,35.94761,-82.23624
NCG19547,Bald Mountain,on the Alexander-Wilkes county line.,mountain,Alexander|Wilkes,4453520,36.1193,-80.92424
NCG19548,Bald Mountain,central Avery County.,mountain,Avery,4453514,36.12735,-81.9015
NCG19549,Bald Mountain,S Davidson County on Yadkin River.,mountain,Davidson,4453515,35.54625,-80.19616
NCG19550,Bald Mountain,"N Jackson County between Blackrock Ridge and Sheepback Mountain. Alt. 5,400.",mountain,Jackson,4485536,35.43927,-83.20042
NCG19551,Bald Mountain,"SW Jackson County between Flat Creek and Mill Creek. Alt. 4,050.",mountain,Jackson,4485536,35.43927,-83.20042
NCG19552,Bald Mountain,SE Orange County about 4 mi. NW of town of Carrboro. Alt. 762.,mountain,Orange,,,
NCG19553,Bald Mountain,E Watauga County on South Fork New River.,mountain,Watauga,,,
NCG19554,Bald Mountain,community in NW Yancey County on Bald Mountain Creek.,community,Yancey,4453521,35.96455,-82.4718
NCG19555,Bald Mountain,See Rumbling Bald Mountain.,reference,,,,
NCG19556,Bald Mountain Creek,rises in NW Yancey County and flows NE into Cane River.,creek,Yancey,4453526,35.99428,-82.39347
NCG19557,Bald Ridge,N Swain County between Slab Camp Branch and Advalorem Branch.,ridge,Swain,4453532,35.50424,-83.6058
NCG19558,Baldwin Cove,S Buncombe County N of Baldwin Gap.,cove,Buncombe,4453553,35.54681,-82.48231
NCG19559,Baldwin Gap,"on the Ashe County, N.C.-Johnson County, Tenn., line. Alt. 3,762.",gap,Ashe,,,
NCG19560,Baldwin Gap,"S Buncombe County between Busbee and Butler Mountains. Alt. 3,076.",gap,Buncombe,4453577,35.52317,-82.63235
NCG19561,Baldwin Gap,S Buncombe County between Stradley and Scott Mountains.,gap,Buncombe,4453577,35.52317,-82.63235
NCG19562,Ballard Cove,the valley through which Ballard Creek flows in SW Buncombe County.,cove,Buncombe,4453594,35.69017,-82.47449
NCG19563,Ballard Creek,rises in SW Buncombe County near Fork Mountain and flows N into Glady Fork.,creek,Buncombe,4453596,35.53956,-82.40873
NCG19564,Ballard Gap,E Transylvania County between Fodderstack Mountain and Pine Mountain.,gap,Transylvania,4453599,35.28817,-82.64762
NCG19565,Balsam Cone,See Mount Craig.,reference,,,,
NCG19566,Balsam Gap,"at the head of Richland Creek in W Haywood County. It is the lowest gap in the Balsam Mountain. Through it passed a prominent aboriginal Indian trail; a highway and railroad also pass through it now. Alt. 3,347.",gap,Haywood,,,
NCG19567,Balsam Ridge,extends E from Huckleberry Knob to Winding Knob in W Haywood County.,ridge,Haywood,4453631,35.47594,-83.06903
NCG19568,Baltimore,community in E Yadkin County between Forbush and Logan Creeks. Named for a local church. A former post office there was named Tracadia.,community,Yadkin,4453636,36.14792,-80.52978
NCG19569,Banjo Branch,rises in SE Mitchell County and flows SW into North Toe River about 1 mi. E of Spruce Pine. Formerly known as Christ Branch; name changed after 1939.,branch,Mitchell,4453660,35.90818,-82.049
NCG19570,Banks Channel,"in Topsail Sound, S Pender County near New Topsail Inlet.",channel,Pender,4453672,34.35684,-77.64525
NCG19571,Barbecue Swamp,"rises in W Harnett County and flows NE into Upper Little River. Named by Red Neill McNeill about 1750. Mists rising from the stream early in the morning reminded him of smoke rising from barbecue pits he had seen in the West Indies. In a fit of culinary nostalgia, he named the stream Barbecue. Appears as Barbacue Creek on the Collet map, 1770.",swamp,Harnett,4453708,35.35516,-78.97002
NCG19572,Barkers Creek,"community in NW Jackson County. Alt. 1,901.",community,Jackson,4453768,35.38538,-83.29237
NCG19573,Barkers Creek,"rises in S Macon County and flows S into Rabun County, Ga., where it enters Betty Creek.",creek,Macon,,,
NCG19574,Barnes Branch,rises in N Madison County and flows W into Big Laurel Creek.,branch,Madison,4453795,35.91983,-82.70458
NCG19575,Barnes Creek,rises in SW Gates County and flows SE into Chowan River.,creek,Gates,4453804,36.36515,-76.81023
NCG19576,Barnes Creek,"rises in S Randolph County and flows SW into Montgomery County, where it enters Uwharrie River.",creek,Randolph|Montgomery,4453806,35.43403,-80.0031
NCG19577,Barnett Branch,rises in N Mitchell County and flows W into Big Rock Creek.,branch,Mitchell,4453818,36.07873,-82.20846
NCG19578,Barnett Branch,rises in N Transylvania County and flows SE into South Fork Mills River.,branch,Transylvania,4453819,35.36178,-82.75985
NCG19579,Barnett Branch,"rises in N Yancey County and flows SW into Unicoi County, Tenn., where it enters Spivey Creek.",branch,Yancey,,,
NCG19580,Barnett Creek,rises in SW Currituck County and flows W into North River.,creek,Currituck,4453821,36.23627,-75.91631
NCG19581,Barnwell Mountain,"NE Henderson County 1½ mi. SW of community of Bat Cave. Alt. approx. 2,700.",mountain,Henderson,4453832,35.44262,-82.31484
NCG19582,Bart Branch,rises in N Jackson County and flows SW into Scott Creek.,branch,Jackson,,,
NCG19583,Bateman Branch,NW Macon County between Batey Branch and Bateman Branch.,branch,Macon,4453909,35.22565,-83.61489
NCG19584,Bates Mountain,at the head of Bates Branch in S Macon County.,mountain,Macon,4453920,35.08954,-83.42071
NCG19585,Battle Branch,rises in E Macon County and flows S into Ellijay Creek.,branch,Macon,4453941,35.11343,-83.40849
NCG19586,Battle Branch,rises in S Macon County and flows SE into North Fork [Skeenah Creek].,branch,Macon,4453941,35.11343,-83.40849
NCG19587,Battle Creek,rises in S Swain County and flows NE into Yalaka Creek.,creek,Swain,4453946,35.36148,-83.4596
NCG19588,Baxter Creek,"rises in N Haywood County near lat. 35°43' N., long. 83°06'40"" W., and flows NW into Big Creek. Named for Steven Baxter, a longtime resident and woodcutter in the area. Now in Great Smoky Mountains National Park.",creek,Haywood,4453989,35.7451,-83.1157
NCG19589,Bayview,"community on Pamlico River, central Beaufort County. Known earlier as Bayside.",community,Beaufort,4454043,35.43683,-76.79188
NCG19590,Bear Branch,"rises in central Columbus County and flows SE into Waccamaw River. Schulkens Pond, which see, is on the branch.",branch,Columbus,4454105,34.16434,-78.5814
NCG19591,Bear Branch,rises in N Craven County and flows SW into Swift Creek.,branch,Craven,4454106,35.25322,-77.29024
NCG19592,Bear Branch,rises in N Haywood County and flows NW into Cold Springs Creek.,branch,Haywood,4455416,35.73871,-83.12681
NCG19593,Bear Branch,"rises in W Haywood County near lat. 35°36' N., long. 83°10'50"" W., and flows E to join Horse Creek in forming Rough Creek.",branch,Haywood,4455416,35.73871,-83.12681
NCG19594,Bear Branch,rises in NW Henderson County and flows SW into Wash Creek.,branch,Henderson,4454110,35.42567,-82.65263
NCG19595,Bear Branch,rises in E Madison County and flows N into Callahan Branch.,branch,Madison,4454113,35.90927,-82.55625
NCG19596,Bear Branch,rises in S Madison County and flows NE into Spring Creek.,branch,Madison,4454113,35.90927,-82.55625
NCG19597,Bear Branch,rises in W Madison County and flows E into Spring Creek.,branch,Madison,4454113,35.90927,-82.55625
NCG19598,Bear Branch,rises in W Nash County and flows SE into Sapony Creek.,branch,Nash,4454114,35.93099,-78.06554
NCG19599,Bear Branch,rises in W Watauga County and flows NW into Buckeye Creek.,branch,Watauga,4454117,36.21096,-81.90428
NCG19600,Bear Branch,rises in SE Wilson County and flows SW into Toisnot Swamp. Approx. 3 mi. long.,branch,Wilson,,,
NCG19601,Bear Creek,rises in W Beaufort County and flows N into Tar River.,creek,Beaufort,4454126,35.55127,-77.10107
NCG19602,Bear Creek,community in SW Chatham County. Known as Richmond until 1895. Noted for production of fruitcakes. Alt. 473.,community,Chatham,4454128,35.61681,-79.38474
NCG19603,Bear Creek,rises in S Cleveland County and flows SW into Shoal Creek.,creek,Cleveland,4454129,35.21485,-81.5637
NCG19604,Bear Creek,"rises in W Davie County and flows SE approx. 14 mi. into South Yadkin River. Daniel Boone and his father, Squire Boone, and other members of the family owned land along the stream. Daniel Boone killed many bears along the creek, hence its name. The Bear Creek watershed is about 15,000 acres in area.",creek,Davie,4454130,35.82069,-80.59312
NCG19605,Bear Creek,"rises in E Franklin County and flows SE into Nash County, where it enters Back Swamp.",creek,Franklin|Nash,4454142,36.04765,-78.09693
NCG19606,Bear Creek,community in SE Graham County at the mouth of Bear Creek.,community,Graham,4454134,35.26342,-83.88824
NCG19607,Bear Creek,rises in NW Graham County and flows NE into Cheoah River.,creek,Graham,4454134,35.26342,-83.88824
NCG19608,Bear Creek,rises in SE Graham County and flows SW into Tulula Creek.,creek,Graham,4454134,35.26342,-83.88824
NCG19609,Bear Creek,rises in central Jackson County and flows NE into Bear Creek Lake on Tuckasegee River. See also Bear Creek Lake.,creek,Jackson,4454135,35.23927,-83.06486
NCG19610,Bear Creek,rises in S Madison County and flows NW into French Broad River.,creek,Madison,4454138,36.03233,-82.66014
NCG19611,Bear Creek,rises in central Mitchell County and flows S into North Toe River.,creek,Mitchell,4454140,35.93095,-82.10901
NCG19612,Bear Creek,rises in W Orange County and flows SW into Cane Creek.,creek,Orange,,,
NCG19613,Bear Creek,rises in NE Pamlico County and flows SE into Bay River. See also Mesic.,creek,Pamlico,4479016,35.20045,-76.64382
NCG19614,Bear Creek,"rises in E Pitt County and flows E into Tar River. Appears on the Collet map, 1770.",creek,Pitt,,,
NCG19615,Bear Creek,"rises in S Randolph County and flows SE into Moore County, where it flows SE then NE into Deep River.",creek,Randolph|Moore,4454141,35.47959,-79.55447
NCG19616,Bear Creek,"rises in NE Cabarrus County and flows SE into Stanly County, where it enters Big Bear Creek.",creek,Stanly|Cabarrus,4476120,35.26042,-80.26701
NCG19617,Bear Creek,rises in S Surry County and flows SE into Fisher River.,creek,Surry,4454148,36.30736,-80.69701
NCG19618,Bear Creek,rises in central Swain County in Great Smoky Mountains National Park and flows SE into Forney Creek.,creek,Swain,4491928,35.5037,-83.56267
NCG19619,Bear Creek,rises in E Wayne County and flows SE on the Wayne-Greene county line into NW Lenoir County and SE into Neuse River. The name appears in local records as early as 1742.,creek,Wayne|Greene|Lenoir,4454136,35.23183,-77.77887
NCG19620,Bear Gap,S Yancey County between Blue Sea Creek and Beech Nursery Creek.,gap,Yancey,4454182,36.029,-82.38847
NCG19621,Bear Island,"a sand island in the W section of Angola Bay, N Pender County.",island,Pender,,,
NCG19622,Bear Pen Branch,rises in N Transylvania County and flows NE into South Fork Mills River.,branch,Transylvania,,,
NCG19623,Bear Ridge,mountain in W Avery County.,mountain,Avery,4454221,36.10318,-82.06984
NCG19624,Bear Ridge,S Yancey County between Blue Sea Creek and Beech Nursery Creek.,ridge,Yancey,4454217,35.7515,-82.30846
NCG19625,Bear Swamp,rises in NW Duplin County and flows NE into Goshen Swamp.,swamp,Duplin,4454220,35.09989,-78.05221
NCG19626,Bear Swamp,is formed in S Hertford County by the junction of Horse Swamp and Flat Swamp and flows E into Ahoskie Creek.,swamp,Hertford,4472029,36.31266,-76.93496
NCG19627,Bear Swamp,rises in central Northampton County and flows SE into Urahaw Swamp.,swamp,Northampton,4454224,36.3196,-77.27608
NCG19628,Bear Swamp,rises in W Robeson County and flows SE into Lumber River.,swamp,Robeson,4454226,34.61655,-79.0842
NCG19629,Bear Wallow Knob,S Yancey County at the E end of Bear Wallow Ridge.,knob,Yancey,4454235,35.73512,-82.25901
NCG19630,Bearpen Branch,rises in W Jackson County and flows NE into Dodgen Creek.,branch,Jackson,4454261,35.22677,-83.06986
NCG19631,Bearpen Branch,rises in N Swain County and flows SE into Little Jonas Creek.,branch,Swain,4454266,35.5426,-83.42738
NCG19632,Bearpen Branch,rises in N Swain County on Noland Ridge and flows SE into Left Fork [Deep Creek].,branch,Swain,4454266,35.5426,-83.42738
NCG19633,Bearpen Creek,rises in W Macon County and flows SW into Wine Spring Creek.,creek,Macon,4454272,35.18065,-83.62183
NCG19634,Bearpen Creek,rises in NE Mitchell County and flows SW into Laurel Creek.,creek,Mitchell,4454273,36.08401,-82.12429
NCG19635,Bearpen Creek,rises in N Swain County and flows S into Noland Creek.,creek,Swain,,,
NCG19636,Bearpen Gap,SW Avery County near the Mitchell County line.,gap,Avery,4454304,36.16679,-81.92289
NCG19637,Bearpen Gap,NE Buncombe County W of Bearpen Knob.,gap,Buncombe,4454276,35.69956,-82.39207
NCG19638,Bearpen Gap,N Cherokee County in the Unicoi Mountains between Chestnut Mountain and Hangover Top.,gap,Cherokee,4454278,35.24536,-84.04241
NCG19639,Bearpen Gap,N Cherokee County near the headwaters of Slickrock Branch.,gap,Cherokee,4454278,35.24536,-84.04241
NCG19640,Bearpen Gap,N central Graham County on Cables Cove Creek.,gap,Graham,4454281,35.4412,-83.91824
NCG19641,Bearpen Gap,"on the Jackson-Haywood county line between Spot Knob and Rough Butt. Alt. 2,872.",gap,Jackson|Haywood,4454282,35.32149,-82.96486
NCG19642,Bearpen Gap,S Macon County at the head of Shope Fork.,gap,Macon,4454284,35.19315,-83.53572
NCG19643,Bearpen Gap,W Macon County between Locust Tree Gap and Ray Branch.,gap,Macon,4454284,35.19315,-83.53572
NCG19644,Bearpen Gap,N Swain County between Laurel Branch and Bearpen Creek.,gap,Swain,4454287,35.48065,-83.52711
NCG19645,Bearpen Gap,NW Swain County between Cable Branch and Fontana Lake.,gap,Swain,4454287,35.48065,-83.52711
NCG19646,Bearpen Knob,"peak in S Jackson County bordered on NW by Chattooga River. Southern slope is head for Scotsman Creek. Also called Bearpen Mountain. Alt. 4,300.",knob,Jackson,,,
NCG19647,Bearpen Mountain,S Macon County between Bearpen Creek and Steeltrap Knob.,mountain,Macon,4454292,35.06176,-83.18432
NCG19648,Bearpen Mountain,N Madison County parallel to Former Camp Branch.,mountain,Madison,,,
NCG19649,Bearpen Ridge,W Haywood County between Bearpen Branch and Caldwell Fork.,ridge,Haywood,4477759,35.55201,-83.14189
NCG19650,Bearpen Ridge,N Madison County between Hickeys Fork and Rock Branch.,ridge,Madison,4454296,36.01094,-82.68153
NCG19651,Bearpen Ridge,NE Mitchell County between Laurel Creek and Bearpen Creek.,ridge,Mitchell,4454297,36.09095,-82.13262
