id,preflabel,note,alt_name,gone,county,township,location,budget_year,rosenwald_type,type,latitude,longitude,id_code,id_source,id_url,id_photo,id2_url,id2_source,source,wikidata,needs_review,contributor
NCG16825,Bahama School,"1925-1926 2-room Rosenwald School. Mangum, Durham County. Location is approximate. No longer standing.",,TRUE,NCG04586,Mangum,,1925-1926,Two-teacher,School,36.16,-78.89,,,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjUwMg==&school_county=Durham&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16826,Bailey School,"1925-1926 frame Rosenwald School. 6390 Lee Street, Bailey, Nash County. Location is approximate. No longer standing.",,TRUE,NCG10643,Bailey,6390 Lee Street,1925-1926,Two-teacher,School,35.79,-78.11,NS1110,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjgxMQ==&school_county=Nash&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16827,Banks Chapel School,"1928-1929 frame 3-room Rosenwald school. Falling Creek, Lenoir County. Location is approximate. No longer standing.",,TRUE,NCG08656,Falling Creek,,1928-1929,Three-teacher,School,35.26,-77.7,,,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjczMQ==&school_county=Lenoir&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16828,Beaver Dam School,"1928-1928 frame 2-room Rosenwald School. Gastonia, Gaston County. Burned in 3/2017. No longer standing.",,TRUE,NCG05734,Gastonia,,1928-1928,Two-teacher,School,35.36,-81.3,GS1314,NCHPO Database,https://files.nc.gov/ncdcr/historic-preservation-office/PDFs/ER 17-0547.pdf,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjU2NQ==&school_county=Gaston&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16829,Bellamy School,"1922-1923 3-room Rosenwald School. 3334 Speight's Chapel Road, Leggett vicinity, Upper Fishing Creek, Edgecombe County. Location is approximate. No longer standing.",,TRUE,NCG04760,Upper Fishing Creek,"3334 Speight's Chapel Road, Leggett vicinity",1922-1923,Three-teacher,School,36.03,-77.65,ED1613,NCHPO Database,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjUyMQ==&school_county=Edgecombe&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16830,Bellefonte School,"1924-1925 frame 2-room Rosenwald School. Southwest side SR 1139, 0.7 miles Southeast of junction with SR 1168, Harrisburg, Cabarrus County. Location is approximate. No longer standing.",,TRUE,NCG02312,Harrisburg,"Southwest side SR 1139, 0.7 miles Southeast of junction with SR 1168",1924-1925,Two-teacher,School,35.29,-80.64,CA0300,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjQwNA==&school_county=Cabarrus&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16831,Belmont School Teacherage,"1924-1925 Gaston African-American survey; Rosenwald. 223 Cedar Street, Belmont, South Point, Gaston County. Also known as the Reid Rosenwald Teacherage.",Reid Rosenwald Teacherage,,NCG05734,South Point,"223 Cedar Street, Belmont",1924-1925,Teacherage,Residence,35.25,-81.05,GS1012,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjU2OA==&school_county=Gaston&school_state=NC&button=Search&o=10,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16832,Berry O'Kelly School Agricultural Building,"1927-1928 1-story parapet roof constructed from Rosenwald ""two-room shop"" plans. 514 Method Road, Raleigh, Wake County.",,,NCG15782,Raleigh,514 Method Road,1927-1928,Eleven-teacher,School,35.79,-78.69,WA3481,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MzA0Ng==&school_county=Wake&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16833,Bessemer City School,"1927-1928 brick 8-room Rosenwald School; altered. Now St. James Grand Lodge. 925 Bessemer City-Kings Mountain Hwy, Bessemer City. Gastonia, Gaston County. Also known as Stewart School.",Stewart School,,NCG05734,Gastonia,,1927-1928,Eight-teacher,School,35.28,-81.3,GS1037,NCHPO Database,https://files.nc.gov/ncdcr/historic-preservation-office/survey-and-national-register/surveyreports/GastonCountyAfricanAmericanResourcesSurvey-2000.pdf,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjU2OQ==&school_county=Gaston&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16834,Bethel Hill School,1923-1924 3-room Rosenwald School. Person County. Location is approximate. No longer standing.,,TRUE,NCG11679,,,1923-1924,Three-teacher,School,36.5,-78.92,,,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9Mjg5OQ==&school_county=Person&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16835,Bethpage School,"1929-1930 frame 2-room Rosenwald School. North side SR 1609, 0.3 miles West of junction with SR 1616, Bethpage vicinity, Kannapolis, Cabarrus County. Location is approximate. No longer standing.",,TRUE,NCG02312,Kannapolis,"North side SR 1609, 0.3 miles West of junction with SR 1616, Bethpage vicinity",1929-1930,Two-teacher,School,35.49,-80.68,CA0304,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjQwNg==&school_county=Cabarrus&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16836,Beulah School,"1924-1925 frame 2-room Rosenwald School. 1787 Stephentown Road, Yanceyville, Caswell County. Demolished 1954; house built on site using materials salvaged from the school.",,TRUE,NCG02714,Yanceyville,1787 Stephentown Road,1924-1925,Two-teacher,School,36.42,-79.24,CS0102,NCHPO Database,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjQxOQ==&school_county=Caswell&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16837,Billingsville School,"1927-1928 1-story brick 4-room Rosenwald school. 3100 Leroy Street, Charlotte, Mecklenburg County.",,,NCG09919,Charlotte,3100 Leroy Street,1927-1928,Four-teacher,School,35.2,-80.81,MK1862,NCHPO Database,https://files.nc.gov/ncdcr/nr/MK1862.pdf,https://images.archives.ncdcr.gov/MK1862.jpg,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9Mjc1OA==&school_county=Mecklenburg&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,Q19460533,,
NCG16838,Blackwell School,"1923-1924 frame 2-room Rosenwald School. South side US 158, 0.1 miles East of SR 1317, Yanceyville, Caswell County.  No longer standing.",,TRUE,NCG02714,Yanceyville,"South side US 158, 0.1 miles East of SR 1317",1923-1924,Two-teacher,School,36.39,-79.4,CS0103,NCHPO Database,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjQyMA==&school_county=Caswell&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16839,Bladen County Training School,"1927-1928 brick-veneered 10-room Rosenwald School. 1360 Martin Luther King Drive, Elizabethtown, Bladen County. Also known as Elizabethtown School.",Elizabethtown School,,NCG01466,Elizabethtown,1360 Martin Luther King Drive,1927-1928,Ten-teacher,School,34.62,-78.62,BL0263,NCHPO Database,https://files.nc.gov/ncdcr/nr/BL0263.pdf,https://images.archives.ncdcr.gov/BL0263.jpg,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjM4NQ==&school_county=Bladen&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16840,Bowden School,"1921-1922 frame 1-room Rosenwald School. 7178 Stag Park Road, Saint Helena, Burgaw, Pender County. Demolished by church c. 1985.",,TRUE,NCG11625,Burgaw,"7178 Stag Park Road, Saint Helena",1921-1922,One-teacher,School,34.51,-77.85,PD0671,NCHPO Database,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9Mjg4MA==&school_county=pender&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16841,Bragtown (Hebron) School,"1926-1927 frame 1-story two-teacher type Rosenwald school. North side SR 1634 (Hamlin Road), 0.5 miles East of junction with SR 1004 (Old Oxford Road), Durham vicinity, Oak Grove, Durham County.  No longer standing.",,TRUE,NCG04586,Oak Grove,"North side SR 1634 (Hamlin Road), 0.5 miles East of junction with SR 1004 (Old Oxford Road), Durham vicinity",1926-1927,Two-teacher,School,36.05,-78.86,DH2346,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjUwMw==&school_county=Durham&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16842,Brevard School,"1920-1921 3-room Rosenwald school, by expansion of an earlier structure. Burned March 12, 1941. Replaced by 6-room stone school in 1948, named Rosenwald School but post-dates end of funding scheme, still extant. 400 Rosenwald Lane, Brevard, Transylvania County.",,,NCG15342,Brevard,400 Rosenwald Lane,1920-1921,Three-teacher,School,35.24,-82.74,TV0275,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MzAxOQ==&school_county=Transylvania&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,0000-0001-8856-1694
NCG16843,Bryan School,"1923-1924 2-room Rosenwald School. Bethlehem Church Road, Leggett vicinity, Lower Fishing Creek, Edgecombe County.",,,NCG04760,Lower Fishing Creek,"Bethlehem Church Road, Leggett vicinity",1923-1924,Two-teacher,School,36.03,-77.54,ED1614,NCHPO Database,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjUyMg==&school_county=Edgecombe&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16844,Buckland School,2-room Rosenwald School. Gates County. Location is approximate.,,,NCG05739,,,1919-1920,Two-teacher,School,36.47,-76.76,,,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjU4NA==&school_county=Gates&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16845,Bunn School,"1922-1923 frame 2-room Rosenwald School. South side SR 1003, 0.2 miles East of junction with SR 1719, Best vicinity, New Hope, Wayne County. Possibly moved short distance mid-20th c. Also known as Bunn (Best) School.",,,NCG15994,New Hope,"South side SR 1003, 0.2 miles East of junction with SR 1719, Best vicinity",1922-1923,Two-teacher,School,35.34,-77.85,WY0147,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MzEwMw==&school_county=Wayne&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16846,Burrough School,"1929-1930 3-room frame Rosenwald school. West side of SR 1423, 0.4 mile North of its junction with SR 1409, Williamston, Martin County.",,,NCG09647,Williamston,"West side of SR 1423, 0.4 mile North of its junction with SR 1409",1929-1930,Three-teacher,School,35.85,-77.12,MT0620,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9Mjc0NA==&school_county=Martin&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16847,Byrds School,"1923-1924 frame 2-room Rosenwald School. Burned 9/1990. South side SR 1912, 0.25 miles East of junction with NC 119, Pleasant Grove, Alamance County. Also known as Cross Roads Community School. No longer standing.",Cross Roads Community School,TRUE,NCG00099,Pleasant Grove,"South side SR 1912, 0.25 miles East of junction with NC 119",1923-1924,Two-teacher,School,36.17,-79.28,AM0069,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjMyMA==&school_county=Alamance&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16848,C.S. Brown School Auditorium,"1926-1927 brick auditorium for Rosenwald School. Southeast side of NC 45, 0.05 miles Northeast of junction with SR 1457 & 1449, Winton, Hertford County.",,,NCG06906,Winton,"Southeast side of NC 45, 0.05 miles Northeast of junction with SR 1457 & 1449",1926-1927,Eight-teacher,School,36.39,-76.94,HF0386,NCHPO Database,https://files.nc.gov/ncdcr/nr/HF0386.pdf,https://images.archives.ncdcr.gov/HF0386.jpg,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjY5MQ==&school_county=Hertford&school_state=NC&button=Search&o=10,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16849,Caldwell School,"1924-1925 frame 4-room Rosenwald School; part of larger building. Northwest side of Caldwell Station Road (NC 73), 0.2 mile west of junction with SR 1242, Lemley, Mecklenburg County.",,,NCG09919,Lemley,"Northwest side of Caldwell Station Road (NC 73), 0.2 mile west of junction with SR 1242",1924-1925,Four-teacher,School,35.43,-80.91,MK1461,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9Mjc1OQ==&school_county=Mecklenburg&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16850,Canetuck School,"1921-1922 frame 2-room Rosenwald school. East side SR 1104, 2 miles North of junction with SR 1107. 6098 Canetuck Road, Still Bluff vicinity, Canetuck, Pender County.",,,NCG11625,Canetuck,"East side SR 1104, 2 miles North of junction with SR 1107. 6098 Canetuck Road, Still Bluff vicinity",1921-1922,Two-teacher,School,34.41,-78.2,PD0128,NCHPO Database,https://files.nc.gov/ncdcr/nr/PD0128.pdf,https://images.archives.ncdcr.gov/PD0128.jpg,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9Mjg4MQ==&school_county=pender&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16851,Carvers Creek School,"1-story brick school, constructed 1930 most likely on Rosenwald Community School plan No. 60 (Six teacher).  Did not serve the African-American community.  Closed by 1963. 16840 NC HWY 87, Council, Carvers Creek, Bladen County.  Has become ruinous since 2008.",,,NCG01466,Carvers Creek,"16840 NC HWY 87, Council",,,School,34.46,-78.41,BL0337,NCHPO Database,,,https://files.nc.gov/ncdcr/historic-preservation-office/PDFs/ER%2005-2886.pdf,NCDCR-NCHPO,North Carolina State Historic Preservation Office,,,0000-0001-8856-1694
NCG16852,Cashie School,"1923-1924 frame 1-story; 2-teacher Rosenwald School. South side NC 308 (Cooper Hill School Road) 1.7 miles West of junction with SR 1500 (Woodard Road), Windsor vicinity, Merry Hill, Bertie County. Also known as St. Luke's School.",St. Luke's School,,NCG01126,Merry Hill,"South side NC 308 (Cooper Hill School Road) 1.7 miles West of junction with  SR 1500 (Woodard Road), Windsor vicinity",1923-1924,Two-teacher,School,35.95,-76.83,BR0322,NCHPO Database,,https://images.archives.ncdcr.gov/BR0322.jpg,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjM2Nw==&school_county=Bertie&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16853,Castalia School,"1921-1922 frame 3-room Rosenwald school. East side SR 1321, 0.1 mile North of junction with SR 1328. 10404 Lancaster Store Road, Castalia, Nash County.",,,NCG10643,Castalia,"East side SR 1321, 0.1 mile North of junction with SR 1328. 10404 Lancaster Store Road",1921-1922,Three-teacher,School,36.08,-78.07,NS0407,NCHPO Database,https://files.nc.gov/ncdcr/nr/NS0407.pdf,https://images.archives.ncdcr.gov/NS0407.jpg,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjgxMg==&school_county=Nash&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16854,Catawba School,"1927-1928 2-room Rosenwald School. Newton, Catawba County. Location is approximate. No longer standing.",,TRUE,NCG02735,Newton,,1927-1928,Two-teacher,School,35.7,-81.08,,,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjQyNQ==&school_county=Catawba&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16855,Catherine Hayes School,"1923-1924 Rosenwald school. Ahoskie, Hertford County. Location is approximate.  No longer standing.",,TRUE,NCG06906,Ahoskie,,1923-1924,Two-teacher,School,36.3,-76.79,,,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjY4Mw==&school_county=Hertford&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16856,Cedar Grove School,"1930-1931 Rosenwald school. West side SR 1518, 0.33 miles North US 421, Buies Creek, Neills Creek, Harnett County. Location is approximate.",,,NCG06616,Neills Creek,"West side SR 1518, 0.33 miles North US 421, Buies Creek",1930-1931,Four-teacher,School,35.41,-78.77,HT0103,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjY2MA==&school_county=Harnett&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16857,Cedar Hill School,"1925-1926 1-story frame Rosenwald School. West side SR 1628, 0.6 miles North of junction with SR 1627, Ansonville, Anson County. Ruinous.",,,NCG00260,Ansonville,"West side SR 1628, 0.6 miles North of junction with SR 1627",1925-1926,Two-teacher,School,35.14,-80.13,AN0109,NCHPO Database,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjMzMg==&school_county=Anson&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16858,Central School,"1926-1927 1-story 8 teacher brick Rosenwald school. 414 Watkins Street, Asheboro, Randolph County. Also known as Randolph County Training School. Funded as Asheboro School.",Randolph County Training School,,NCG12458,Asheboro,414 Watkins Street,1926-1927,Eight-teacher,School,35.71,-79.8,RD0024,NCHPO Database,https://files.nc.gov/ncdcr/nr/RD0024.pdf,https://images.archives.ncdcr.gov/RD0024.jpg,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjkyNA==&school_county=Randolph&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,Q5061791,,
NCG16859,Charles H. Darden High School,"1927-1928 brick 1- and 2-story Tudor revival Rosenwald School. 504 North Carroll Street, Wilson, Wilson County. Gone before 1993.",Darden-Vick School,TRUE,NCG16461,Wilson,504 North Carroll Street,1927-1928,Sixteen-teacher,School,35.72,-77.9,WL0952,NCHPO Database,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MzEyMQ==&school_budget_year=10&school_county=Wilson&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16860,Chestnut Grove School,"1927-1928 2-room frame Rosenwald School. 233 Chestnut Grove Road, Statesville, Cool Springs, Iredell County. Location is approximate. No longer standing.",,TRUE,NCG07643,Cool Springs,"233 Chestnut Grove Road, Statesville",1927-1928,Two-teacher,School,35.84,-80.81,ID0911,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjY5OQ==&school_county=Iredell&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16861,Chestnut School,"1924-1925 frame 2-room Rosenwald School. North side NC 561, 1.1 miles Northeast of SR 1135, Tillery vicinity, Conoconnara, Halifax County.",,,NCG06455,Conoconnara,"North side NC 561, 1.1 miles Northeast of SR 1135, Tillery vicinity",1924-1925,Two-teacher,School,36.23,-77.45,HX0496,NCHPO Database,,,http://rosenwald.fisk.edu/index.php?module=search.details&set_v=aWQ9MjYxNA==&school_county=Halifax&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
NCG16862,Chinquapin School,"1922-1923 3-room Rosenwald School. West side Chinquapin Road, 0.1 miles North US 64A, Conetoe vicinity, Lower Conetoe, Edgecombe County. Location is approximate. No longer standing.",,TRUE,NCG04760,Lower Conetoe,"West side Chinquapin Road, 0.1 miles North US 64A, Conetoe vicinity",1922-1923,Three-teacher,School,35.83,-77.47,ED1615,NCHPO Database,,,http://rosenwald.fisk.edu/?module=search.details&set_v=aWQ9MjUyMw==&school_county=Edgecombe&school_state=NC&button=Search&o=0,Fisk University Rosenwald Fund Card File Database,North Carolina State Historic Preservation Office,,,
