id,label,feature type,general watertype,description
NCG00068,Adkins Falls,Rapids,Stream,rapids in Cape Fear River in central Harnett County E of the town of Lillington and near the confluence of Buies Creek with the river. Mentioned as early as 1819 in a survey of the rivers of North Carolina.
NCG00072,Advalorem Branch,Branch,Stream,rises in N Swain County between Jumpup Ridge and Bald Ridge and flows SE into Forney Creek.
NCG00076,Afton Run,Run,Stream,"stream, rises in N Cabarrus County and flows S into Coddle Creek. Also appears in early documents as Ashton Run and Astin's Run."
NCG00078,Aggie Run,Run,Stream,is formed in NW Beaufort County by the junction of Old Ford Swamp and Snoad Branch. It flows S into Tranters Creek.
NCG00083,Ahoskie Creek,Creek,Stream,"rises in SE Northampton County and flows NE into Hertford County, where it enters Ahoskie Swamp."
NCG00089,Aiken Branch,Branch,Stream,rises in NW Swain County and flows SE into Lake Cheoah.
NCG00090,Aiken Mill Creek,Creek,Stream,rises in S Transylvania County and flows N into French Broad River.
NCG00122,Aldridge Creek,Creek,Stream,rises in SW Person County and flows SE into South Flat River.
NCG00128,Alexander Branch,Branch,Stream,rises in N Buncombe County near Lovelace Gap and flows NW into Paint Fork.
NCG00139,Alfred Creek,Creek,Stream,rises in NE Cherokee County and flows NW into Taylor Creek.
NCG00143,Allan Branch,Branch,Stream,rises in N Yancey County and flows E into Nolichucky River.
NCG00144,Allan Creek,Creek,Stream,rises in N Madison County and flows SE into Little Laurel Creek.
NCG00146,Allbone Branch,Branch,Stream,rises in W Clay County and flows SW into Hiwassee River.
NCG00153,Allen Branch,Branch,Stream,rises in N Macon County and flows W into Burningtown Creek.
NCG00154,Allen Creek,Creek,Stream,"rises in S Haywood County and flows NE into Richland Creek. Named for Allen family, pioneer settlers in Haywood County, approx. 1812."
NCG00155,Allen Creek,Creek,Stream,rises in S Catawba County and flows NW into Maiden Creek.
NCG00162,Allens Branch,Branch,Stream,rises in N Jackson County and flows SE into Scott Creek.
NCG00163,Allens Creek,Creek,Stream,"rises in E Haywood County and flows NW into Pigeon River. Named for Allen family, pioneer settlers in Haywood County, approx. 1812."
NCG00168,Allents Cove Branch,Branch,Stream,rises in E Transylvania County and flows N into Crab Creek.
NCG00173,Alligator Creek,Stream,Stream,a tidal stream on Eagles Island in E Brunswick County. It flows S into the Cape Fear River.
NCG00177,Alligator River,River,Stream,"rises in central Hyde County and flows E and N to the Hyde-Tyrrell county line, SE to the Dare-Tyrrell county line, and N into Albemarle Sound. In part, the Intracoastal Waterway follows the Alligator River. Appears as Layn Flu[ve] on the Smith map, 1624, undoubtedly named for Ralph Lane, governor of the first Roanoke colony. Appears as Alligator River on the Ogilby map, 1671."
NCG00183,Allison Creek,Creek,Stream,rises in S Macon County and flows NE into Cartoogechaye Creek.
NCG00184,Allman Branch,Branch,Stream,rises in S Madison County and flows NW into French Broad River.
NCG00185,Allman Branch,Branch,Stream,"rises in N Buncombe County and flows NW into Madison County, where it enters French Broad River."
NCG00186,Allmon Branch,Branch,Stream,rises in NE Cherokee County and flows SE into Morris Creek.
NCG00187,Allmon Creek,Creek,Stream,rises in N Cherokee County in the Snowbird Mountains and flows S into Hyatt Creek.
NCG00205,Alum Spring,Spring,Stream,mineral waters in W Onslow County near Southwest Creek.
NCG00216,Ammons Branch,Branch,Stream,rises in SE Macon County and flows SE into Chattooga River.
NCG00219,Amos Creek,Creek,Stream,rises in NE Madison County and flows SW into Spillcorn Creek.
NCG00225,Anderson Branch,Branch,Stream,rises in S Graham County and flows NE into Tulula Creek.
NCG00226,Anderson Branch,Branch,Stream,rises in W Clay County and flows NW into Hiwassee River.
NCG00228,Anderson Cove Branch,Branch,Stream,rises in W Madison County and flows NW into Puncheon Camp Branch.
NCG00229,Anderson Creek,Creek,Stream,rises in E Haywood County and flows NE into Burnett Creek.
NCG00232,Anderson Swamp Creek,Creek,Stream,rises in central Vance County and flows N into Kerr Lake.
NCG00237,Andreas Branch,Branch,Stream,rises in N central Swain County and flows W into Noland Creek.
NCG00242,Andy Branch,Branch,Stream,"rises in NW Haywood County in Great Smoky Mountains and flows about 2 mi. SE to join Woody Branch, which then joins Conrad Creek in forming Little Cataloochee Creek. Named for Andy Bennett, a former homeowner in the area."
NCG00250,Anglin Branch,Branch,Stream,"rises in W Yancey County and flows SE into Jacks Creek. Named for Manon Anglin, an early settler."
NCG00255,Angola Creek,Creek,Stream,rises in Angola Bay in NE Pender County and flows S into Holly Shelter Creek.
NCG00263,Anthony Bolick Branch,Branch,Stream,rises in NW Caldwell County on NW slopes of Rocky Knob and flows W into Johns River.
NCG00265,Anthony Creek,Creek,Stream,rises in central Catawba County and flows SW into Clark Creek.
NCG00267,Anthony's Creek,Creek,Stream,rises in NW Caldwell County and SE Avery County and flows SE into Johns River.
NCG00274,Appalachian Creek,Creek,Stream,rises in NW Rutherford County and flows NE into Broad River.
NCG00280,Appletree Branch,Branch,Stream,rises in NW Macon County and flows SW into Queens Creek.
NCG00293,Ararat River,River,Stream,"rises in Virginia and flows S across Surry County into Yadkin River. Appears on the Collet map, 1770. Named for the biblical Mount Ararat."
NCG00305,Archies Creek,Creek,Stream,"rises in NE Surry County and flows E into Stokes County, where it enters Dan River."
NCG00312,Arenuse Creek,Creek,Stream,"consists of two branches, both rising in central Camden County and flowing generally SW into Pasquotank River. The branches come together in such a fashion that they seem to form an arrow nose. The fact was noted by the Indians, and the white settlers merely translated their word for ""arrow nose"" when they gave the creek its present name. The present name appears in records as early as 1694. To distinguish between the two branches, local inhabitants sometimes refer to First Milldam (nearest the county seat) and Second Milldam since water mills existed on each."
NCG00316,Arington Branch,Branch,Stream,rises in N Madison County and flows SW into West Fork [Bull Creek].
NCG00318,Arlington Branch,Branch,Stream,rises in S Swain County and flows NW into Tuckasegee River.
NCG00322,Armstrong Branch,Branch,Stream,rises in S Lincoln County and flows NE into Dellinger Branch.
NCG00323,Armstrong Creek,Creek,Stream,rises in NW McDowell County and flows E into North Fork [Catawba River].
NCG00325,Arnold Branch,Branch,Stream,rises in E Macon County and flows SW into Cullasaja River.
NCG00330,Arrowhead Branch,Branch,Stream,rises in W Macon County and flows SW into Nantahala Lake.
NCG00331,Arrowwood Creek,Creek,Stream,rises in W Macon County and flows SE into Wayah Creek.
NCG00337,Arthurs Creek,Creek,Stream,rises in NW Northampton County and flows S into Roanoke River.
NCG00342,Asahel Creek,Creek,Stream,rises in NE Davidson County and flows SE into Abbotts Creek.
NCG00349,Ash Branch,Branch,Stream,rises in W Jackson County and flows NE into Tuckasegee River.
NCG00351,Ash Cove Creek,Creek,Stream,rises in NE Cherokee County and flows SW into Gipp Creek.
NCG00352,Ash Flat Branch,Branch,Stream,rises in S Macon County and flows N into Allison Creek.
NCG00357,Ashe Creek,Creek,Stream,"rises in E Pender County in Holly Shelter Bay and flows W into Northeast Cape Fear River. Appears as Ashes Mill on the Price map, 1808, and as Ashe's Mill Creek on the MacRae map, 1833. Exeter, which see, was nearby."
NCG00371,Ashley Branch,Branch,Stream,rises in S Buncombe County and flows NE into French Broad River.
NCG00379,Ashturn Branch,Branch,Stream,rises in NE Cherokee County and flows N into Junaluska Creek.
NCG00382,Ashworth Creek,Creek,Stream,rises in SE Buncombe County near Henderson County line and flows NW into Cane Creek.
NCG00387,Askins Creek,Creek,Stream,"a cove on the Pamlico County side of S Hatteras Island, S Dare County, below the community of Avon."
NCG00406,Atoah Creek,Creek,Stream,rises in S Graham County and flows NE into Long Creek.
NCG00413,Augerhole Branch,Branch,Stream,rises in W Swain County and flows SW into Fontana Lake.
NCG00419,Auntery Branch,Branch,Stream,"also known as Anthony Branch, rises in SE Graham County and flows SW into Tulula Creek. Named for Jack Anthony."
NCG00424,Austin Creek,Creek,Stream,rises in E Wake County and flows SW into Smiths Creek. Shown on 1870 map as Millstone Creek.
NCG00427,Auston Branch,Branch,Stream,rises in S Madison County and flows S into Morrow Branch.
NCG00435,Avents Creek,Creek,Stream,rises in N Harnett County and flows SW into Cape Fear River.
NCG00440,Avery Creek,Creek,Stream,rises in S Buncombe County and flows E into French Broad River.
NCG00441,Avery Creek,Creek,Stream,rises in N Transylvania County and flows SE into Davidson River.
NCG00451,Aycock Creek,Creek,Stream,rises in S Granville County and flows NE into Tar River.
NCG00457,Ayden Branch,Branch,Stream,rises in N Swain County and flows S into Beech Flats Prong.
NCG00461,Ayles Creek,Creek,Stream,rises in E Yancey County and flows NE into Little Crabtree Creek.
NCG00467,Bachelor Creek,Creek,Stream,"rises in Great Dover Swamp in NE Jones County, flows NE into central Craven County, and then turns to flow SE for approx. 3 mi. along the W border of Hog Island before entering Neuse River approx. 3½ mi. NW of town of New Bern. Approx. 14 mi. long. Appears as Batchellors Creek on the Moseley map, 1733. Formerly called Batchelder Creek. Named for Edward Batchelor."
NCG00470,Back Creek,Creek,Stream,rises in W Alamance County and flows SE into Great Alamance Creek.
NCG00475,Back Landing Creek,Creek,Stream,"rises in the highlands of Indian Island, SE Camden County, and flows SE into North River."
NCG00482,Bad Branch,Branch,Stream,rises in E Macon County and flows SW into Big Creek.
NCG00483,Bad Creek,Creek,Stream,"rises in SW Jackson County and flows SE into South Carolina, where it enters Chattooga River."
NCG00484,Bad Fork,Fork,Stream,rises in NW Henderson County and flows S into Wash Creek.
NCG00490,Bagley Academy Branch,Branch,Stream,rises in NE Warren County and flows N into Little Stonehouse Creek.
NCG00493,Bailey Branch,Branch,Stream,rises in W central Yancey County on SE slopes of Roland Knob and flows S into Cane River.
NCG00494,Bailey Branch,Branch,Stream,rises in E Madison County and flows S into Gabriels Creek.
NCG00496,Bailey Creek,Creek,Stream,rises in SE Beaufort County and flows E into South Creek.
NCG00503,Bailey's Fork,Fork,Stream,rises in S central Burke County and flows N into Silver Creek.
NCG00508,Bairds Creek,Creek,Stream,rises in W central Watauga County and flows SW into Watauga River.
NCG00510,Baker Creek,Creek,Stream,"rises in W central Yancey County and flows N into Cane River. Named for Sidney Baker, an early settler."
NCG00517,Bakers Branch,Branch,Stream,rises in N Madison County and flows NE into Spillcorn Creek.
NCG00518,Bakers Creek,Creek,Stream,rises in N Catawba County and flows S into Lyle Creek.
NCG00526,Balconce Branch,Branch,Stream,rises in W Lee County and flows NW into Little Pocket Creek.
NCG00528,Bald Branch,Branch,Stream,rises in SW Madison County and flows N into Spring Creek.
NCG00530,Bald Creek,Creek,Stream,rises in E Haywood County and flows SW into Crabtree Creek.
NCG00531,Bald Creek,Creek,Stream,rises in N Cherokee County and flows SW into Davis Creek.
NCG00532,Bald Fork,Fork,Stream,rises near Bald Knob in NW Buncombe County and flows SW into Sandymush Creek.
NCG00539,Bald Knob Creek,Creek,Stream,rises in N Cleveland County and flows SE into Little Knob Creek.
NCG00543,Bald Mountain Creek,Creek,Stream,rises in central Avery County and flows NE into Banner Elk Creek.
NCG00544,Bald Mountain Falls,Falls,Stream,in Yadkin River opposite Bald Mountain in S Davidson County. Mentioned as early as 1819 in a survey of the rivers of North Carolina.
NCG00553,Bald Spring Branch,Branch,Stream,rises in N Clay County and flows SW into Fires Creek.
NCG00557,Baldhead Creek,Creek,Stream,a tidal waterway extending from just inside the outer coast of Smith Island in Brunswick County in a NW direction into the Cape Fear River. Also known as Lighthouse Creek.
NCG00563,Bales Creek,Creek,Stream,rises in SW Anson County and flows E into Deadfall Creek.
NCG00567,Ball Creek,Creek,Stream,rises in S Macon County and flows NE into Coweeta Creek.
NCG00575,Ballard Creek,Creek,Stream,rises in N Lincoln County and flows SE into Anderson Creek.
NCG00576,Ballard Creek,Creek,Stream,rises in E Buncombe County and flows SE into Cane Creek.
NCG00585,Balls Creek,Creek,Stream,rises in E Catawba County and flows E into Catawba River.
NCG00591,Balsam Branch,Branch,Stream,rises in NE Swain County and flows SE into Raven Fork.
NCG00594,Balsam Corner Creek,Creek,Stream,rises in NE Swain County in Great Smoky Mountains National Park and flows SW into Straight Fork Raven Creek.
NCG00608,Banjo Branch,Branch,Stream,rises in central Avery County and flows S into North Toe River.
NCG00609,Banjo Fork,Fork,Stream,rises in E Beaufort County and flows NW into Pungo Creek.
NCG00613,Banks Branch,Branch,Stream,rises in W Hertford County and flows NE into Meherrin River.
NCG00614,Banks Channel,Channel,Waterway,a channel through a mass of tidal-marsh islands in the extreme W end of Bogue Sound in SW Carteret County.
NCG00615,Banks Creek,Creek,Stream,rises in S Yancey County and flows NW into Price Creek.
NCG00616,Banner Branch,Branch,Stream,rises in N Stokes County and flows SW into Snow Creek.
NCG00618,Banner Elk Creek,Creek,Stream,rises in E Avery County and flows N into Elk River.
NCG00624,Banton Creek,Creek,Stream,rises in NE Washington County and flows NE into Bull Bay; a portion of it forms the boundary with Tyrrell County. Sometimes erroneously called Bunton Creek.
NCG00631,Barber Creek,Creek,Stream,rises in central Pitt County and flows SE into Tar River.
NCG00645,Barker Creek,Creek,Stream,rises in NW Graham County and flows NE into Cheoah River.
NCG00650,Barkers Creek,Creek,Stream,is formed by junction of West Fork and Middle Fork in W Jackson County and flows NE into Tuckasegee River.
NCG00656,Barn Branch,Branch,Stream,rises in S Haywood County and flows N into Jonathans Creek.
NCG00658,Barnards Creek,Creek,Stream,rises in central New Hanover County and flows W into Cape Fear River.
NCG00660,Barnes Branch,Branch,Stream,rises in N Haywood County and flows SE into Big Creek.
NCG00661,Barnes Creek,Creek,Stream,rises in central Cleveland County and flows NW and SW in an arc into First Broad River.
NCG00665,Barnett Branch,Branch,Stream,rises in central Cherokee County and flows SW into Slow Creek.
NCG00666,Barnett Creek,Creek,Stream,rises in E Clay County and flows NE into Buck Creek.
NCG00674,Barr Creek,Creek,Stream,rises in SW Iredell County and flows S into Davidson Creek.
NCG00678,Barrett Branch,Branch,Stream,"rises in SE Clay County and flows NW into Right Fork [Eagle Creek], which is also sometimes known as Dave Barrett Creek."
NCG00683,Barris Creek,Creek,Stream,rises in central Beaufort County and flows E into Pamlico River.
NCG00687,Bart Branch,Branch,Stream,rises in W Transylvania County on Brushy Mountain and flows SW into Shoal Creek.
NCG00689,Bartlett Creek,Creek,Stream,rises in NW McDowell County and flows SE into O'Dear Creek.
NCG00694,Bartrams Creek,Creek,Stream,rises in SW Carteret County and flows S into Bogue Sound. Also known as Barns Creek. Probably named for William Bartram.
NCG00696,Basal Creek,Creek,Stream,"rises in SW Wake County and flows SE and then NE through Mills Pond and into Sunset Lake, where it joins Middle Creek."
NCG00697,Basin Creek,Creek,Stream,rises in S Alleghany County and flows S through Doughton Park in N Wilkes County to join Lovelace Creek in forming Middle Prong Roaring River.
NCG00700,Basnights Ditch,Ditch,Waterway,rises in S Tyrrell County and flows NE into The Frying Pan.
NCG00708,Bat Fork,Fork,Stream,rises in SE Henderson County and flows NW into Mud Creek.
NCG00712,Bateman Branch,Branch,Stream,rises in NW Macon County and flows SW into Whiteoak Creek.
NCG00714,Bates Branch,Branch,Stream,rises in S Macon County and flows SE into Little Tennessee River.
NCG00715,Bates Creek,Creek,Stream,rises in central Cherokee County between Bates and Fain Mountains and flows SW into Hiwassee River.
NCG00719,Batey Branch,Branch,Stream,rises in NW Macon County and flows S into Cold Springs Creek.
NCG00722,Bath Creek,Creek,Stream,rises in central Beaufort County and flows S into Pamlico River.
NCG00727,Batson Creek,Creek,Stream,rises in S Transylvania County and flows N into Carson Creek.
NCG00731,Battle Branch,Branch,Stream,rises in central Davidson County and flows SW into Abbotts Creek.
NCG00736,Battle Run Brook,Brook,Stream,rises in E Catawba County and flows SE into North Fork Mountain Creek.
NCG00738,Battles Falls,Falls,Stream,"in Cape Fear River in N Harnett County along a rock outcrop between the confluence of Camels Creek and Fish Creek with the river. The N end of the rapids, near Camels Creek, is called Battles Upper Falls; the S end, near Fish Creek, is called Battles Lower Falls. Mentioned as early as 1819 in a survey of the major rivers of North Carolina."
NCG00745,Baum Creek,Creek,Stream,"rises in SW Roanoke Island, Dare County, and flows SW into Oyster Creek."
NCG00747,Bawdy Creek,Creek,Stream,rises in E Johnston County and flows SE into Neuse River.
NCG00750,Baxter Branch,Branch,Stream,rises in N Madison County and flows SE into White Rock Branch.
NCG00751,Baxter Creek,Creek,Stream,rises in S Davie County and flows SE approx. 2 mi. into Bear Creek.
NCG00753,Bay Branch,Branch,Stream,rises in SW Beaufort County and flows E into Chocowinity Creek.
NCG00756,Bay Creek,Creek,Stream,a tidal creek on Smith Island in Brunswick County that extends from its junction with Cape Creek first SE and then NE to flow into Buzzard Bay.
NCG00758,Bay River,River,Stream,"rises in N Pamlico County and flows NE for approx. 16 mi. into the Neuse River. Named for the bay tree, which flourishes in the vicinity. Appears on the Moseley map, 1733."
NCG00774,Beach Branch,Branch,Stream,rises in NE Cherokee County and flows SE into Right Fork Webb Creek.
NCG00775,Beach Creek,Creek,Stream,rises in S Clay County and flows SW into Brasstown Creek.
NCG00785,Beaman Run,Run,Stream,"the S part of Howell Swamp, in N Greene County; it flows SW into Contentnea Creek. Named for the Beaman family, which settled in the vicinity about the time of the Revolution."
NCG00787,Bean Creek,Creek,Stream,is formed in N Mitchell County by the junction of Right Fork Bean Creek and Left Fork Bean Creek. It flows SE into Big Rock Creek.
NCG00789,Beantown Creek,Creek,Stream,rises in central Haywood County and flows SE and NE into Jonathans Creek.
NCG00793,Bear Branch,Branch,Stream,rises in S Lee County and flows E into Crane Creek.
NCG00794,Bear Branch,Branch,Stream,rises in NE Cherokee County and flows NW into Junaluska Creek.
NCG00797,Bear Creek,Creek,Stream,"rises in E Onslow County and flows SE into Brown's Sound. Appears on the Moseley map, 1733. Known earlier as Deep Creek."
NCG00798,Bear Creek,Creek,Stream,rises in SW Chatham County and flows SE and NE into Rocky River.
NCG00799,Bear Creek,Creek,Stream,rises in E Ashe County and flows NW into South Fork New River.
NCG00803,Bear Grass Creek,Creek,Stream,rises in central Craven County and flows S into Trent River S of New Bern.
NCG00808,Bear Marsh Branch,Branch,Stream,rises in NW Duplin County and flows SW into Merritt Mill Pond and Goshen Swamp.
NCG00810,Bear Pen Branch,Branch,Stream,rises in N Madison County and flows SW into Little Laurel Creek.
NCG00819,Bear Rock Branch,Branch,Stream,rises in S Yancey County and flows SE into South Toe River.
NCG00822,Bear Swamp Creek,Creek,Stream,rises in N Franklin County and flows SW into Tar River.
NCG00823,Bear Wallow Branch,Branch,Stream,rises in NE Madison County and flows SW into Foster Creek.
NCG00828,Bearcamp Creek,Creek,Stream,rises in SW Transylvania County and flows SE into South Carolina and into Toxaway River.
NCG00831,Beard Creek,Creek,Stream,"rises in S Pamlico County and flows S into Neuse River. Appears on the Moseley map, 1733. Local tradition attempts to associate the origin of the name with Blackbeard, the early eighteenth-century pirate."
NCG00839,Bearhead Creek,Creek,Stream,rises in E Onslow County and flows NW into Wallace Creek.
NCG00840,Bearmeat Branch,Branch,Stream,rises in SE Swain County and flows SW into Yalaka Creek.
NCG00842,Bearpaw Creek,Creek,Stream,rises in W Cherokee County and flows SW and SE into Hiwassee River.
NCG00843,Bearpen Branch,Branch,Stream,rises in S Haywood County and flows W into Allen Creek.
NCG00844,Bearpen Creek,Creek,Stream,rises in N Madison County and flows S into Chimney Creek.
NCG00845,Bearpen Creek,Creek,Stream,rises in S Macon County and flows W into Nantahala River.
NCG00855,Bearskin Creek,Creek,Stream,rises in W Union County and flows E through the city of Monroe into Richardson Creek.
NCG00862,Beartree Creek,Creek,Stream,rises in E Chatham County and flows SE into New Hope Creek.
NCG00866,Bearwallow Branch,Branch,Stream,rises in NE Buncombe County and flows NE into Carter Creek.
NCG00867,Bearwallow Brook,Brook,Stream,rises in N Transylvania County and flows SE into South Fork Mills River.
NCG00868,Bearwallow Creek,Creek,Stream,rises in E Jackson County and flows SW into Piney Mountain Creek.
NCG00876,Beasley Branch,Branch,Stream,rises in S Transylvania County and flows SE into Cherryfield Creek.
NCG00877,Beasley Creek,Creek,Stream,rises in W Transylvania County and flows S into West Fork French Broad River.
NCG00878,Beasley Creek,Creek,Stream,rises in NE Macon County and flows SW into Cowee Creek.
NCG00880,Beasleys Creek,Creek,Stream,"rises on the Pender-Onslow county line and flows SE into Stump Sound in S Onslow County. Appears on the Collet map, 1770."
NCG00882,Beason Creek,Creek,Stream,rises in SE Cleveland County and flows SE into Buffalo Creek.
NCG00884,Beaton Branch,Branch,Stream,rises in S Buncombe County and flows N into Bent Creek.
NCG00886,Beatty Branch,Branch,Stream,rises in central McDowell County and flows SE into Paxton Creek.
NCG00899,Beaver Branch,Branch,Stream,rises in NE Wayne County and flows SE into Nahunta Swamp in W Greene County. The name dates from colonial times.
NCG00900,Beaver Creek,Creek,Stream,rises in NW Jones and E Lenoir Counties and flows E into Trent River.
NCG00901,Beaver Creek,Creek,Stream,rises in NE Cabarrus County and flows S into Dutch Buffalo Creek about 2 mi. N of town of Mount Pleasant.
NCG00904,Beaver Dam Branch,Branch,Stream,rises in E Brunswick County and flows E into Cape Fear River.
NCG00905,Beaver Dam Branch of Hunting Creek,Creek,Stream,rises N of Calahaln in W Davie County and flows S into Hunting Creek.
NCG00906,Beaver Dam Brook,Brook,Stream,rises in S Catawba County and flows SW into South Fork Catawba River.
NCG00907,Beaver Dam Creek,Creek,Stream,rises in SE Brunswick County and flows S into Cape Fear River.
NCG00912,Beaver Island Creek,Creek,Stream,"rises in E Stokes County and flows E into Rockingham County, where it turns S to flow into Dan River."
NCG00920,Beaverdam Branch,Branch,Stream,rises in NE Franklin County and flows NE into Sandy Creek.
NCG00921,Beaverdam Brook,Brook,Stream,rises in Magnolia in W Duplin County and flows NE into Maxwell Creek.
NCG00922,Beaverdam Creek,Creek,Stream,rises in W Rowan County and flows NE into Withrow Creek.
NCG00923,Beaverdam Creek,Creek,Stream,rises in NW Gaston County and flows NE into South Fork Catawba River.
NCG00924,Beaverdam Creek,Creek,Stream,rises in SE Bladen County and flows NE into Waymans Creek in Columbus County.
NCG00929,Beaverdam Run,Run,Stream,rises in S Greene County and flows SE in an arc into Contentnea Creek.
NCG00932,Beaverdam Swamp Canal,Canal,Waterway,rises in S Harnett County and flows S into Cape Fear River.
NCG00935,Beaverpond Creek,Creek,Stream,"rises in NW Northampton County and flows NE into Virginia, where it turns SE to flow back into Northampton County. It again turns NE to flow back into Virginia, where it enters Fontaine Creek. It appears on the map of the North Carolina-Virginia line prepared by William Byrd in 1728."
NCG00936,Bechewa Creek,Creek,Stream,"rises in W Forsyth County and flows SW into Yadkin River. Appears as Bathsheba Creek on Collet map, 1770, and as Barshavia Creek on MacRae map, 1833."
NCG00943,Becks Branch,Branch,Stream,rises in NE Swain County in Great Smoky Mountains National Park and flows S into Oconaluftee River.
NCG00945,Beddingfield Creek,Creek,Stream,"rises in E Wake County and flows SE into Johnston County, where it turns N and flows into Neuse River."
NCG00947,Bee Branch,Branch,Stream,rises in central Madison County between Red Hill Knob and Lisenbee Ridge and flows SW into Ammons Branch.
NCG00948,Bee Branch,Branch,Stream,rises in N Buncombe County near Rattlesnake Ridge and flows SW into Reems Creek.
NCG00951,Bee Creek,Creek,Stream,rises in central Graham County and flows NW into Yellow Creek.
NCG00953,Bee Gum Branch,Branch,Stream,rises in N central Swain County in Great Smoky Mountains National Park and flows SW into Forney Creek.
NCG00959,Bee Rock Creek,Creek,Stream,rises in NW McDowell County and flows E into Armstrong Creek.
NCG00960,Bee Stump Branch,Branch,Stream,rises in S Yancey County and flows N into South Toe River.
NCG00961,Bee Tree Branch,Branch,Stream,rises in N Wilkes County and flows S into Mulberry Creek.
NCG00962,Bee Tree Canal,Canal,Waterway,"W Tyrrell County, flows NE from Lake Phelps to a tributary of Scuppernong River. Dug by slave labor to drain swamplands for cultivation."
NCG00963,Bee Tree Creek,Creek,Stream,rises in S Jackson County and flows S into Cedar Creek.
NCG00964,Bee Tree Fork,Fork,Stream,rises in NW Transylvania County and flows SE into North Fork French Broad River.
NCG00970,Beech Branch,Branch,Stream,rises in E Nash County and flows SE into W Edgecombe County and SE into Tar River.
NCG00971,Beech Cove Branch,Branch,Stream,rises in W Macon County and flows W into Nantahala River.
NCG00972,Beech Creek,Creek,Stream,"rises in W Haywood County near lat. 35°39'30"" N., long. 83°11'30"" W., on E slope of Balsam High Top, and flows SE to join Falling Creek in forming Palmer Creek."
NCG00973,Beech Creek,Creek,Stream,"rises in SE Clay County and flows SW into Towns County, Ga., where it enters Tallulah River."
NCG00974,Beech Flats Prong,Prong,Stream,rises in N Swain County in Great Smoky Mountains National Park at Luftee Gap and flows SE to join Kephart Prong in forming Oconaluftee River.
NCG00980,Beech Nursery Creek,Creek,Stream,rises in S Yancey County and flows NW into Cane River.
NCG00986,Beechflat Creek,Creek,Stream,rises in E Jackson County and flows SW into Mull Creek.
NCG00992,Beetree Branch,Branch,Stream,rises in NE Cherokee County and flows NW into Valley River.
NCG00993,Beetree Creek,Creek,Stream,rises in NE Buncombe County and flows SW into Swannanoa River. An early settlement W of the Blue Ridge Mountains was est. there in 1785.
NCG00999,Belews Creek,Creek,Stream,"rises in NE Forsyth, NE Guilford, and SW Rockingham Counties and flows NE across the SE edge of Stokes County and into the Dan River on the Stokes-Rockingham county line. The creek rises independently of East and West Belews Creeks, both of which flow into it. Belews Creek appears on Collet map, 1770."
NCG01009,Bell Branch,Branch,Stream,rises in NE Buncombe County and flows SE into Beetree Creek.
NCG01013,Bell Creek,Creek,Stream,rises in N Cherokee County and flows SE into Garreck Creek.
NCG01014,Bell Creek,Creek,Stream,rises in SW Anson County and flows S into Deadfall Creek.
NCG01019,Bell River,River,Stream,"is formed in S Alexander County where Glade Creek enters Lower Little River. It flows S approx. 1½ mi. into Catawba River. Local usage applies the name to Lower Little River S from a point about midway between the mouths of Muddy Fork and Spring Creeks, where N.C. Highway 90 crosses Lower Little River."
NCG01021,Bell Swamp Creek,Creek,Stream,rises in E central Brunswick County and flows E into Rices Creek.
NCG01035,Bells Branch,Branch,Stream,rises in central Hertford County and flows SE and NE into Potecasi Creek.
