name,wikidata_id,human,discogs_id,type,originate_from,ncg_id,Period (start),Period (end),genre,description
Sullivan,Q2364634,FALSE,423999,band,Greensboro,NCG06266,2001,present,alternative rock,"Sullivan is an American rock band from Greensboro, North Carolina, United States. Sullivan was involved in To Write Love on Her Arms."
Classic Case,Q5128115,FALSE,2630978,band,Chapel Hill,NCG02888,2002,2007,alternative rock,"Classic Case was an American rock band from Chapel Hill, North Carolina formed in 2002."
Codeseven,Q5140171,FALSE,958962,band,Winston-Salem,NCG16525,1995,present,alternative rock|space rock,"Codeseven was formed in 1995 as a melodic hardcore band in Winston-Salem, North Carolina. Their first ""official"" release (their actual first release was called Paper or Plastic [1996], released through a small Winston-Salem-based label called Huel Records), A Sense of Coalition (1998) gained popularity on college radio stations for a cover of Don Henley's ""The Boys of Summer"" (not to be confused with The Ataris' cover of the same song that became a mainstream radio hit years later). With the milestone release, Division of Labor (1999), Codeseven found themselves at the forefront of the hardcore movement. With the departure of singer , they released The Rescue (2002). This album saw the band becoming less aggressive and more melodic, largely abandoning their hardcore roots in favor of progressive, experimental space rock as Cave In had done. Their final album, Dancing Echoes/Dead Sounds, was released in 2004 on Equal Vision Records. The following year the band broke up in order to pursue different opportunities. It was announced on July 1, 2010 that Codeseven would be playing a reunion show on August 20, 2010 at Greene Street Club in Greensboro, NC. Following an overwhelmingly positive response, it was decided that they would continue to tour. On August 2, 2010, it was announced the band would support Circa Survive alongside Dredg and Animals as Leaders on a tour starting October 15, 2010. The set at their reunion show on August 20, 2010 featured songs from all four of their most recent albums including 6 songs with original 2nd vocalist Dave Owen. Many of these songs had not been played in close to 10 years. The set closed with their cover of Don Henley's ""The Boys of Summer."""
The Connells,Q1526312,FALSE,289746,band,Raleigh,NCG12430,1984,present,pop rock|rock music,"The Connells are an American musical group from Raleigh, North Carolina. They play a guitar-oriented, melodic, jangle-pop style of rock music with introspective lyrics that often reflect the history or culture of the American South. Though mostly dormant since about 2001, the band never officially broke up and continues to occasionally perform to the present. In the United States, the Connells had three top 10 hits on the Billboard Alternative Songs chart, but they are best known for their song ""'74â€?75"", which was a number one hit in Norway and Sweden in 1995 while reaching the top 10 in a total of 11 European countries."
Starpoint Electric,Q28407862,FALSE,,band,Chapel Hill,NCG02888,1997,present,,"Starpoint Electric was an American alternative rock band from Chapel Hill, North Carolina. Formed in the fall of 1997, the band consisted of Ted Boyer (guitar/vocals), Clay Boyer (bass/vocals), Steve Galloway (guitar), and Cameron Weeks (drums). Weeks later founded a new band, , with of and of . Their only full-length album, Bad Directions, was released in 1999 by . It was recorded and mixed with , who is known for his work with Cracker and Sparklehorse. Prior to the release of Bad Directions, they had released a 7-inch single and a split EP, and toured with the Archers of Loaf. Kati Schardl described the album as ""replete with dark pop beauty."""
Let's Active,Q6532216,FALSE,256974,band,Winston-Salem,NCG16525,1981,2014,alternative rock,"Let's Active is an American rock group formed in Winston-Salem, North Carolina, in 1981, and often identified with the jangle pop guitar work of the group's frontman and songwriter Mitch Easter. After disbanding in 1990, the group reformed in August 2014 to play a benefit show in North Carolina."
PeroxWhy?Gen,Q16966871,FALSE,8538534,band,Cameron,NCG02409,2003,present,alternative rock,"PeroxWhy?Gen (pronounced peroxygen) is an American rock band from North Carolina started by professional wrestlers Jeff Hardy and Shannon Moore. Then members of the metal band Burnside 6 joined the band, but later left except for Junior Merrill. Shannon Moore left the band to focus on his wrestling career. The band's debut album Plurality of Worlds was released on November 7, 2013. The next album, Within the Cygnus Rift, was released on July 27, 2015. Precession of the Equinoxes, their third album, was released on July 17, 2017."
Jack the Radio,Q24436359,FALSE,,band,Raleigh,NCG12430,2009,present,alternative rock,"Jack the Radio is an indie roots rock band based in Raleigh, North Carolina. In addition to gaining a strong regional following, the band has had success placing its music on TV shows both nationally and internationally. The band's singer, George Hage, has also been drawn into a Marvel Comic. Additionally, the band's most recent album, Badlands, inspired the creation of a craft beer, Badlands Black Rye IPA, released in October 2015 by the North Carolina-based Mystery Brewing Company. Jack the Radio was founded by Hage and A.C. Hill in 2005 when they were roommates at North Carolina State University. They wrote songs together in their dorm rooms and recorded a self-titled EP. The band added new members in 2009 and released their first full-length album, Pretty Money, in 2011. The band's second album, Lowcountry, came out in 2012. In 2014, the band won the regional competition known as Last Band Standing. In 2015, Jack the Radio released its third studio album, Badlands. It features special appearances by Elizabeth Hopkins of Delta Rae and BJ Barham of American Aquarium. The online music site The Vinyl District called Badlands ""a powerful mix of swampy, country rock and soaring, indie sensibilities,"" while the regional publication IndyWeek praised it as ""one of the finest big-time rock records to come from the area in recent years."""
Sugarsmack,Q15044479,FALSE,129230,band,Charlotte,NCG02916,1992,1998,alternative rock,"Sugarsmack were an American alternative rock band based in Charlotte, North Carolina, United States, formed by Hope Nicholls and Aaron Pitkin. The group was put together after Hope had departed from her previous band, Fetchin Bones, and had begun to write new music with Pitkin. They began to collaborate with guitarist Chris Chandek, who was eventually asked to join permanently along with his friend John Adamian and Deanna Gonzalez. They were popular locally, with their eclectic sound earning them comparisons to The Fall. The band debuted with Top Loader in 1993 and released their only major label album in 1998 with Tank Top City."
The White Octave,Q7774538,FALSE,614029,band,Chapel Hill,NCG02888,2000,2014,alternative rock,"The White Octave was a rock band from Chapel Hill, North Carolina. The group was founded shortly after Steve Pederson left Cursive, and was initially a trio with Lincoln Hancock and Robert Biggers before Finn Cohen was added on guitar. They released two full-length albums and appeared on several compilations before finally breaking up. The founding member, Steve Pedersen (formerly of Slowdown Virginia/Cursive) went back to his hometown of Omaha, Nebraska to form the band Criteria. Robert Biggers and Finn Cohen went on to form The Nein. The group reunited to play in North Carolina in 2014."
John Starling,Q30122720,TRUE,561466,musician|physician,Durham,NCG04584,"March 26, 1940","May 2, 2019",bluegrass,"John Lewis Starling  was an American musician. He is an International Bluegrass Music Hall of Fame inductee bluegrass musician and composer, founding member of the bluegrass group The Seldom Scene, an otolaryngological physician for communities in Alabama, Washington, D.C., and Virginia, and an amateur architect designing the field house at Virginia Military Institute, the house his parents retired in and the floor plans for the building he practiced medicine in."
T. Michael Coleman,Q36490101,TRUE,692200,musician,Mayodan,NCG09754,"January 3, 1951",,bluegrass|folk,Thomas Michael Coleman is an American bass player of bluegrass and folk music. He is best known for work with Doc Watson and the Seldom Scene.
Curly Seckler,Q5194893,TRUE,1253744,musician,China Grove,NCG03065,"December 25, 1919","December 27, 2017",bluegrass,"John Ray Sechler, known as Curly Seckler, was an American bluegrass musician. He played with Lester Flatt and Earl Scruggs in their band the Foggy Mountain Boys from 1949 to 1962, among other major bluegrass acts during his lengthy career in music."
Jason Harrod,Q6162666,TRUE,1669655,singer-songwriter,Durham,NCG04584,1992,,bluegrass|folk,"Jason Harrod is an American guitarist and singer who writes and performs bluegrass/folk music. Harrod's first album, Dreams of the Colorblind, was released in 1992. Harrod's first album was coreleased with songwriter , with whom he played until 1998. The pair released three CDs, with their first studio CD (produced by Mark Heard) making it to number 38 on the CMJ AAA top 40 chart. The pair broke up in 1998, and only Harrod continued in the music industry. Since then, Harrod has released three albums, and has won several bluegrass/folk competitions, including the Chris Austin Songwriting competition in 2000. Harrod continues to write music. He also continues to perform concerts around the country."
Tony Rice,Q1390373,TRUE,370612,singer|jazz musician|guitarist|jazz guitarist|songwriter,Danville,NCG03987,"June 8, 1951","December 25, 2020",bluegrass,"David Anthony Rice, known professionally as Tony Rice, was an American guitarist and bluegrass musician. He was an influential acoustic guitar player in bluegrass, progressive bluegrass, newgrass and acoustic jazz. He was inducted into the International Bluegrass Music Hall of Fame in 2013. Rice's music spans the range of acoustic from traditional bluegrass to jazz-influenced New Acoustic music to songwriter-oriented folk. Over the course of his career, he played alongside J. D. Crowe and the New South, David Grisman (during the formation of ""Dawg Music"") and Jerry Garcia, led his own Tony Rice Unit, collaborated with Norman Blake, recorded with his brothers Wyatt, Ron, and Larry, and co-founded the Bluegrass Album Band. He recorded with drums, piano, soprano sax, as well as with traditional bluegrass instrumentation."
Alan Bibey,Q41187626,TRUE,2570348,singer|mandolinist,Walnut Cove,NCG15829,"August 24, 1964",,bluegrass,"Alan Bibey is a mandolinist, singer, songwriter, and band leader in the bluegrass tradition."
Ronnie Bowman,Q37321058,TRUE,1043296,singer|guitarist,Mount Airy,NCG10423,"July 9, 1961",,bluegrass,"Ronnie Bowman is an American singer and composer of bluegrass music. Besides his solo albums, he is known for his work with the Lonesome River Band."
Wayne Benson,Q41187719,TRUE,2690260,mandolinist,Charlotte,NCG02916,"April 9, 1969",,bluegrass,"John Wayne Benson is an American mandolinist and songwriter in the bluegrass tradition. He is best known for his unique approach to the mandolin, and his long-term involvement with Russell Moore and IIIrd Tyme Out."
Doc Watson,Q465636,TRUE,692192,guitarist|singer-songwriter|street artist|banjoist|musician|singer|composer,Deep Gap,NCG04100,"March 3, 1923","May 29, 2012",bluegrass|folk|country music,"Arthel Lane ""Doc"" Watson was an American guitarist, songwriter, and singer of bluegrass, folk, country, blues, and gospel music. Watson won seven Grammy awards as well as a Grammy Lifetime Achievement Award. Watson's fingerstyle and flatpicking skills, as well as his knowledge of traditional American music, were highly regarded. Blind from a young age, he performed publicly both in a dance band and solo, as well as for over 15 years with his son, guitarist Merle Watson, until Merle's death in 1985 in an accident on the family farm."
Earl Scruggs,Q74032,TRUE,692197,songwriter|banjoist,Cleveland County,NCG03201,"January 6, 1924","March 28, 2012",bluegrass,"Earl Eugene Scruggs was an American musician noted for popularizing a three-finger banjo picking style, now called ""Scruggs style"", which is a defining characteristic of bluegrass music. His three-finger style of playing was radically different from the traditional way the five-string banjo had previously been played. This new style of playing became popular and elevated the banjo from its previous role as a background rhythm instrument to featured solo status. He popularized the instrument across several genres of music. Scruggs' career began at age 21 when he was hired to play in Bill Monroe's band, the Blue Grass Boys. The name ""bluegrass"" eventually became the eponym for the entire genre of country music now known by that title. Despite considerable success with Monroe, performing on the Grand Ole Opry and recording classic hits such as ""Blue Moon of Kentucky"", Scruggs resigned from the group in 1946 due to their exhausting touring schedule. Fellow band member Lester Flatt resigned as well, and he and Scruggs later paired up in a new group they called Flatt and Scruggs and the Foggy Mountain Boys. Scruggs' banjo instrumental called ""Foggy Mountain Breakdown"", released in 1949, became an enduring hit, and had a rebirth of popularity to a younger generation when it was featured in the 1967 film Bonnie and Clyde. The song won two Grammy Awards and, in 2005, was selected for the Library of Congress' National Recording Registry of works of unusual merit. Flatt and Scruggs brought bluegrass music into mainstream popularity in the early 1960s with their country hit, ""The Ballad of Jed Clampett"" ?????the theme music for the television sitcom The Beverly Hillbillies ?????the first Scruggs recording to reach number one on the Billboard charts. Over their 20-year association, Flatt and Scruggs recorded over 50 albums and 75 singles. The duo broke up in 1969, chiefly because, while Scruggs wanted to switch styles to fit a more modern sound, Flatt was a traditionalist who opposed the change and believed doing so would alienate a fan base of bluegrass purists. Although each of them formed a new band to match their visions, neither of them ever regained the success they had achieved as a team. Scruggs received four Grammy awards, a Grammy Lifetime Achievement Award and a National Medal of Arts. He became a member of the International Bluegrass Music Hall of Fame and was given a star on the Hollywood Walk of Fame. In 1985, Flatt and Scruggs were inducted together into the Country Music Hall of Fame and named, as a duo, number 24 on CMT's ""40 Greatest Men of Country Music"". Scruggs was awarded a National Heritage Fellowship by the National Endowment for the Arts, the highest honor in the folk and traditional arts in the United States. Four works by Scruggs have been placed in the Grammy Hall of Fame. After Scruggs' death in 2012 at age 88, the Earl Scruggs Center was founded in Shelby, North Carolina, near his birthplace with the aid of a federal grant and corporate donors. The center is a $5.5 million facility that features the musical contributions of Scruggs and serves as an educational center providing classes and field trips for students."
Bryan Sutton,Q4980407,TRUE,521911,banjoist|mandolinist|songwriter|recording artist,Asheville,NCG00366,1973,,country music|folk|rock,"Bryan Sutton is an American musician. Primarily known as a flatpicking acoustic guitar player, Sutton also plays mandolin, banjo, ukulele, and electric guitar. He also sings and writes songs."
George Shuffler,Q5544545,TRUE,1121191,musician|guitarist|songwriter,Valdese,NCG15663,"April 11, 1925","April 7, 2014",bluegrass,"George Shuffler was an American bluegrass guitar player and an early practitioner of the crosspicking style. During his career Shuffler played with The Bailey Brothers, The Stanley Brothers and Ralph Stanley's Clinch Mountain Boys. He was a 2007 recipient of the North Carolina Heritage Award and in 2011 was elected to the International Bluegrass Music Hall of Fame."
Carlton Haney,Q5043007,TRUE,2097929,musician,Reidsville,NCG12651,"September 19, 1928","March 16, 2011",bluegrass,"Lawrence Carlton Haney was an American booking agent, festival promoter, and songwriter primarily active in bluegrass music. Once dubbed ??????¡°The P.T. Barnum of Country Music?????for his large personality, Haney is best known for organizing the first multi-day bluegrass music festival as well as influencing the careers of the Osborne Brothers, Porter Wagoner, Conway Twitty, Merle Haggard, The Statler Brothers and Loretta Lynn. He was inducted to the Bluegrass Hall of Fame in 1998 by the International Bluegrass Music Association."
Joe Medford,Q6211310,TRUE,,banjoist,Clyde,NCG03245,"April 2, 1932","November 16, 1993",bluegrass,"Joe Medford was born on April 2, 1932 and died on November 16, 1993. From Clyde, North Carolina, he was a well-known banjo player, playing with some of the early artists of bluegrass music. Groups and musicians he played with include the Murphy Brothers and the Blue River Boys, Mac Wiseman and Charlie Monroe & his Kentucky Partners."
Terry Baucom,Q36988747,TRUE,,banjoist,Monroe,NCG10275,"October 6, 1952",,folk,"Terry Baucom is an American bluegrass singer, banjo player, and band leader. He is nicknamed ""The Duke of Drive"" for his propelling banjo style. He leads his band, The Dukes of Drive, and was a founding member of Boone Creek, Doyle Lawson and Quicksilver, and IIIrd Tyme Out."
"Arthur Lee ""Red"" Smiley",Q4799471,TRUE,,musician,Asheville,NCG00366,"May 17, 1925","January 2, 1972",bluegrass,"Arthur Lee ""Red"" Smiley  was an American bluegrass and country musician, best known for his guitar playing with Don Reno under the name Reno and Smiley. Smiley was born in Asheville, North Carolina, United States. He began recording with Don Reno in 1952 and the two formed Reno & Smiley. The two's partnership lasted until 1964 with a mutual parting of ways. In the later 1960's he would again work with Reno along with Bill Harrel. Mandolinist David Grisman played with Smiley's band early in his career. While returning home from a tour of Eastern Canada and the Northeastern United States, Smiley died in Philadelphia, Pennsylvania, in January 1972 at the age of 46, due to complications with diabetes. He was buried at the DeHart Cemetery in the Jackson Line community of Bryson City, North Carolina."
The Blue Sky Boys,Q977373,FALSE,353261,duo,Hickory,NCG06925,1935,1975,country music,"The Blue Sky Boys were an American country music duo consisting of the brothers Earl Bolick and Bill Bolick, whose careers spanned over forty years."
Carl Story,Q5040848,TRUE,953867,musician,Lenoir,NCG08654,"May 29, 1916","March 31, 1995",bluegrass,"Carl Story was an American bluegrass musician, and leader of his band the Rambling Mountaineers. He was dubbed ""The Father of Bluegrass Gospel Music"" by the governor of Oklahoma."
Billy Constable,Q4912376,TRUE,1088483,musician,Avery County,NCG00439,"March 23, 1959","August 22, 2015",Appalachian,"Billy Constable was an Appalachian musician from Spruce Pine, North Carolina, best known for his three-finger-picking banjo technique and his vigorous acoustic guitar leads. He came from a rich musical background and from a young age started performing with bluegrass greats, including Charlie Moore, Josh Graves, the Doug Dillard Band, Kenny Baker and Vassar Clements. Constable has remained a key player in the Appalachian and bluegrass music scenes for several decades. Constable developed a seizure disorder in 2011, found to be the result of a brain tumor which was surgically removed. His cancer later progressed, and he died peacefully on August 22, 2015."
Jim Mills,Q6196961,TRUE,,banjoist,Raleigh,NCG12430,"December 18, 1966",,bluegrass,"James Mills is an American musician known primarily as a bluegrass banjo player who plays in the 3-finger style popularized by Earl Scruggs. Jim is also well known as an expert on pre-war Gibson banjos. He currently resides in Durham, North Carolina. Jim worked as the banjo player for Ricky Skaggs and Kentucky Thunder for 14 years until the summer of 2010, when he left the band to focus on his business buying, selling and trading rare pre-war banjos. In the 1980s, prior to his stint with Skaggs, Jim performed for 5 years with Doyle Lawson & Quicksilver. He has 3 solo albums and has performed on many others. He has won the IBMA banjo player of the year award 6 times (1999, 2000, 2001, 2003, 2005, 2006), more than any other player, and also won IBMA Instrumental Album of the Year for his Bound to Ride album. Jim has won 6 Grammy Awards. Jim owns several pre-war Gibson Mastertone banjos, including the famous ""Mack Crow"" banjo (named after its original owner, it is the only factory-produced gold-plated RB-75 that Gibson ever made.) and the RB-4 previously owned by the late Snuffy Jenkins. produces a Jim Mills signature model based on the Mack Crow. Jim released a book on pre-war Gibson banjos in 2009, Gibson Mastertone: Flathead 5-String Banjos of the 1930s and 1940s."
William Stone,Q8018870,TRUE,,singer|opera singer|musician,Goldsboro,NCG05968,"March 12, 1944",,opera,"William Stone (born March 12, 1944, Goldsboro, North Carolina) is an American operatic baritone. He is a graduate of Duke University (B.A., 1966) and University of Illinois at Urbana-Champaign (M.M. 1968, D.M.A. 1979). He made his professional operatic debut in 1975 and his international debut in 1977. He was inducted as a National Patron of Delta Omicron, an international professional music fraternity on April 1, 2003. William Stone is a Vocal Instructor at the Academy of Vocal Arts in Philadelphia, Pennsylvania and the Curtis Institute of Music. He was Professor of Voice and Opera at the Boyer College of Music and Dance, Temple University, from September, 2005 through June, 2010."
Chad Lawson,Q98666091,TRUE,,composer|pianist,Morganton,NCG10362,"March 26, 1975",,classical music|jazz,"Chad Lawson is an American pianist and composer. After performing as a member of the Summit Records act Chad Lawson Trio from 1997 to 2004, Lawson performed as a member of Julio Iglesias' tour band, which inspired him to release his debut studio album Set on a Hill (2009). Lawson's fifth studio album The Chopin Variations (2014), a collaboration with violinist Judy Kang and cellist Rubin Kodheli, reached number one on the Billboard Top Classical Albums chart. He debuted as a major label musician through Decca Records in 2020, with the extended play Stay. Lawson is known as the composer of the podcasts Lore and Unobscured, both works created by Aaron Mahnke."
Cynthia Clarey,Q40687136,TRUE,1434562,opera singer,Rocky Mount,NCG13021,"April 25, 1949",,opera,"Cynthia Clarey (born April 25, 1949) is an American operatic singer and educator. In opera, she has sung both soprano and mezzo-soprano roles and is often associated with the role of Carmen."
Bejun Mehta,Q814981,TRUE,833234,singer|opera singer|musician,Laurinburg,NCG08539,"29 June, 1968",,opera,"Bejun Mehta (born 29 June 1968) is an American countertenor. He has been awarded the Echo Klassik, the Gramophone Award, Le Diamant d¡¯Opera Magazine, the Choc de Classica, the Traetta Prize, and been nominated for the Grammy Award, the Laurence Olivier Award, and the Preis der Deutschen Schallplattenkritik. Writing in the S¨¹ddeutsche Zeitung, Michael Stallknecht called him ""arguably the best counter tenor in the world today."""
Tichina Vaughn,Q98527631,TRUE,,opera singer|singer|musician|voice teacher,Winston-Salem,NCG16525,"19 September, 1965",,opera,"Tichina Vaughn (born 19 September 1965) is an American operatic dramatic mezzo-soprano active internationally in opera, concert halls and recitals. Starting at the Lindemann Young Artist Development Program at the Metropolitan Opera, her American career expanded into Europe, as member of the permanent ensembles of the Semperoper in Dresden and the Stuttgart Opera, where she was awarded the title of Kammers?ngerin in 2006. She has been a regular at the Arena di Verona and other major theaters worldwide, singing a wide repertoire span, with a ""voluminous and dark mezzo"" voice the dramatic Verdi roles such as Amneris in Aida, Eboli in Don Carlo, Azucena in Il trovatore and Ulrica in Un ballo in maschera, Wagner's Ortrud Lohengrin, Venus Tannh?user, Fricka Die Walk¨¹re, Waltraute in G?tterd?mmerung and Strauss, Herodias in Salome and Klytemnestra in Elektra. According to Opernglas, Vaughn has a natural ""great intensity"" on stage, with an ample ""voice, which flows richly, even in the low registers."" The Neue Z¨¹rcher Zeitung describes her voice as an ""enchanting satisfyingly rich mezzosoprano"".Bernard Holland of The New York Times called hers ""A voice of quality"", which had ""the presence and personality that might well fit the Met... a mezzo-soprano whose strong upper register gave hints of a dramatic soprano to come""."
Anthony Dean Griffey,Q4772384,TRUE,,singer|opera singer,High Point,NCG07014,"February 12, 1970",,opera,"Anthony Dean Griffey (born February 12 in High Point, North Carolina) is an American opera tenor. He is a regular presence on the stages of opera houses and concert halls around the world. Griffey has also been noted for his acting talent in addition to his voice. In 2007, he starred alongside Audra McDonald and Patti Lupone in The Rise and Fall of the City of Mahagonny at the Los Angeles Opera, the recording of which won two Grammy Awards. In the 2005 edition of Musical America, Griffey was cited as one of twelve young singers of distinction. Griffey was honored as an inductee into the North Carolina Music Hall of Fame in 2011. In 2015, he was appointed as Professor of Voice at the Eastman School of Music. Richard Dyer of the Boston Globe has said: ""Griffey has voice, technique, musicianship, diction, and poetry in his soul."""
Brenda Boozer,Q4960638,TRUE,,singer|opera singer,Boone,NCG01651,"January 25, 1948",,opera,"Brenda Boozer (born January 25, 1948) is an American mezzo-soprano who has had an active international career performing in operas and concerts since the mid 1970s. She was a member of the Metropolitan Opera in New York City for 11 seasons."
Victoria Livengood,Q16193218,TRUE,,singer|opera singer,Thomasville,NCG15118,"August 8, 1959",,opera,"Victoria Livengood (born August 8, 1959) is an American mezzo-soprano and voice teacher. She is most renown for her extensive and prestigious international operatic career spanning over 35 years and counting. Her past and current career sees her regularly in the top opera houses around the world. She has sung over 100 different operatic roles throughout her career and over 120 separate performances at the Metropolitan Opera. In her early years, she was most known for her portrayal of the title role of Carmen (sung opposite Pl¨¢cido Domingo at the Metropolitan Opera) which she has performed over 250 times worldwide. In addition to her continued performance career, she also teaches voice privately in Concord, North Carolina."
Red Clay Ramblers,Q7303901,FALSE,731851,band,Durham,NCG04584,1972,1993,country music,"The Red Clay Ramblers are a North Carolina-based band founded in Durham, North Carolina, performing continuously since their formation in 1972. The current touring band has been together since 1987, with Jack Herrick (trumpet, bass), Bland Simpson (piano), Clay Buckner (fiddle), and Chris Frank (guitar). The original members included Mike Craver (guitar) Tommy Thompson (banjo), Bill Hicks (fiddle), and Jim Watson (mandolin, bass)."
Super Grit Cowboy Band,Q7642391,FALSE,3017866,band,North Carolina,NCG10905,1975,present,country music,"Super Grit Cowboy Band is an American country music band formed in North Carolina. It was founded by Clyde Mattocks, Libby Mattocks, Bill Lyerly, Danny Vinson, Dave Cavanaugh and Alfred Ward. Active since 1974, the band recorded first with Sound Hut Studios. Beginning with their 1981 album, the band has recorded on its own Hoodswamp label."
